日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,北京,109.1,101.0,103.0,102.6,100.3,101.2
2011-02-01,北京,108.4,100.5,103.5,102.9,100.4,101.5
2011-03-01,北京,106.2,100.0,103.5,101.9,99.9,101.4
2011-04-01,北京,103.4,100.1,103.6,99.3,100.1,101.5
2011-05-01,北京,102.6,100.2,103.8,100.6,99.8,101.4
2011-06-01,北京,102.7,100.1,103.9,101.4,99.9,101.3
2011-07-01,北京,102.4,100.0,103.9,101.8,100.1,101.3
2011-08-01,北京,102.4,100.0,103.9,101.9,100.0,101.3
2011-09-01,北京,102.3,100.0,103.9,101.2,99.6,101.0
2011-10-01,北京,102.2,99.9,103.8,100.4,99.5,100.5
2011-11-01,北京,101.6,99.6,103.4,99.2,99.3,99.7
2011-12-01,北京,101.3,99.8,103.3,98.0,99.2,98.9
2012-01-01,北京,100.1,99.9,103.2,96.9,99.1,98.1
2012-02-01,北京,99.5,99.8,103.0,96.3,99.8,97.8
2012-03-01,北京,99.0,99.5,102.4,96.6,100.2,98.0
2012-04-01,北京,98.7,99.8,102.3,96.8,100.4,98.3
2012-05-01,北京,98.4,99.9,102.2,96.9,99.9,98.3
2012-06-01,北京,98.7,100.3,102.5,97.2,100.2,98.5
2012-07-01,北京,99.0,100.3,102.9,97.5,100.3,98.8
2012-08-01,北京,99.2,100.2,103.1,97.7,100.3,99.0
2012-09-01,北京,99.3,100.1,103.2,98.2,100.1,99.2
2012-10-01,北京,99.7,100.3,103.5,98.8,100.0,99.2
2012-11-01,北京,100.9,100.8,104.3,99.8,100.3,99.5
2012-12-01,北京,102.0,101.0,105.4,101.6,101.0,100.4
2013-01-01,北京,104.3,102.1,107.6,103.5,101.0,101.6
2013-02-01,北京,107.7,103.1,110.9,106.0,102.2,103.7
2013-03-01,北京,111.2,102.7,113.9,109.1,103.1,106.9
2013-04-01,北京,113.4,101.8,115.9,110.9,102.0,109.0
2013-05-01,北京,115.2,101.6,117.8,112.8,101.7,110.9
2013-06-01,北京,116.7,101.7,119.7,114.1,101.3,112.3
2013-07-01,北京,118.3,101.6,121.7,115.3,101.4,113.9
2013-08-01,北京,119.3,101.1,123.0,116.4,101.2,115.2
2013-09-01,北京,120.6,101.2,124.5,117.8,101.3,116.8
2013-10-01,北京,121.2,100.8,125.4,119.0,101.1,118.1
2013-11-01,北京,121.1,100.7,126.3,120.1,101.2,119.5
2013-12-01,北京,120.6,100.6,127.1,119.7,100.6,120.3
2014-01-01,北京,118.8,100.5,127.8,118.4,99.9,120.1
2014-02-01,北京,115.5,100.3,128.1,115.9,100.0,120.1
2014-03-01,北京,113.0,100.5,128.7,112.6,100.2,120.4
2014-04-01,北京,111.2,100.2,128.9,110.2,99.8,120.2
2014-05-01,北京,109.7,100.2,129.2,107.4,99.1,119.1
2014-06-01,北京,108.0,100.1,129.3,104.7,98.7,117.6
2014-07-01,北京,104.9,98.7,127.6,102.4,99.2,116.6
2014-08-01,北京,102.6,98.8,126.2,100.4,99.1,115.7
2014-09-01,北京,100.4,99.1,125.0,97.6,98.6,114.0
2014-10-01,北京,98.3,98.7,123.4,96.8,100.3,114.3
2014-11-01,北京,97.4,99.7,123.0,96.3,100.7,115.1
