日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,长春,107.1,100.4,102.7,100.7,100.3,100.7
2011-02-01,长春,107.0,99.6,102.2,100.8,100.1,100.8
2011-03-01,长春,106.9,100.7,103.0,100.9,100.1,100.9
2011-04-01,长春,104.2,100.5,103.5,101.3,100.4,101.3
2011-05-01,长春,102.7,100.4,103.9,101.8,100.4,101.7
2011-06-01,长春,103.0,100.3,104.3,102.2,100.4,102.0
2011-07-01,长春,103.3,100.3,104.6,102.3,100.1,102.2
2011-08-01,长春,103.5,100.3,104.9,102.5,100.2,102.4
2011-09-01,长春,103.3,100.0,104.9,102.6,100.1,102.5
2011-10-01,长春,102.7,100.1,104.9,102.3,99.7,102.2
2011-11-01,长春,102.5,99.7,104.7,100.8,99.1,101.3
2011-12-01,长春,102.0,99.7,104.3,100.0,99.2,100.4
2012-01-01,长春,101.4,99.8,104.1,99.3,99.5,99.9
2012-02-01,长春,101.6,99.7,103.9,99.2,100.0,99.9
2012-03-01,长春,100.6,99.7,103.6,98.9,99.8,99.7
2012-04-01,长春,100.1,100.0,103.6,98.4,99.9,99.6
2012-05-01,长春,99.7,100.0,103.5,98.1,100.1,99.8
2012-06-01,长春,99.2,99.8,103.4,97.7,100.0,99.7
2012-07-01,长春,99.0,100.1,103.5,97.9,100.3,100.0
2012-08-01,长春,99.0,100.3,103.8,97.9,100.3,100.3
2012-09-01,长春,99.0,100.0,103.8,98.2,100.4,100.7
2012-10-01,长春,99.2,100.3,104.1,98.5,100.0,100.7
2012-11-01,长春,99.2,99.7,103.8,99.7,100.3,101.0
2012-12-01,长春,100.1,100.6,104.4,100.7,100.2,101.1
2013-01-01,长春,100.1,99.8,104.2,101.7,100.5,101.7
2013-02-01,长春,101.5,101.1,105.4,102.3,100.5,102.2
2013-03-01,长春,102.6,100.8,106.3,103.1,100.6,102.8
2013-04-01,长春,103.7,101.0,107.4,103.6,100.4,103.2
2013-05-01,长春,104.8,101.1,108.5,103.5,100.0,103.3
2013-06-01,长春,105.9,100.9,109.5,103.8,100.2,103.5
2013-07-01,长春,106.5,100.7,110.3,103.7,100.2,103.7
2013-08-01,长春,107.2,101.0,111.3,103.8,100.4,104.1
2013-09-01,长春,107.9,100.7,112.1,104.0,100.6,104.7
2013-10-01,长春,108.1,100.4,112.6,104.5,100.5,105.2
2013-11-01,长春,109.0,100.6,113.2,104.5,100.3,105.5
2013-12-01,长春,108.8,100.4,113.6,104.5,100.2,105.7
2014-01-01,长春,109.5,100.4,114.1,103.9,99.9,105.6
2014-02-01,长春,108.7,100.3,114.5,103.6,100.2,105.9
2014-03-01,长春,108.3,100.5,115.1,103.4,100.4,106.3
2014-04-01,长春,107.4,100.2,115.3,102.9,99.9,106.2
2014-05-01,长春,106.3,100.0,115.3,102.7,99.9,106.0
2014-06-01,长春,104.6,99.4,114.6,102.2,99.8,105.8
2014-07-01,长春,103.2,99.3,113.7,101.7,99.6,105.4
2014-08-01,长春,101.3,99.2,112.8,100.3,99.1,104.4
2014-09-01,长春,99.3,98.7,111.3,98.6,98.8,103.2
2014-10-01,长春,98.2,99.3,110.6,97.3,99.1,102.3
2014-11-01,长春,97.0,99.4,109.9,96.4,99.4,101.7
2014-12-01,长春,96.2,99.5,109.3,95.7,99.5,101.2
2015-01-01,长春,95.5,99.8,109.0,95.5,99.7,100.8
