日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,三亚,119.1,100.4,100.8,114.8,100.7,102.4
2011-02-01,三亚,100.3,100.4,101.2,102.2,99.2,101.6
2011-03-01,三亚,99.4,100.4,101.6,96.6,100.2,101.8
2011-04-01,三亚,99.1,99.9,101.5,97.0,99.5,101.3
2011-05-01,三亚,97.9,100.3,101.8,100.3,100.0,98.5
2011-06-01,三亚,98.0,99.9,101.6,101.7,99.9,98.4
2011-07-01,三亚,98.9,100.0,101.6,101.4,100.1,98.5
2011-08-01,三亚,101.6,100.0,101.6,97.8,100.0,98.5
2011-09-01,三亚,101.3,100.0,101.6,97.5,100.0,98.5
2011-10-01,三亚,101.4,100.0,101.6,97.4,99.9,98.4
2011-11-01,三亚,101.1,99.8,101.4,96.2,99.1,97.6
2011-12-01,三亚,100.9,100.0,101.4,93.9,97.8,95.5
2012-01-01,三亚,100.6,100.0,101.4,92.9,99.6,95.1
2012-02-01,三亚,100.1,100.0,101.3,93.1,99.5,94.6
2012-03-01,三亚,99.5,99.8,101.2,92.8,99.8,94.4
2012-04-01,三亚,99.4,99.7,100.9,93.0,99.8,94.2
2012-05-01,三亚,98.9,99.8,100.7,95.5,99.8,94.0
2012-06-01,三亚,99.0,99.9,100.6,95.4,99.8,93.8
2012-07-01,三亚,98.9,99.9,100.5,95.2,99.9,93.7
2012-08-01,三亚,98.9,100.0,100.5,95.2,100.0,93.7
2012-09-01,三亚,98.9,100.0,100.5,95.2,100.1,93.8
2012-10-01,三亚,98.8,99.9,100.4,95.3,100.0,93.8
2012-11-01,三亚,99.1,100.1,100.5,96.2,100.1,93.8
2012-12-01,三亚,99.6,100.4,100.9,98.5,100.2,94.0
2013-01-01,三亚,99.9,100.3,101.3,98.9,100.1,94.1
2013-02-01,三亚,100.3,100.4,101.7,99.5,100.1,94.2
2013-03-01,三亚,101.1,100.6,102.3,100.0,100.3,94.4
2013-04-01,三亚,102.0,100.6,102.9,100.4,100.1,94.6
