日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,九江,106.0,100.0,102.4,107.0,101.8,103.7
2011-02-01,九江,105.0,100.6,103.1,106.1,100.4,104.0
2011-03-01,九江,105.0,101.0,104.1,104.8,100.0,104.0
2011-04-01,九江,105.0,100.7,104.8,104.4,100.0,104.0
2011-05-01,九江,103.6,99.8,104.6,102.9,99.6,103.6
2011-06-01,九江,104.0,99.9,104.5,103.8,99.8,103.4
2011-07-01,九江,104.8,99.9,104.4,103.0,99.4,102.8
2011-08-01,九江,105.1,100.1,104.5,102.1,99.6,102.4
2011-09-01,九江,104.3,100.0,104.5,101.6,99.9,102.3
2011-10-01,九江,102.6,99.6,104.1,100.6,99.8,102.0
2011-11-01,九江,101.7,99.5,103.5,100.1,99.7,101.8
2011-12-01,九江,100.4,99.3,102.8,99.4,99.5,101.2
2012-01-01,九江,100.2,99.8,102.6,97.3,99.6,100.9
2012-02-01,九江,99.5,99.9,102.5,96.6,99.7,100.5
2012-03-01,九江,98.7,100.1,102.7,96.2,99.6,100.1
2012-04-01,九江,97.8,99.8,102.5,96.2,99.9,100.0
2012-05-01,九江,97.9,99.9,102.4,96.6,100.1,100.1
2012-06-01,九江,98.0,100.0,102.4,97.0,100.2,100.3
2012-07-01,九江,98.2,100.1,102.5,97.8,100.3,100.6
2012-08-01,九江,98.0,99.9,102.4,98.2,100.0,100.5
2012-09-01,九江,98.0,100.0,102.4,98.4,100.1,100.6
2012-10-01,九江,98.4,100.0,102.4,98.8,100.1,100.8
2012-11-01,九江,99.1,100.2,102.7,99.2,100.2,101.0
2012-12-01,九江,100.2,100.4,103.0,99.6,99.9,100.8
2013-01-01,九江,100.8,100.4,103.4,100.2,100.2,101.1
2013-02-01,九江,101.8,100.9,104.4,101.2,100.7,101.7
2013-03-01,九江,102.3,100.7,105.1,102.4,100.7,102.4
2013-04-01,九江,103.0,100.5,105.6,102.8,100.4,102.8
2013-05-01,九江,104.5,101.3,107.0,103.1,100.4,103.2
2013-06-01,九江,105.1,100.7,107.7,102.6,99.8,103.0
2013-07-01,九江,104.9,99.9,107.5,102.2,99.8,102.8
2013-08-01,九江,105.6,100.5,108.1,102.5,100.3,103.0
2013-09-01,九江,105.5,100.0,108.0,102.3,99.9,102.9
2013-10-01,九江,106.2,100.7,108.8,102.4,100.3,103.2
2013-11-01,九江,106.9,100.8,109.7,102.9,100.7,103.9
2013-12-01,九江,107.0,100.5,110.3,103.8,100.7,104.7
2014-01-01,九江,106.9,100.3,110.6,103.8,100.2,104.9
2014-02-01,九江,106.0,100.0,110.6,102.8,99.7,104.5
2014-03-01,九江,105.5,100.3,110.9,101.9,99.8,104.4
2014-04-01,九江,105.1,100.0,111.0,101.6,100.1,104.5
2014-05-01,九江,103.5,99.8,110.7,101.1,99.8,104.3
2014-06-01,九江,102.1,99.3,109.9,100.9,99.6,103.9
2014-07-01,九江,101.4,99.2,109.0,100.5,99.4,103.3
2014-08-01,九江,99.9,99.1,108.0,99.3,99.1,102.4
2014-09-01,九江,98.7,98.7,106.7,98.8,99.3,101.7
2014-10-01,九江,97.4,99.4,106.0,97.5,99.0,100.7
2014-11-01,九江,96.3,99.7,105.7,96.5,99.7,100.3
2014-12-01,九江,95.5,99.6,105.3,96.0,100.1,100.5
2015-01-01,九江,94.2,98.9,104.1,95.5,99.6,100.1
2015-02-01,九江,93.8,99.6,103.7,95.7,100.0,100.1
2015-03-01,九江,93.4,99.8,103.5,95.9,100.1,100.1
2015-04-01,九江,93.1,99.7,103.3,96.1,100.3,100.4
2015-05-01,九江,93.6,100.3,103.6,96.7,100.4,100.8
2015-06-01,九江,94.0,99.7,103.3,97.3,100.3,101.1
2015-07-01,九江,94.8,100.0,103.3,97.9,99.9,101.1
2015-08-01,九江,95.5,99.9,103.2,99.0,100.3,101.4
2015-09-01,九江,96.3,99.5,102.7,100.0,100.3,101.7
2015-10-01,九江,96.6,99.7,102.4,101.1,100.1,101.8
2015-11-01,九江,96.7,99.9,102.2,101.7,100.2,102.0
2015-12-01,九江,97.4,100.3,102.5,101.7,100.2,102.2
2016-01-01,九江,98.8,100.1,,101.9,100.1,
2016-02-01,九江,99.5,100.3,,101.9,99.9,
2016-03-01,九江,100.3,100.7,,102.4,100.5,
2016-04-01,九江,101.6,101.1,,103.0,100.8,
2016-05-01,九江,102.1,100.9,,102.5,100.0,
2016-06-01,九江,103.0,100.6,,103.6,101.3,
2016-07-01,九江,104.0,101.0,,104.3,100.6,
2016-08-01,九江,105.3,101.2,,105.4,101.3,
2016-09-01,九江,107.4,101.5,,105.9,100.7,
2016-10-01,九江,109.9,101.9,,106.7,100.9,
2016-11-01,九江,110.8,100.8,,106.5,100.0,
2016-12-01,九江,111.3,100.7,,107.9,101.5,
2017-01-01,九江,112.4,101.1,,108.7,100.8,
2017-02-01,九江,113.0,100.8,,109.0,100.2,
2017-03-01,九江,113.8,101.3,,109.0,100.6,
2017-04-01,九江,113.8,101.1,,108.5,100.4,
2017-05-01,九江,114.7,101.7,,109.2,100.6,
2017-06-01,九江,114.9,100.8,,108.8,100.9,
2017-07-01,九江,114.6,100.7,,108.8,100.6,
2017-08-01,九江,113.6,100.4,,107.6,100.3,
2017-09-01,九江,111.8,99.9,,107.1,100.2,
2017-10-01,九江,109.9,100.2,,106.1,100.0,
2017-11-01,九江,109.1,100.0,,106.3,100.2,
2017-12-01,九江,108.4,100.1,,104.8,100.0,
2018-01-01,九江,108.3,100.5,,104.4,100.3,
2018-02-01,九江,107.4,100.4,,104.2,100.2,
2018-03-01,九江,106.5,100.5,,103.7,100.1,
2018-04-01,九江,105.5,100.2,,103.5,100.1,
2018-05-01,九江,104.6,100.8,,103.2,100.4,
2018-06-01,九江,104.4,100.6,,102.9,100.6,
2018-07-01,九江,104.9,101.1,,103.3,101.0,
2018-08-01,九江,106.1,101.5,,104.5,101.5,
2018-09-01,九江,107.0,100.7,,105.0,100.7,
2018-10-01,九江,107.3,100.6,,105.8,100.7,
2018-11-01,九江,108.9,101.5,,106.7,101.0,
2018-12-01,九江,109.8,100.9,,106.9,100.3,
2019-01-01,九江,110.0,100.7,,106.8,100.1,
2019-02-01,九江,110.0,100.5,,106.8,100.2,
2019-03-01,九江,110.1,100.6,,107.1,100.4,
2019-04-01,九江,110.7,100.7,,107.6,100.6,
2019-05-01,九江,110.5,100.6,,107.8,100.6,
2019-06-01,九江,110.7,100.8,,107.7,100.4,
2019-07-01,九江,110.1,100.5,,107.3,100.6,
2019-08-01,九江,109.3,100.8,,106.2,100.4,
2019-09-01,九江,109.3,100.7,,106.5,101.0,
2019-10-01,九江,109.6,100.8,,106.8,101.0,
2019-11-01,九江,108.3,100.3,,106.3,100.5,
2019-12-01,九江,108.1,100.7,,107.0,100.9,
2020-01-01,九江,108.6,101.1,,107.1,100.2,
2020-02-01,九江,108.6,100.4,,107.0,100.2,
2020-03-01,九江,107.7,99.8,,106.5,99.9,
2020-04-01,九江,107.6,100.7,,105.9,100.0,
2020-05-01,九江,107.5,100.5,,105.9,100.6,
2020-06-01,九江,107.5,100.9,,106.0,100.5,
2020-07-01,九江,107.3,100.3,,105.2,100.0,
2020-08-01,九江,106.3,99.9,,104.6,99.8,
2020-09-01,九江,106.1,100.5,,103.7,100.2,
2020-10-01,九江,105.2,100.0,,102.5,99.8,
2020-11-01,九江,104.7,99.8,,102.5,100.5,
2020-12-01,九江,104.1,100.1,,101.8,100.3,
2021-01-01,九江,103.2,100.3,101.3,102.0,100.7,101.4
2021-02-01,九江,103.6,100.8,102.2,102.4,100.5,101.9
2021-03-01,九江,104.3,100.4,102.6,103.0,100.6,102.5
2021-04-01,九江,104.0,100.4,103.0,103.4,100.3,102.8
2021-05-01,九江,103.8,100.3,103.4,103.1,100.2,103.0
2021-06-01,九江,103.3,100.3,103.7,103.0,100.4,103.5
2021-07-01,九江,103.4,100.5,104.2,103.2,100.2,103.6
2021-08-01,九江,103.8,100.2,104.4,103.3,99.8,103.5
2021-09-01,九江,103.1,99.8,104.3,103.2,99.9,103.4
2021-10-01,九江,102.6,99.6,103.8,103.1,99.6,103.0
2021-11-01,九江,102.5,99.6,103.4,102.0,99.5,102.5
2021-12-01,九江,101.8,99.5,102.9,101.4,99.7,102.1
2022-01-01,九江,101.0,99.4,102.4,100.5,99.8,101.9
2022-02-01,九江,99.8,99.6,102.0,100.0,100.0,102.0
