日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,北海,105.5,100.4,101.1,100.9,100.0,99.9
2011-02-01,北海,104.5,100.8,101.9,102.2,102.0,101.9
2011-03-01,北海,103.6,100.7,102.6,102.4,100.9,102.8
2011-04-01,北海,103.0,100.6,103.2,102.2,100.0,102.8
2011-05-01,北海,101.5,99.7,102.9,102.2,100.0,102.8
2011-06-01,北海,101.7,99.9,102.8,102.4,99.7,102.5
2011-07-01,北海,101.8,100.0,102.8,102.3,99.7,102.2
2011-08-01,北海,102.1,99.9,102.7,102.3,100.0,102.2
2011-09-01,北海,101.7,99.9,102.6,102.3,100.0,102.2
2011-10-01,北海,101.6,99.8,102.4,102.3,100.0,102.2
2011-11-01,北海,101.6,99.9,102.3,102.1,99.8,102.0
2011-12-01,北海,101.4,99.8,102.1,102.1,100.0,102.0
2012-01-01,北海,100.8,99.8,101.9,101.8,99.7,101.7
2012-02-01,北海,99.7,99.7,101.6,99.5,99.7,101.4
2012-03-01,北海,98.9,99.8,101.5,98.3,99.7,101.1
2012-04-01,北海,98.2,99.9,101.3,98.2,99.9,101.0
2012-05-01,北海,98.3,99.8,101.2,98.2,100.0,101.0
2012-06-01,北海,98.4,100.0,101.2,98.5,100.0,101.0
2012-07-01,北海,98.7,100.3,101.5,98.8,100.0,101.0
2012-08-01,北海,98.8,100.0,101.5,99.0,100.2,101.2
2012-09-01,北海,98.8,99.8,101.3,99.1,100.1,101.3
2012-10-01,北海,99.0,100.1,101.4,99.1,100.0,101.3
2012-11-01,北海,99.5,100.4,101.8,99.4,100.0,101.3
2012-12-01,北海,99.4,99.7,101.5,99.6,100.3,101.6
2013-01-01,北海,99.6,100.0,101.5,100.3,100.4,102.0
2013-02-01,北海,100.9,101.0,102.5,101.0,100.4,102.4
2013-03-01,北海,102.0,100.9,103.5,102.3,101.0,103.4
2013-04-01,北海,103.1,101.0,104.5,103.0,100.6,104.0
2013-05-01,北海,104.1,100.8,105.3,103.6,100.7,104.7
2013-06-01,北海,105.3,101.1,106.5,104.4,100.7,105.4
2013-07-01,北海,105.9,100.9,107.5,104.8,100.5,105.9
2013-08-01,北海,106.9,100.9,108.5,105.0,100.4,106.3
2013-09-01,北海,108.2,101.1,109.7,105.3,100.3,106.7
2013-10-01,北海,108.7,100.5,110.2,105.7,100.4,107.1
2013-11-01,北海,109.1,100.8,111.1,106.3,100.6,107.7
2013-12-01,北海,110.0,100.5,111.6,106.3,100.3,108.1
2014-01-01,北海,110.7,100.7,112.4,106.3,100.4,108.4
2014-02-01,北海,109.9,100.3,112.7,105.9,100.0,108.5
2014-03-01,北海,109.2,100.3,113.0,105.0,100.1,108.6
2014-04-01,北海,108.3,100.1,113.1,104.4,100.0,108.6
2014-05-01,北海,107.4,100.0,113.1,103.5,99.8,108.3
2014-06-01,北海,105.6,99.5,112.6,102.4,99.6,107.9
2014-07-01,北海,104.2,99.5,112.0,101.1,99.2,107.0
2014-08-01,北海,101.8,98.6,110.4,99.4,98.7,105.7
2014-09-01,北海,99.6,98.9,109.2,98.0,98.9,104.5
2014-10-01,北海,98.2,99.2,108.2,96.5,98.9,103.3
2014-11-01,北海,96.5,99.0,107.2,95.3,99.3,102.6
2014-12-01,北海,95.9,99.9,107.1,94.1,99.1,101.7
2015-01-01,北海,94.5,99.2,106.3,93.2,99.3,101.0
2015-02-01,北海,94.0,99.7,106.0,92.7,99.5,100.6
2015-03-01,北海,93.6,99.8,105.8,92.7,100.0,100.6
2015-04-01,北海,93.1,99.6,105.3,93.0,100.4,101.0
2015-05-01,北海,92.9,99.8,105.1,93.6,100.4,101.4
2015-06-01,北海,93.2,99.9,104.9,94.2,100.3,101.7
2015-07-01,北海,93.7,100.0,104.9,95.4,100.5,102.1
