日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,南充,99.7,98.3,99.5,100.9,101.1,101.6
2011-02-01,南充,99.3,99.6,99.0,101.7,100.0,101.6
2011-03-01,南充,99.5,100.2,99.3,101.2,99.9,101.6
2011-04-01,南充,99.5,100.1,99.4,101.2,100.0,101.5
2011-05-01,南充,99.1,100.1,99.5,101.2,99.9,101.4
2011-06-01,南充,99.1,100.1,99.6,101.7,100.0,101.4
2011-07-01,南充,100.3,100.6,100.2,101.9,100.1,101.6
2011-08-01,南充,100.8,100.0,100.2,102.1,100.1,101.7
2011-09-01,南充,100.7,100.0,100.2,102.0,99.8,101.5
2011-10-01,南充,100.6,99.9,100.1,102.0,100.1,101.6
2011-11-01,南充,99.6,99.9,100.0,101.5,99.7,101.3
2011-12-01,南充,98.8,99.9,99.9,100.6,99.8,101.1
2012-01-01,南充,100.4,99.9,99.8,99.1,99.6,100.7
2012-02-01,南充,100.7,99.9,99.7,99.1,100.0,100.7
2012-03-01,南充,100.3,99.9,99.6,99.0,99.9,100.6
2012-04-01,南充,100.1,99.9,99.5,99.1,100.0,100.6
2012-05-01,南充,99.9,99.9,99.5,99.1,100.0,100.5
2012-06-01,南充,99.7,99.9,99.3,99.2,100.1,100.6
2012-07-01,南充,99.3,100.2,99.5,99.0,99.9,100.5
2012-08-01,南充,99.5,100.2,99.7,98.9,100.0,100.5
2012-09-01,南充,99.7,100.2,99.9,99.1,100.1,100.6
2012-10-01,南充,99.9,100.1,100.0,99.1,100.1,100.7
2012-11-01,南充,100.4,100.5,100.5,99.5,100.1,100.8
2012-12-01,南充,101.3,100.8,101.2,99.8,100.1,100.9
2013-01-01,南充,102.7,101.3,102.5,100.3,100.2,101.0
2013-02-01,南充,104.0,101.2,103.7,100.9,100.7,101.7
2013-03-01,南充,105.7,101.5,105.2,101.4,100.4,102.0
2013-04-01,南充,106.8,101.0,106.3,102.0,100.5,102.6
2013-05-01,南充,108.0,101.1,107.4,102.4,100.4,103.0
2013-06-01,南充,110.1,101.8,109.4,102.6,100.3,103.2
2013-07-01,南充,110.9,100.8,110.3,102.9,100.2,103.5
2013-08-01,南充,111.5,100.7,111.1,103.3,100.3,103.9
2013-09-01,南充,111.5,100.2,111.4,103.9,100.7,104.5
2013-10-01,南充,111.4,100.0,111.3,104.4,100.5,105.1
2013-11-01,南充,110.9,100.1,111.4,105.0,100.7,105.8
2013-12-01,南充,110.8,100.6,112.1,105.4,100.5,106.3
2014-01-01,南充,109.9,100.5,112.7,105.4,100.2,106.5
2014-02-01,南充,109.1,100.5,113.2,104.9,100.2,106.7
2014-03-01,南充,108.0,100.4,113.6,104.6,100.0,106.7
2014-04-01,南充,107.0,100.1,113.8,104.2,100.1,106.9
2014-05-01,南充,105.9,100.0,113.8,103.6,99.9,106.7
2014-06-01,南充,103.7,99.6,113.4,103.2,99.8,106.5
2014-07-01,南充,101.6,98.9,112.1,102.3,99.3,105.8
2014-08-01,南充,99.6,98.7,110.7,100.9,99.0,104.8
2014-09-01,南充,98.2,98.8,109.4,99.0,98.8,103.5
2014-10-01,南充,96.8,98.5,107.8,97.3,98.8,102.2
2014-11-01,南充,96.0,99.3,107.0,96.1,99.5,101.7
2014-12-01,南充,94.9,99.5,106.4,95.5,99.8,101.6
2015-01-01,南充,94.1,99.6,106.0,95.1,99.7,101.3
2015-02-01,南充,93.3,99.7,105.7,95.0,100.1,101.3
2015-03-01,南充,92.5,99.4,105.1,94.8,99.8,101.2
2015-04-01,南充,92.1,99.7,104.8,94.8,100.1,101.3
2015-05-01,南充,91.6,99.5,104.3,95.0,100.1,101.4
2015-06-01,南充,91.7,99.7,103.9,95.1,99.9,101.3
2015-07-01,南充,92.3,99.6,103.5,95.7,99.9,101.2
2015-08-01,南充,93.3,99.8,103.3,96.6,100.0,101.2
2015-09-01,南充,94.1,99.7,103.0,97.8,100.0,101.2
2015-10-01,南充,95.4,99.9,102.9,99.3,100.3,101.5
2015-11-01,南充,96.1,99.9,102.8,99.8,100.0,101.5
2015-12-01,南充,96.3,99.7,102.5,100.0,100.1,101.6
2016-01-01,南充,96.6,99.9,,100.4,100.0,
2016-02-01,南充,96.7,99.8,,100.4,100.1,
2016-03-01,南充,97.9,100.7,,100.7,100.1,
2016-04-01,南充,98.8,100.6,,100.9,100.4,
2016-05-01,南充,99.7,100.4,,101.1,100.2,
2016-06-01,南充,100.4,100.4,,101.3,100.2,
2016-07-01,南充,100.5,99.7,,101.7,100.3,
2016-08-01,南充,101.4,100.7,,102.0,100.3,
2016-09-01,南充,101.5,99.8,,102.5,100.4,
2016-10-01,南充,101.2,99.6,,102.4,100.3,
2016-11-01,南充,101.5,100.2,,102.6,100.2,
2016-12-01,南充,101.8,100.0,,102.8,100.3,
2017-01-01,南充,102.1,100.2,,102.7,99.9,
2017-02-01,南充,103.0,100.7,,103.0,100.4,
2017-03-01,南充,103.6,101.3,,103.5,100.6,
2017-04-01,南充,104.0,101.0,,103.5,100.4,
2017-05-01,南充,104.3,100.7,,103.9,100.6,
2017-06-01,南充,105.3,101.4,,104.6,100.8,
2017-07-01,南充,106.1,100.4,,104.8,100.5,
2017-08-01,南充,106.1,100.6,,105.0,100.5,
2017-09-01,南充,107.1,100.8,,105.3,100.7,
2017-10-01,南充,108.4,100.9,,105.7,100.7,
2017-11-01,南充,109.0,100.7,,106.2,100.8,
2017-12-01,南充,109.5,100.5,,106.6,100.6,
2018-01-01,南充,109.9,100.3,,107.0,100.5,
2018-02-01,南充,110.8,101.7,,107.5,100.6,
2018-03-01,南充,110.1,100.6,,107.6,100.7,
2018-04-01,南充,110.1,101.0,,108.0,100.7,
2018-05-01,南充,110.8,101.4,,108.1,100.8,
2018-06-01,南充,110.5,101.2,,108.1,100.8,
2018-07-01,南充,111.0,100.8,,108.8,101.1,
2018-08-01,南充,113.1,102.6,,110.7,102.3,
2018-09-01,南充,114.3,101.8,,111.8,101.7,
2018-10-01,南充,115.1,101.6,,111.4,100.3,
2018-11-01,南充,114.6,100.3,,110.6,100.0,
2018-12-01,南充,114.0,100.0,,109.9,99.9,
2019-01-01,南充,113.8,100.2,,109.5,100.1,
2019-02-01,南充,112.3,100.3,,108.6,99.9,
2019-03-01,南充,112.8,101.0,,107.3,99.5,
2019-04-01,南充,112.7,100.9,,106.4,99.8,
2019-05-01,南充,112.0,100.7,,105.9,100.3,
2019-06-01,南充,110.9,100.1,,105.8,100.7,
2019-07-01,南充,109.7,99.7,,104.9,100.2,
2019-08-01,南充,107.0,100.0,,102.5,100.0,
2019-09-01,南充,105.6,100.5,,101.0,100.2,
2019-10-01,南充,103.7,99.8,,100.4,99.7,
2019-11-01,南充,103.2,99.7,,99.9,99.6,
2019-12-01,南充,102.6,99.5,,100.0,100.0,
2020-01-01,南充,102.0,99.6,,99.7,99.8,
2020-02-01,南充,101.1,99.4,,99.0,99.1,
2020-03-01,南充,100.5,100.5,,99.5,100.0,
2020-04-01,南充,100.7,101.1,,99.2,99.6,
2020-05-01,南充,101.3,101.3,,98.5,99.5,
2020-06-01,南充,100.3,99.1,,97.4,99.6,
2020-07-01,南充,100.2,99.6,,97.0,99.7,
2020-08-01,南充,99.6,99.5,,96.4,99.4,
2020-09-01,南充,99.2,100.0,,95.6,99.4,
2020-10-01,南充,98.9,99.5,,95.4,99.5,
