日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,呼和浩特,107.0,100.1,102.9,103.2,100.3,101.9
2011-02-01,呼和浩特,107.2,100.7,103.5,102.9,100.2,102.1
2011-03-01,呼和浩特,106.6,100.3,103.8,103.3,100.4,102.5
2011-04-01,呼和浩特,105.2,100.8,104.7,102.8,100.2,102.6
2011-05-01,呼和浩特,104.9,100.4,105.1,102.4,100.1,102.7
2011-06-01,呼和浩特,105.0,100.2,105.2,103.1,100.5,103.2
2011-07-01,呼和浩特,105.2,100.3,105.5,103.8,100.4,103.6
2011-08-01,呼和浩特,104.4,100.1,105.6,104.0,100.2,103.8
2011-09-01,呼和浩特,104.1,100.0,105.6,104.0,100.1,104.0
2011-10-01,呼和浩特,103.4,99.9,105.4,103.8,100.0,104.0
2011-11-01,呼和浩特,103.1,99.9,105.4,102.7,100.0,104.0
2011-12-01,呼和浩特,102.3,99.8,105.2,102.4,100.0,104.0
2012-01-01,呼和浩特,102.2,100.0,105.1,101.9,99.9,103.9
2012-02-01,呼和浩特,101.5,100.0,105.1,101.8,100.0,103.9
2012-03-01,呼和浩特,101.1,99.9,105.0,101.5,100.1,104.0
2012-04-01,呼和浩特,100.3,99.9,104.9,101.3,100.0,104.0
2012-05-01,呼和浩特,99.8,99.9,104.9,101.2,100.0,104.0
2012-06-01,呼和浩特,99.5,99.8,104.7,100.7,100.0,104.0
2012-07-01,呼和浩特,99.2,100.0,104.6,100.4,100.0,104.0
2012-08-01,呼和浩特,98.7,99.6,104.2,100.2,100.0,104.0
2012-09-01,呼和浩特,98.3,99.6,103.8,100.1,100.0,104.1
2012-10-01,呼和浩特,98.4,99.9,103.7,100.1,100.0,104.1
2012-11-01,呼和浩特,98.9,100.5,104.2,100.2,100.1,104.2
2012-12-01,呼和浩特,99.2,100.1,104.3,100.3,100.1,104.3
2013-01-01,呼和浩特,100.3,101.1,105.5,100.5,100.2,104.4
2013-02-01,呼和浩特,101.7,101.4,106.9,100.9,100.4,104.9
2013-03-01,呼和浩特,102.0,100.2,107.1,101.3,100.4,105.3
2013-04-01,呼和浩特,102.0,99.9,107.0,101.5,100.2,105.5
2013-05-01,呼和浩特,103.5,101.4,108.5,101.8,100.3,105.9
2013-06-01,呼和浩特,104.7,101.0,109.6,101.9,100.1,105.9
2013-07-01,呼和浩特,106.0,101.2,110.9,102.2,100.4,106.3
2013-08-01,呼和浩特,107.1,100.7,111.7,102.2,100.0,106.3
2013-09-01,呼和浩特,108.2,100.6,112.3,102.5,100.4,106.7
2013-10-01,呼和浩特,109.6,101.2,113.7,103.1,100.6,107.3
2013-11-01,呼和浩特,110.0,100.8,114.6,103.4,100.5,107.8
2013-12-01,呼和浩特,110.6,100.6,115.3,103.5,100.2,108.0
2014-01-01,呼和浩特,109.8,100.4,115.8,103.4,100.0,108.0
2014-02-01,呼和浩特,108.9,100.5,116.4,103.0,100.1,108.0
2014-03-01,呼和浩特,108.7,100.0,116.5,102.4,99.8,107.8
2014-04-01,呼和浩特,108.9,100.0,116.5,102.0,99.8,107.6
2014-05-01,呼和浩特,107.4,100.0,116.5,101.6,99.9,107.5
2014-06-01,呼和浩特,106.6,100.2,116.8,101.2,99.6,107.2
2014-07-01,呼和浩特,104.2,99.0,115.6,100.1,99.3,106.4
2014-08-01,呼和浩特,101.8,98.3,113.6,99.4,99.2,105.6
2014-09-01,呼和浩特,100.0,98.8,112.3,98.2,99.2,104.8
2014-10-01,呼和浩特,97.9,99.1,111.3,96.8,99.1,103.8
2014-11-01,呼和浩特,96.2,99.0,110.2,95.8,99.5,103.3
2014-12-01,呼和浩特,94.7,99.1,109.2,95.4,99.7,103.0
2015-01-01,呼和浩特,93.9,99.6,108.8,95.2,99.8,102.8
2015-02-01,呼和浩特,92.6,99.1,107.8,95.0,99.8,102.6
2015-03-01,呼和浩特,92.5,99.8,107.7,95.2,100.0,102.6
2015-04-01,呼和浩特,92.0,99.5,107.1,95.2,99.8,102.5
2015-05-01,呼和浩特,91.7,99.7,106.8,95.3,100.0,102.5
2015-06-01,呼和浩特,91.5,100.0,106.9,95.7,100.1,102.6
2015-07-01,呼和浩特,92.4,99.9,106.8,96.4,100.0,102.6
2015-08-01,呼和浩特,94.0,100.0,106.8,97.3,100.2,102.8
2015-09-01,呼和浩特,95.1,100.0,106.8,98.0,99.9,102.7
2015-10-01,呼和浩特,95.3,99.3,106.1,98.9,100.0,102.7
