日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,大理,102.8,100.0,101.1,105.2,100.0,104.6
2011-02-01,大理,102.2,100.0,101.1,105.8,100.0,104.6
2011-03-01,大理,102.2,100.0,101.1,106.0,100.0,104.6
2011-04-01,大理,101.0,100.0,101.1,107.5,99.1,103.6
2011-05-01,大理,100.8,100.0,101.1,107.0,100.0,103.6
2011-06-01,大理,100.9,100.0,101.1,107.6,99.5,103.1
2011-07-01,大理,102.4,100.5,101.6,105.1,100.2,103.3
2011-08-01,大理,101.5,100.0,101.6,103.5,100.0,103.3
2011-09-01,大理,101.4,100.2,101.8,100.1,100.0,103.3
2011-10-01,大理,100.1,100.0,101.8,98.9,100.0,103.3
2011-11-01,大理,100.7,100.0,101.7,99.2,100.0,103.3
2011-12-01,大理,100.7,100.0,101.8,98.8,100.0,103.3
2012-01-01,大理,100.7,100.0,101.8,98.8,100.0,103.3
2012-02-01,大理,100.6,100.0,101.7,98.8,100.0,103.3
2012-03-01,大理,100.7,100.1,101.8,98.8,100.0,103.3
2012-04-01,大理,100.7,100.0,101.7,99.7,100.0,103.3
2012-05-01,大理,100.5,99.9,101.6,99.7,100.0,103.3
2012-06-01,大理,100.5,99.9,101.5,100.2,100.0,103.3
2012-07-01,大理,100.1,100.2,101.7,99.8,99.8,103.1
2012-08-01,大理,100.0,99.9,101.6,99.7,99.9,103.0
2012-09-01,大理,99.8,100.0,101.6,99.6,99.9,102.9
2012-10-01,大理,99.7,99.8,101.4,99.5,99.9,102.8
2012-11-01,大理,99.5,99.9,101.3,99.4,99.9,102.7
2012-12-01,大理,99.7,100.2,101.5,99.4,99.9,102.6
2013-01-01,大理,99.7,99.9,101.4,99.5,100.1,102.7
2013-02-01,大理,99.8,100.0,101.5,99.6,100.2,102.9
2013-03-01,大理,100.4,100.8,102.2,100.2,100.5,103.5
2013-04-01,大理,100.9,100.4,102.6,100.4,100.2,103.6
2013-05-01,大理,101.8,100.8,103.4,100.6,100.3,103.9
2013-06-01,大理,102.6,100.7,104.1,100.9,100.2,104.2
2013-07-01,大理,102.8,100.4,104.5,100.8,99.8,103.9
2013-08-01,大理,104.0,101.1,105.6,101.2,100.3,104.2
2013-09-01,大理,104.3,100.4,106.0,101.7,100.3,104.6
2013-10-01,大理,104.9,100.4,106.4,102.3,100.5,105.1
2013-11-01,大理,106.1,101.0,107.4,102.8,100.4,105.6
2013-12-01,大理,106.0,100.2,107.6,103.1,100.2,105.7
2014-01-01,大理,106.3,100.2,107.9,102.6,99.7,105.4
2014-02-01,大理,106.3,100.0,107.8,102.0,99.5,104.9
2014-03-01,大理,105.5,100.0,107.9,101.3,99.9,104.8
2014-04-01,大理,105.3,100.2,108.0,101.0,99.8,104.6
2014-05-01,大理,104.6,100.1,108.1,100.0,99.3,103.9
2014-06-01,大理,103.9,100.0,108.2,99.6,99.8,103.7
2014-07-01,大理,103.6,100.1,108.3,99.2,99.4,103.1
2014-08-01,大理,101.3,98.8,107.0,98.7,99.7,102.9
2014-09-01,大理,100.3,99.4,106.3,97.7,99.3,102.1
2014-10-01,大理,98.9,99.0,105.2,96.6,99.5,101.6
2014-11-01,大理,97.3,99.3,104.5,95.8,99.6,101.2
2014-12-01,大理,96.6,99.4,103.9,94.2,98.4,99.6
2015-01-01,大理,95.9,99.5,103.4,94.1,99.6,99.2
2015-02-01,大理,95.4,99.5,102.9,94.1,99.5,98.7
2015-03-01,大理,95.2,99.8,102.7,93.6,99.4,98.1
2015-04-01,大理,94.5,99.5,102.1,92.9,99.0,97.2
2015-05-01,大理,94.3,99.8,101.9,93.3,99.7,96.9
2015-06-01,大理,94.2,100.0,101.9,93.3,99.8,96.7
2015-07-01,大理,94.1,99.9,101.8,93.6,99.8,96.5
2015-08-01,大理,94.9,99.6,101.5,93.7,99.9,96.4
2015-09-01,大理,95.6,100.2,101.6,93.9,99.5,95.9
2015-10-01,大理,96.2,99.7,101.3,94.4,100.0,95.9
2015-11-01,大理,96.9,100.0,101.3,94.6,99.8,95.7
2015-12-01,大理,97.4,99.9,101.2,96.1,100.0,95.7
2016-01-01,大理,98.2,100.6,,96.4,100.1,
2016-02-01,大理,98.7,99.9,,97.3,100.4,
2016-03-01,大理,98.2,99.3,,98.2,100.2,
2016-04-01,大理,98.9,100.2,,99.3,100.1,
2016-05-01,大理,99.7,100.6,,99.8,100.3,
2016-06-01,大理,100.4,100.6,,99.8,99.8,
2016-07-01,大理,100.8,100.3,,100.1,100.2,
2016-08-01,大理,101.3,100.0,,99.8,99.6,
2016-09-01,大理,101.4,100.2,,100.3,99.9,
2016-10-01,大理,102.1,100.3,,100.2,99.8,
2016-11-01,大理,102.6,100.5,,100.7,100.3,
2016-12-01,大理,103.1,100.3,,100.3,99.6,
2017-01-01,大理,102.6,100.2,,100.0,99.8,
2017-02-01,大理,103.1,100.3,,99.5,99.9,
2017-03-01,大理,103.6,99.8,,99.3,100.0,
2017-04-01,大理,104.0,100.6,,99.4,100.2,
2017-05-01,大理,103.7,100.3,,99.2,100.1,
2017-06-01,大理,103.7,100.6,,99.8,100.4,
2017-07-01,大理,103.6,100.2,,99.6,100.0,
2017-08-01,大理,104.1,100.5,,100.3,100.2,
2017-09-01,大理,104.5,100.6,,100.8,100.4,
2017-10-01,大理,104.4,100.3,,101.2,100.3,
2017-11-01,大理,104.5,100.6,,101.4,100.5,
2017-12-01,大理,105.7,101.5,,102.8,101.0,
2018-01-01,大理,106.4,100.7,,102.9,100.7,
2018-02-01,大理,106.9,100.9,,104.3,100.4,
2018-03-01,大理,108.1,100.9,,104.6,100.3,
2018-04-01,大理,108.7,101.2,,104.9,100.5,
2018-05-01,大理,109.3,100.8,,105.4,100.6,
2018-06-01,大理,109.9,101.2,,105.7,100.8,
2018-07-01,大理,111.4,101.6,,107.3,101.5,
2018-08-01,大理,112.9,101.9,,109.2,101.9,
2018-09-01,大理,113.9,101.5,,110.1,101.2,
2018-10-01,大理,116.0,102.1,,111.7,101.8,
2018-11-01,大理,118.5,102.8,,113.9,102.6,
2018-12-01,大理,118.8,101.8,,114.5,101.5,
2019-01-01,大理,120.3,102.0,,115.6,101.6,
2019-02-01,大理,121.4,101.8,,116.5,101.3,
2019-03-01,大理,121.9,101.3,,118.3,101.8,
2019-04-01,大理,121.0,100.5,,118.6,100.8,
2019-05-01,大理,122.2,101.8,,119.3,101.1,
2019-06-01,大理,122.9,101.8,,119.0,100.6,
2019-07-01,大理,122.7,101.5,,118.3,100.8,
2019-08-01,大理,121.5,100.8,,116.6,100.5,
2019-09-01,大理,120.6,100.8,,116.4,101.0,
2019-10-01,大理,118.9,100.7,,114.9,100.4,
2019-11-01,大理,116.7,100.8,,112.6,100.5,
2019-12-01,大理,115.4,100.6,,111.7,100.6,
2020-01-01,大理,114.1,100.8,,110.6,100.7,
