日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,安庆,110.1,100.0,104.4,104.6,100.5,102.8
2011-02-01,安庆,109.5,100.0,104.4,104.5,100.2,103.0
2011-03-01,安庆,107.9,99.9,104.3,104.4,100.1,103.1
2011-04-01,安庆,105.1,99.9,104.2,103.7,100.3,103.4
2011-05-01,安庆,104.6,99.7,103.9,103.6,100.1,103.5
2011-06-01,安庆,104.3,100.0,103.9,103.6,100.1,103.6
2011-07-01,安庆,103.0,100.1,104.0,103.3,99.8,103.3
2011-08-01,安庆,102.3,100.0,104.0,102.8,99.8,103.1
2011-09-01,安庆,101.3,99.9,103.9,102.4,99.9,103.0
2011-10-01,安庆,101.3,100.0,104.0,101.9,99.6,102.5
2011-11-01,安庆,101.2,99.9,103.9,100.0,98.6,101.1
2011-12-01,安庆,99.2,99.7,103.6,98.1,99.3,100.4
2012-01-01,安庆,98.9,99.7,103.3,96.2,98.5,98.9
2012-02-01,安庆,98.7,99.8,103.1,96.0,100.0,98.9
2012-03-01,安庆,98.7,99.9,103.0,95.8,99.9,98.8
2012-04-01,安庆,98.8,100.0,103.0,95.6,100.0,98.8
2012-05-01,安庆,99.0,99.9,102.9,95.5,100.0,98.8
2012-06-01,安庆,98.9,99.9,102.8,95.4,100.0,98.8
2012-07-01,安庆,99.1,100.3,103.1,95.7,100.0,98.9
2012-08-01,安庆,99.1,100.0,103.1,96.0,100.2,99.0
2012-09-01,安庆,99.2,100.0,103.1,96.1,100.0,99.0
2012-10-01,安庆,99.2,100.1,103.2,96.6,100.0,99.0
2012-11-01,安庆,99.6,100.3,103.5,98.0,100.1,99.1
2012-12-01,安庆,100.0,100.1,103.6,98.8,100.1,99.1
2013-01-01,安庆,100.1,99.8,103.4,100.3,100.1,99.2
2013-02-01,安庆,101.0,100.7,104.1,100.7,100.3,99.5
2013-03-01,安庆,102.1,101.0,105.2,100.9,100.2,99.7
2013-04-01,安庆,102.5,100.4,105.5,101.2,100.3,100.0
2013-05-01,安庆,103.2,100.6,106.2,101.4,100.2,100.2
2013-06-01,安庆,103.9,100.5,106.7,101.6,100.2,100.4
2013-07-01,安庆,103.5,99.9,106.7,101.8,100.3,100.7
2013-08-01,安庆,104.2,100.6,107.3,101.9,100.3,100.9
2013-09-01,安庆,104.8,100.6,108.0,102.2,100.2,101.1
2013-10-01,安庆,105.5,100.8,108.8,102.3,100.1,101.3
2013-11-01,安庆,105.7,100.6,109.4,102.3,100.1,101.4
2013-12-01,安庆,105.9,100.2,109.6,102.2,99.9,101.3
2014-01-01,安庆,106.5,100.4,110.1,102.0,99.9,101.2
2014-02-01,安庆,105.6,99.9,109.9,101.6,100.0,101.2
2014-03-01,安庆,104.6,100.0,110.0,101.4,100.0,101.1
2014-04-01,安庆,104.0,99.8,109.8,101.0,99.9,101.0
2014-05-01,安庆,103.1,99.8,109.5,100.6,99.8,100.8
2014-06-01,安庆,102.2,99.7,109.1,100.1,99.6,100.5
2014-07-01,安庆,101.5,99.2,108.3,99.3,99.5,100.0
2014-08-01,安庆,99.7,98.9,107.1,98.0,99.0,98.9
2014-09-01,安庆,97.7,98.6,105.5,97.0,99.2,98.1
2014-10-01,安庆,96.2,99.2,104.7,96.0,99.1,97.2
