日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,宜昌,110.2,100.1,102.3,101.9,100.4,101.7
2011-02-01,宜昌,106.0,100.1,102.4,101.8,100.1,101.7
2011-03-01,宜昌,105.6,100.7,103.1,101.5,100.1,101.9
2011-04-01,宜昌,103.8,100.6,103.7,101.2,100.0,101.9
2011-05-01,宜昌,103.9,100.6,104.4,102.9,100.2,102.1
2011-06-01,宜昌,103.0,100.2,104.5,102.9,100.0,102.1
2011-07-01,宜昌,103.3,100.4,104.9,102.9,100.0,102.1
2011-08-01,宜昌,103.7,100.4,105.3,102.8,100.0,102.1
2011-09-01,宜昌,103.5,100.0,105.3,102.7,100.0,102.1
2011-10-01,宜昌,102.9,99.6,104.8,101.7,100.0,102.1
2011-11-01,宜昌,102.4,99.7,104.5,101.0,100.0,102.1
2011-12-01,宜昌,102.2,100.0,104.5,100.9,100.0,102.2
2012-01-01,宜昌,102.1,100.0,104.4,100.5,100.0,102.2
2012-02-01,宜昌,101.8,99.8,104.2,100.3,99.9,102.1
2012-03-01,宜昌,100.9,99.8,104.0,100.2,99.9,102.0
2012-04-01,宜昌,99.9,99.6,103.6,96.9,96.8,98.7
2012-05-01,宜昌,99.1,99.8,103.4,96.8,100.1,98.8
2012-06-01,宜昌,98.9,100.0,103.4,96.4,99.7,98.5
2012-07-01,宜昌,98.6,100.0,103.4,96.5,100.1,98.6
2012-08-01,宜昌,98.6,100.4,103.8,96.6,100.1,98.7
2012-09-01,宜昌,98.8,100.2,104.0,96.7,100.1,98.8
2012-10-01,宜昌,99.3,100.1,104.1,96.8,100.1,98.9
2012-11-01,宜昌,100.0,100.3,104.5,96.8,100.0,98.9
2012-12-01,宜昌,100.4,100.4,104.9,97.1,100.3,99.2
2013-01-01,宜昌,101.1,100.6,105.6,97.7,100.6,99.8
2013-02-01,宜昌,102.0,100.7,106.3,99.2,101.5,101.3
2013-03-01,宜昌,103.5,101.2,107.6,100.8,101.5,102.8
2013-04-01,宜昌,105.1,101.2,108.9,105.2,101.0,103.8
2013-05-01,宜昌,106.5,101.1,110.1,106.1,101.0,104.9
2013-06-01,宜昌,107.2,100.6,110.8,107.2,100.6,105.5
2013-07-01,宜昌,107.6,100.5,111.3,107.5,100.4,105.9
2013-08-01,宜昌,108.6,101.3,112.8,107.8,100.4,106.4
2013-09-01,宜昌,109.3,100.8,113.7,108.1,100.4,106.8
2013-10-01,宜昌,109.6,100.4,114.2,108.6,100.6,107.5
2013-11-01,宜昌,109.9,100.5,114.8,109.2,100.5,108.0
2013-12-01,宜昌,110.0,100.6,115.4,109.4,100.4,108.5
2014-01-01,宜昌,109.5,100.2,115.6,109.0,100.3,108.7
2014-02-01,宜昌,109.0,100.2,115.9,107.6,100.2,109.0
2014-03-01,宜昌,107.6,99.9,115.8,106.2,100.3,109.2
2014-04-01,宜昌,106.3,100.0,115.7,105.1,99.9,109.2
2014-05-01,宜昌,105.0,99.9,115.6,104.0,99.9,109.1
2014-06-01,宜昌,103.5,99.2,114.7,103.2,99.8,108.9
2014-07-01,宜昌,102.0,99.0,113.6,101.8,99.1,107.9
2014-08-01,宜昌,99.8,99.1,112.6,100.5,99.1,106.9
2014-09-01,宜昌,98.3,99.3,111.8,99.4,99.3,106.2
2014-10-01,宜昌,97.4,99.5,111.2,97.6,98.8,104.9
2014-11-01,宜昌,96.0,99.1,110.2,96.5,99.4,104.3
2014-12-01,宜昌,94.9,99.4,109.6,95.9,99.8,104.0
2015-01-01,宜昌,94.6,99.8,109.4,95.3,99.6,103.6
2015-02-01,宜昌,94.3,99.9,109.2,94.8,99.7,103.3
2015-03-01,宜昌,94.1,99.7,108.9,94.4,99.8,103.1
2015-04-01,宜昌,93.6,99.5,108.3,94.5,100.0,103.1
2015-05-01,宜昌,93.5,99.8,108.1,94.6,100.0,103.2
2015-06-01,宜昌,93.9,99.6,107.7,94.9,100.1,103.3
2015-07-01,宜昌,94.6,99.7,107.4,96.0,100.2,103.5
2015-08-01,宜昌,95.5,100.1,107.5,97.0,100.2,103.7
2015-09-01,宜昌,96.5,100.3,107.9,98.0,100.4,104.0
2015-10-01,宜昌,97.0,99.9,107.8,99.3,100.1,104.1
2015-11-01,宜昌,98.2,100.4,108.2,100.0,100.1,104.2
2015-12-01,宜昌,98.4,99.6,107.8,100.4,100.2,104.4
2016-01-01,宜昌,98.6,100.0,,101.1,100.1,
2016-02-01,宜昌,98.9,100.2,,101.4,100.0,
2016-03-01,宜昌,99.4,100.2,,102.1,100.6,
2016-04-01,宜昌,100.2,100.3,,102.2,100.1,
2016-05-01,宜昌,100.7,100.3,,102.3,100.2,
2016-06-01,宜昌,101.5,100.5,,102.1,100.0,
2016-07-01,宜昌,102.1,100.3,,102.0,100.1,
2016-08-01,宜昌,102.6,100.5,,102.1,100.2,
2016-09-01,宜昌,103.0,100.7,,101.9,100.3,
2016-10-01,宜昌,103.8,100.8,,102.4,100.6,
2016-11-01,宜昌,104.1,100.7,,102.9,100.5,
2016-12-01,宜昌,105.1,100.6,,103.0,100.4,
2017-01-01,宜昌,106.0,100.8,,103.5,100.5,
2017-02-01,宜昌,106.5,100.7,,103.8,100.3,
2017-03-01,宜昌,107.3,101.0,,104.0,100.7,
2017-04-01,宜昌,109.2,102.1,,105.2,101.3,
2017-05-01,宜昌,110.7,101.7,,106.5,101.4,
2017-06-01,宜昌,111.7,101.4,,107.6,101.1,
2017-07-01,宜昌,111.4,100.0,,107.5,99.9,
2017-08-01,宜昌,110.8,99.9,,107.0,99.8,
2017-09-01,宜昌,110.0,100.0,,106.6,99.9,
2017-10-01,宜昌,108.9,99.8,,105.8,99.8,
2017-11-01,宜昌,108.8,100.5,,106.0,100.7,
2017-12-01,宜昌,108.6,100.4,,106.1,100.5,
2018-01-01,宜昌,108.2,100.9,,106.6,101.0,
2018-02-01,宜昌,108.6,100.6,,106.8,100.5,
2018-03-01,宜昌,108.5,100.9,,106.6,100.6,
2018-04-01,宜昌,106.6,100.3,,105.9,100.5,
2018-05-01,宜昌,105.7,100.8,,105.1,100.6,
2018-06-01,宜昌,105.7,101.4,,104.4,100.5,
2018-07-01,宜昌,108.7,102.9,,106.5,102.0,
2018-08-01,宜昌,110.1,101.2,,109.1,102.2,
2018-09-01,宜昌,111.5,101.3,,111.1,101.8,
2018-10-01,宜昌,112.1,100.3,,111.9,100.5,
2018-11-01,宜昌,112.1,100.6,,111.6,100.4,
2018-12-01,宜昌,112.9,101.1,,111.2,100.2,
2019-01-01,宜昌,112.8,100.8,,110.4,100.2,
2019-02-01,宜昌,113.0,100.8,,110.0,100.1,
2019-03-01,宜昌,112.7,100.6,,109.4,100.1,
2019-04-01,宜昌,112.9,100.6,,108.8,99.9,
2019-05-01,宜昌,112.5,100.4,,108.0,99.9,
2019-06-01,宜昌,110.6,99.6,,106.7,99.2,
2019-07-01,宜昌,107.8,100.3,,104.3,99.7,
2019-08-01,宜昌,106.0,99.5,,101.0,99.0,
2019-09-01,宜昌,104.4,99.8,,98.8,99.6,
2019-10-01,宜昌,103.7,99.7,,97.9,99.6,
2019-11-01,宜昌,102.7,99.6,,97.3,99.8,
2019-12-01,宜昌,101.3,99.7,,96.8,99.7,
2020-01-01,宜昌,100.1,99.5,,96.3,99.6,
2020-02-01,宜昌,99.3,100.0,,96.1,100.0,
2020-03-01,宜昌,98.4,99.7,,95.5,99.4,
2020-04-01,宜昌,98.2,100.3,,95.4,99.8,
2020-05-01,宜昌,98.2,100.4,,95.3,99.9,
2020-06-01,宜昌,98.9,100.3,,96.1,100.1,
2020-07-01,宜昌,99.3,100.7,,97.1,100.7,
2020-08-01,宜昌,99.9,100.1,,97.9,99.8,
2020-09-01,宜昌,100.3,100.2,,98.6,100.2,
2020-10-01,宜昌,101.3,100.6,,99.0,100.0,
2020-11-01,宜昌,102.1,100.4,,99.2,99.9,
2020-12-01,宜昌,102.5,100.1,,99.2,99.8,
2021-01-01,宜昌,102.9,99.9,101.6,99.3,99.7,99.7
2021-02-01,宜昌,103.3,100.4,102.1,99.1,99.8,99.5
2021-03-01,宜昌,104.1,100.5,102.6,99.9,100.2,99.7
2021-04-01,宜昌,104.6,100.8,103.4,99.9,99.8,99.5
2021-05-01,宜昌,104.9,100.7,104.1,100.0,99.9,99.4
2021-06-01,宜昌,105.0,100.5,104.6,99.9,99.9,99.3
2021-07-01,宜昌,104.8,100.6,105.2,98.9,99.8,99.1
2021-08-01,宜昌,104.7,100.0,105.2,98.9,99.7,98.9
2021-09-01,宜昌,104.2,99.7,104.9,98.4,99.8,98.7
2021-10-01,宜昌,103.2,99.7,104.6,98.1,99.8,98.4
2021-11-01,宜昌,102.6,99.8,104.3,97.7,99.5,97.9
2021-12-01,宜昌,102.2,99.6,104.0,97.5,99.5,97.5
2022-01-01,宜昌,102.1,99.8,103.7,97.4,99.6,97.1
2022-02-01,宜昌,101.2,99.6,103.3,97.1,99.5,96.6
2022-03-01,宜昌,100.5,99.9,103.2,96.6,99.7,96.3
2022-04-01,宜昌,100.5,99.9,103.2,96.6,99.9,96.1
2022-05-01,宜昌,100.5,99.9,103.2,96.0,99.2,95.4
2022-06-01,宜昌,100.5,99.9,103.2,94.9,98.9,94.3
2022-07-01,宜昌,96.0,99.6,101.0,94.8,99.7,94.0
2022-08-01,宜昌,95.9,99.8,100.8,93.8,98.7,92.8
2022-09-01,宜昌,95.5,99.3,100.1,93.5,99.4,92.2
2022-10-01,宜昌,94.9,99.1,99.2,93.1,99.3,91.6
2022-11-01,宜昌,94.9,99.8,99.0,93.3,99.7,91.4
2022-12-01,宜昌,95.0,99.8,98.8,93.2,99.4,90.9
2023-01-01,宜昌,94.8,99.5,,93.2,99.6,
2023-02-01,宜昌,95.8,100.6,,93.4,99.8,
2023-03-01,宜昌,96.2,100.2,,93.6,99.9,
2023-04-01,宜昌,96.3,99.9,,93.5,99.7,
