日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,岳阳,122.0,102.2,112.9,113.7,101.5,108.4
2011-02-01,岳阳,118.3,99.0,111.7,112.9,100.0,108.3
2011-03-01,岳阳,108.9,98.5,110.0,111.6,100.1,108.4
2011-04-01,岳阳,107.7,99.9,109.9,108.7,100.0,108.5
2011-05-01,岳阳,107.5,99.9,109.6,110.4,100.1,108.5
2011-06-01,岳阳,107.5,100.1,109.6,109.7,100.0,108.5
2011-07-01,岳阳,108.0,100.5,110.2,109.2,100.0,108.6
2011-08-01,岳阳,107.6,100.1,109.4,107.5,99.2,108.1
2011-09-01,岳阳,105.9,99.8,109.2,105.6,99.1,107.1
2011-10-01,岳阳,105.7,99.9,109.0,103.3,99.8,106.9
2011-11-01,岳阳,100.2,99.5,108.5,101.9,99.9,106.8
2011-12-01,岳阳,97.7,99.4,107.9,100.0,99.9,106.7
2012-01-01,岳阳,95.4,99.8,107.7,98.5,100.0,106.7
2012-02-01,岳阳,96.4,100.0,107.7,98.6,100.1,106.8
2012-03-01,岳阳,97.9,100.0,107.7,98.7,100.1,107.0
2012-04-01,岳阳,97.8,99.8,107.5,98.7,100.1,107.1
2012-05-01,岳阳,98.0,100.0,107.4,98.8,100.1,107.3
2012-06-01,岳阳,98.0,100.0,107.5,99.1,100.2,107.5
2012-07-01,岳阳,98.4,100.0,107.5,98.9,100.1,107.7
2012-08-01,岳阳,98.4,100.1,107.6,99.9,100.3,108.0
2012-09-01,岳阳,98.4,99.9,107.4,101.1,100.3,108.4
2012-10-01,岳阳,98.7,100.2,107.6,101.8,100.4,108.8
2012-11-01,岳阳,99.3,100.0,107.7,102.1,100.2,109.0
2012-12-01,岳阳,99.8,100.0,107.7,102.4,100.3,109.3
2013-01-01,岳阳,100.2,100.3,107.9,102.7,100.2,109.6
2013-02-01,岳阳,100.9,100.6,108.6,102.9,100.4,110.0
2013-03-01,岳阳,102.6,101.8,110.5,103.3,100.5,110.6
2013-04-01,岳阳,104.3,101.4,112.1,103.9,100.6,111.3
2013-05-01,岳阳,106.0,101.5,113.8,104.3,100.6,111.9
2013-06-01,岳阳,107.9,101.9,115.9,104.4,100.4,112.3
2013-07-01,岳阳,108.2,100.3,116.3,104.7,100.4,112.7
2013-08-01,岳阳,108.9,100.8,117.2,104.6,100.3,113.0
2013-09-01,岳阳,110.8,101.6,119.0,104.9,100.6,113.6
2013-10-01,岳阳,110.8,100.3,119.3,104.8,100.3,113.9
2013-11-01,岳阳,110.9,100.1,119.4,104.8,100.2,114.2
2013-12-01,岳阳,110.8,100.0,119.3,104.7,100.2,114.5
2014-01-01,岳阳,111.1,100.5,119.9,104.7,100.2,114.7
2014-02-01,岳阳,110.7,100.3,120.3,104.7,100.3,115.1
2014-03-01,岳阳,109.3,100.4,120.8,104.3,100.2,115.3
2014-04-01,岳阳,107.9,100.1,121.0,103.8,100.1,115.5
2014-05-01,岳阳,106.4,100.1,121.1,103.3,100.1,115.6
2014-06-01,岳阳,104.5,100.0,121.2,102.9,100.0,115.6
2014-07-01,岳阳,103.3,99.1,120.1,101.9,99.3,114.8
2014-08-01,岳阳,101.3,98.8,118.6,100.5,98.9,113.6
2014-09-01,岳阳,98.8,99.1,117.6,99.0,99.0,112.5
2014-10-01,岳阳,97.9,99.3,116.8,97.9,99.1,111.5
2014-11-01,岳阳,97.0,99.1,115.8,97.2,99.5,111.0
2014-12-01,岳阳,96.5,99.4,115.1,96.9,99.9,110.9
2015-01-01,岳阳,95.6,99.6,114.6,96.2,99.6,110.4
2015-02-01,岳阳,94.6,99.3,113.8,95.5,99.5,109.9
2015-03-01,岳阳,94.2,100.0,113.8,95.2,99.9,109.7
2015-04-01,岳阳,93.8,99.7,113.5,95.0,99.9,109.7
2015-05-01,岳阳,93.4,99.6,113.1,94.8,100.0,109.6
2015-06-01,岳阳,92.9,99.5,112.6,94.8,99.9,109.6
2015-07-01,岳阳,93.3,99.6,112.1,95.4,99.9,109.5
2015-08-01,岳阳,94.2,99.7,111.7,96.4,100.0,109.5
2015-09-01,岳阳,94.7,99.7,111.4,97.3,100.0,109.4
2015-10-01,岳阳,94.4,99.0,110.3,98.0,99.9,109.3
2015-11-01,岳阳,95.3,100.0,110.3,98.5,100.0,109.4
2015-12-01,岳阳,95.8,99.9,110.2,98.6,100.0,109.3
2016-01-01,岳阳,96.5,100.1,,98.9,99.8,
2016-02-01,岳阳,97.3,100.1,,99.3,100.1,
2016-03-01,岳阳,97.7,100.4,,99.6,100.1,
2016-04-01,岳阳,98.4,100.5,,99.9,100.2,
2016-05-01,岳阳,98.8,100.0,,100.0,100.1,
2016-06-01,岳阳,99.3,100.2,,100.1,100.1,
2016-07-01,岳阳,100.0,100.4,,100.4,100.2,
2016-08-01,岳阳,100.6,100.3,,100.7,100.2,
2016-09-01,岳阳,102.4,101.4,,101.1,100.4,
2016-10-01,岳阳,104.6,101.3,,101.7,100.5,
2016-11-01,岳阳,104.9,100.3,,101.8,100.1,
2016-12-01,岳阳,105.4,100.4,,102.2,100.3,
2017-01-01,岳阳,106.2,100.8,,103.0,100.6,
2017-02-01,岳阳,106.6,100.5,,103.0,100.1,
2017-03-01,岳阳,107.1,100.8,,103.3,100.4,
2017-04-01,岳阳,107.3,100.7,,103.6,100.5,
2017-05-01,岳阳,108.5,101.1,,104.1,100.6,
2017-06-01,岳阳,109.6,101.3,,104.7,100.7,
2017-07-01,岳阳,110.2,100.9,,105.0,100.5,
2017-08-01,岳阳,110.7,100.8,,105.0,100.2,
2017-09-01,岳阳,109.8,100.6,,104.9,100.2,
2017-10-01,岳阳,109.2,100.8,,104.6,100.3,
2017-11-01,岳阳,109.3,100.4,,105.0,100.5,
2017-12-01,岳阳,109.7,100.7,,105.0,100.3,
2018-01-01,岳阳,107.9,100.0,,104.6,100.2,
2018-02-01,岳阳,108.7,100.4,,104.8,100.3,
2018-03-01,岳阳,108.6,100.7,,104.5,100.2,
2018-04-01,岳阳,108.1,100.2,,104.4,100.4,
2018-05-01,岳阳,108.0,101.0,,104.4,100.5,
2018-06-01,岳阳,107.4,100.7,,104.4,100.7,
2018-07-01,岳阳,107.4,100.8,,104.6,100.7,
2018-08-01,岳阳,109.0,102.3,,106.8,102.3,
2018-09-01,岳阳,109.7,101.2,,108.0,101.3,
2018-10-01,岳阳,109.6,100.7,,107.9,100.3,
2018-11-01,岳阳,109.5,100.3,,107.4,100.0,
2018-12-01,岳阳,108.5,99.8,,106.9,99.9,
2019-01-01,岳阳,108.0,99.6,,106.4,99.8,
2019-02-01,岳阳,107.2,99.6,,106.1,99.9,
2019-03-01,岳阳,106.6,100.2,,106.0,100.1,
2019-04-01,岳阳,106.5,100.2,,105.6,100.0,
2019-05-01,岳阳,105.4,99.9,,105.6,100.5,
2019-06-01,岳阳,104.9,100.2,,104.8,100.0,
2019-07-01,岳阳,104.0,100.1,,104.6,100.4,
2019-08-01,岳阳,101.6,99.9,,101.6,99.4,
2019-09-01,岳阳,99.9,99.5,,100.0,99.7,
2019-10-01,岳阳,98.8,99.6,,99.0,99.3,
2019-11-01,岳阳,98.2,99.7,,98.4,99.4,
2019-12-01,岳阳,97.8,99.5,,98.5,100.0,
2020-01-01,岳阳,97.9,99.7,,98.6,99.9,
2020-02-01,岳阳,97.9,99.6,,98.2,99.6,
2020-03-01,岳阳,97.7,100.0,,98.2,100.0,
2020-04-01,岳阳,98.0,100.5,,98.6,100.5,
2020-05-01,岳阳,98.6,100.5,,98.5,100.4,
2020-06-01,岳阳,99.0,100.6,,98.8,100.3,
2020-07-01,岳阳,99.1,100.2,,98.5,100.1,
2020-08-01,岳阳,99.7,100.4,,99.1,100.0,
2020-09-01,岳阳,100.5,100.3,,99.7,100.2,
2020-10-01,岳阳,100.2,99.3,,99.9,99.5,
2020-11-01,岳阳,100.4,99.9,,100.7,100.2,
2020-12-01,岳阳,101.0,100.0,,100.8,100.0,
2021-01-01,岳阳,101.0,99.7,100.1,100.9,99.8,100.3
2021-02-01,岳阳,101.8,100.4,100.5,101.1,99.7,100.0
2021-03-01,岳阳,101.3,99.6,100.0,100.6,99.7,99.6
2021-04-01,岳阳,100.9,100.2,100.2,99.9,99.8,99.5
2021-05-01,岳阳,100.9,100.5,100.6,99.3,99.7,99.2
2021-06-01,岳阳,99.9,99.6,100.3,98.8,99.9,99.1
2021-07-01,岳阳,99.1,99.3,99.6,98.1,99.4,98.5
2021-08-01,岳阳,98.3,99.7,99.3,98.2,100.1,98.6
2021-09-01,岳阳,97.6,99.5,98.8,97.6,99.7,98.3
2021-10-01,岳阳,97.6,99.3,98.1,97.8,99.7,98.0
2021-11-01,岳阳,98.0,100.3,98.4,97.3,99.8,97.8
2021-12-01,岳阳,97.6,99.6,98.0,96.8,99.5,97.4
2022-01-01,岳阳,97.8,99.9,97.9,97.0,100.0,97.4
