日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,常德,106.5,101.7,104.2,109.1,101.4,104.4
2011-02-01,常德,106.4,100.5,104.7,107.8,100.4,104.8
2011-03-01,常德,105.9,100.1,104.8,107.2,100.5,105.3
2011-04-01,常德,105.5,100.5,105.3,106.5,100.5,105.8
2011-05-01,常德,105.8,100.3,105.6,106.8,100.5,106.3
2011-06-01,常德,106.1,100.2,105.8,107.3,100.5,106.9
2011-07-01,常德,106.3,100.2,105.9,107.0,100.4,107.3
2011-08-01,常德,106.3,100.1,106.0,106.4,100.2,107.6
2011-09-01,常德,105.3,99.8,105.8,106.5,100.1,107.7
2011-10-01,常德,104.6,99.9,105.8,105.6,100.2,107.9
2011-11-01,常德,103.5,99.8,105.5,105.1,100.1,108.0
2011-12-01,常德,102.6,99.7,105.2,105.0,100.2,108.2
2012-01-01,常德,100.5,99.6,104.8,103.5,99.9,108.1
2012-02-01,常德,100.0,100.0,104.7,103.2,100.0,108.1
2012-03-01,常德,100.0,100.0,104.8,102.7,100.0,108.1
2012-04-01,常德,99.5,100.0,104.8,101.4,99.2,107.3
2012-05-01,常德,99.2,99.9,104.7,100.8,99.9,107.2
2012-06-01,常德,99.0,100.1,104.8,100.4,100.1,107.3
2012-07-01,常德,98.7,99.8,104.5,99.2,99.2,106.4
2012-08-01,常德,98.6,100.1,104.6,98.5,99.5,105.9
2012-09-01,常德,98.8,100.0,104.6,98.6,100.2,106.2
2012-10-01,常德,98.8,100.0,104.5,98.4,100.0,106.2
2012-11-01,常德,99.1,100.1,104.6,97.2,98.8,104.9
2012-12-01,常德,100.3,100.9,105.5,96.6,99.5,104.5
2013-01-01,常德,100.8,100.0,105.6,97.4,100.8,105.3
2013-02-01,常德,101.6,100.8,106.4,97.9,100.5,105.8
2013-03-01,常德,102.6,101.1,107.5,100.2,102.3,108.3
2013-04-01,常德,103.4,100.7,108.3,102.8,101.8,110.2
2013-05-01,常德,103.3,99.9,108.2,103.6,100.8,111.1
2013-06-01,常德,103.9,100.6,108.9,104.3,100.8,112.0
2013-07-01,常德,104.5,100.4,109.3,105.3,100.1,112.1
2013-08-01,常德,105.6,101.1,110.4,106.5,100.6,112.8
2013-09-01,常德,106.1,100.4,110.9,106.7,100.5,113.3
2013-10-01,常德,106.5,100.3,111.3,107.2,100.4,113.8
2013-11-01,常德,106.9,100.5,111.9,108.6,100.1,114.0
2013-12-01,常德,106.4,100.4,112.3,109.2,100.1,114.1
2014-01-01,常德,107.1,100.7,113.1,108.6,100.2,114.3
2014-02-01,常德,106.8,100.5,113.6,108.3,100.3,114.6
2014-03-01,常德,105.9,100.3,113.9,105.8,99.9,114.6
2014-04-01,常德,105.4,100.2,114.1,104.0,100.1,114.7
2014-05-01,常德,105.1,99.6,113.7,103.2,100.0,114.7
2014-06-01,常德,103.9,99.5,113.1,102.3,99.9,114.5
2014-07-01,常德,102.5,98.9,111.9,101.7,99.5,114.0
2014-08-01,常德,100.3,99.0,110.8,100.3,99.2,113.2
2014-09-01,常德,99.2,99.3,110.1,99.0,99.2,112.2
2014-10-01,常德,98.3,99.4,109.4,98.0,99.3,111.5
2014-11-01,常德,97.5,99.6,109.0,97.6,99.7,111.2
2014-12-01,常德,96.9,99.8,108.8,97.4,99.9,111.1
2015-01-01,常德,95.4,99.2,107.9,96.7,99.5,110.6
2015-02-01,常德,94.3,99.3,107.1,96.1,99.6,110.2
2015-03-01,常德,94.1,100.0,107.1,96.1,100.0,110.1
2015-04-01,常德,93.3,99.4,106.5,95.9,99.9,110.0
2015-05-01,常德,93.4,99.7,106.2,96.0,100.1,110.1
2015-06-01,常德,93.6,99.7,105.9,96.1,100.1,110.1
2015-07-01,常德,94.4,99.8,105.6,96.5,99.9,110.0
2015-08-01,常德,95.2,99.9,105.5,97.3,100.1,110.1
2015-09-01,常德,96.0,100.1,105.7,98.1,100.0,110.1
2015-10-01,常德,96.5,99.9,105.6,98.8,100.1,110.2
2015-11-01,常德,97.0,100.2,105.7,99.1,100.0,110.2
2015-12-01,常德,96.6,99.4,105.1,99.5,100.3,110.5
2016-01-01,常德,97.1,99.9,,100.0,99.7,
2016-02-01,常德,98.1,100.3,,100.0,99.7,
2016-03-01,常德,98.0,99.9,,100.1,100.1,
2016-04-01,常德,98.8,100.1,,100.4,100.2,
2016-05-01,常德,99.0,99.8,,100.4,100.1,
2016-06-01,常德,99.3,100.1,,100.7,100.4,
2016-07-01,常德,99.7,100.2,,101.1,100.3,
2016-08-01,常德,100.0,100.1,,101.0,100.1,
2016-09-01,常德,101.5,101.7,,101.9,100.9,
2016-10-01,常德,102.2,100.5,,102.2,100.3,
2016-11-01,常德,102.5,100.5,,102.3,100.2,
2016-12-01,常德,103.0,99.8,,102.1,100.0,
2017-01-01,常德,103.4,100.3,,102.3,99.8,
2017-02-01,常德,103.4,100.4,,102.6,100.0,
2017-03-01,常德,104.8,101.2,,103.1,100.6,
2017-04-01,常德,105.1,100.4,,103.2,100.3,
2017-05-01,常德,106.8,101.5,,103.8,100.7,
2017-06-01,常德,108.4,101.6,,104.4,100.9,
2017-07-01,常德,109.4,101.1,,104.6,100.6,
2017-08-01,常德,110.1,100.7,,104.7,100.1,
2017-09-01,常德,108.6,100.3,,104.1,100.4,
2017-10-01,常德,108.7,100.5,,104.0,100.1,
2017-11-01,常德,108.3,100.1,,104.0,100.3,
2017-12-01,常德,109.1,100.6,,104.1,100.2,
2018-01-01,常德,110.2,100.3,,104.2,100.0,
2018-02-01,常德,108.5,99.8,,104.3,100.1,
2018-03-01,常德,107.2,100.0,,103.9,100.2,
2018-04-01,常德,107.3,100.5,,103.9,100.3,
2018-05-01,常德,106.5,100.7,,103.6,100.4,
2018-06-01,常德,105.4,100.5,,103.3,100.6,
2018-07-01,常德,104.4,100.1,,103.1,100.5,
2018-08-01,常德,106.4,102.7,,106.4,103.2,
2018-09-01,常德,107.5,101.4,,107.3,101.3,
2018-10-01,常德,109.2,102.1,,107.8,100.6,
2018-11-01,常德,110.2,101.1,,107.9,100.4,
2018-12-01,常德,110.7,101.0,,107.9,100.2,
2019-01-01,常德,110.7,100.3,,107.9,100.0,
2019-02-01,常德,110.8,99.9,,107.8,100.0,
2019-03-01,常德,112.4,101.5,,107.9,100.2,
2019-04-01,常德,112.9,100.9,,107.3,99.8,
2019-05-01,常德,112.4,100.3,,106.7,99.8,
2019-06-01,常德,112.3,100.5,,105.6,99.5,
2019-07-01,常德,112.3,100.0,,105.3,100.2,
