日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,平顶山,105.9,101.2,104.2,102.5,102.5,102.5
2011-02-01,平顶山,106.9,101.0,105.2,103.9,101.3,103.9
2011-03-01,平顶山,106.1,99.3,104.4,105.0,101.1,105.0
2011-04-01,平顶山,105.3,99.6,104.0,105.5,100.5,105.5
2011-05-01,平顶山,104.5,100.1,104.1,105.7,100.2,105.7
2011-06-01,平顶山,104.3,100.2,104.3,106.4,100.7,106.4
2011-07-01,平顶山,104.4,100.1,104.4,106.7,100.3,106.7
2011-08-01,平顶山,104.5,100.2,104.6,106.8,100.1,106.8
2011-09-01,平顶山,104.7,100.2,104.8,106.8,100.0,106.8
2011-10-01,平顶山,103.3,100.1,104.9,106.8,100.0,106.8
2011-11-01,平顶山,103.1,100.1,105.0,106.5,99.8,106.5
2011-12-01,平顶山,101.9,99.9,104.9,106.3,99.7,106.3
2012-01-01,平顶山,100.6,100.0,104.8,103.4,99.7,106.0
2012-02-01,平顶山,99.6,99.9,104.7,101.5,99.5,105.4
2012-03-01,平顶山,100.2,99.9,104.6,100.2,99.8,105.2
2012-04-01,平顶山,100.5,99.9,104.5,99.6,99.9,105.1
2012-05-01,平顶山,100.2,99.8,104.3,99.3,99.9,105.0
2012-06-01,平顶山,99.9,99.9,104.2,98.5,99.9,104.9
2012-07-01,平顶山,99.9,100.0,104.3,98.3,100.0,104.9
2012-08-01,平顶山,99.9,100.2,104.4,98.5,100.3,105.2
2012-09-01,平顶山,99.6,100.0,104.4,98.6,100.1,105.3
2012-10-01,平顶山,99.7,100.2,104.6,98.7,100.1,105.4
2012-11-01,平顶山,99.5,99.8,104.4,98.9,100.0,105.4
2012-12-01,平顶山,99.8,100.3,104.7,99.2,100.1,105.4
2013-01-01,平顶山,99.8,99.9,104.6,99.4,100.0,105.4
2013-02-01,平顶山,101.0,101.1,105.7,100.3,100.4,105.7
2013-03-01,平顶山,102.5,101.4,107.2,101.0,100.5,106.3
2013-04-01,平顶山,103.3,100.7,108.0,102.0,100.9,107.2
2013-05-01,平顶山,104.3,100.8,108.8,102.8,100.7,108.0
2013-06-01,平顶山,105.2,100.8,109.7,103.4,100.4,108.4
2013-07-01,平顶山,105.9,100.7,110.4,103.7,100.3,108.8
