日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,惠州,104.9,100.9,102.8,102.7,101.4,103.4
2011-02-01,惠州,104.6,100.5,103.4,103.5,100.8,104.3
2011-03-01,惠州,104.9,100.4,103.8,105.3,101.0,105.3
2011-04-01,惠州,105.5,100.4,104.2,104.8,99.5,104.8
2011-05-01,惠州,105.5,100.5,104.7,106.5,100.1,104.9
2011-06-01,惠州,105.2,100.1,104.9,107.4,100.3,105.2
2011-07-01,惠州,105.2,100.0,104.9,107.1,99.9,105.1
2011-08-01,惠州,105.0,100.0,104.9,106.9,100.0,105.1
2011-09-01,惠州,103.9,100.0,104.9,105.8,100.0,105.1
2011-10-01,惠州,102.8,100.1,105.0,102.7,100.0,105.1
2011-11-01,惠州,103.0,100.0,105.0,103.2,100.1,105.2
2011-12-01,惠州,103.0,99.9,104.9,103.1,100.0,105.2
2012-01-01,惠州,101.9,99.9,104.8,101.1,99.4,104.6
2012-02-01,惠州,101.1,99.8,104.5,100.3,99.9,104.5
2012-03-01,惠州,100.7,99.9,104.5,99.2,99.9,104.4
2012-04-01,惠州,100.1,99.8,104.3,99.6,99.9,104.3
2012-05-01,惠州,99.5,100.0,104.3,99.6,100.2,104.5
2012-06-01,惠州,99.5,100.1,104.4,99.7,100.3,104.9
2012-07-01,惠州,99.7,100.2,104.6,99.5,99.7,104.6
2012-08-01,惠州,99.6,99.9,104.5,99.2,99.7,104.3
2012-09-01,惠州,99.4,99.8,104.3,98.8,99.6,103.9
2012-10-01,惠州,99.6,100.3,104.6,99.2,100.3,104.2
2012-11-01,惠州,99.8,100.2,104.7,99.3,100.2,104.4
2012-12-01,惠州,100.2,100.3,105.1,99.3,100.0,104.4
2013-01-01,惠州,100.3,100.0,105.1,99.9,100.1,104.5
2013-02-01,惠州,101.2,100.7,105.8,100.5,100.5,105.0
2013-03-01,惠州,102.0,100.7,106.5,101.3,100.7,105.8
2013-04-01,惠州,102.7,100.6,107.2,101.9,100.5,106.3
2013-05-01,惠州,103.6,100.7,108.0,102.2,100.4,106.8
2013-06-01,惠州,104.3,100.9,108.9,102.3,100.4,107.3
2013-07-01,惠州,104.7,100.6,109.5,103.0,100.4,107.7
2013-08-01,惠州,105.7,100.8,110.4,103.6,100.3,108.0
2013-09-01,惠州,106.7,100.7,111.3,104.4,100.4,108.5
2013-10-01,惠州,107.2,100.8,112.1,104.7,100.7,109.2
2013-11-01,惠州,108.1,100.9,113.2,105.5,100.9,110.1
2013-12-01,惠州,108.5,100.7,114.0,106.3,100.8,111.0
