日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,扬州,104.9,101.1,102.9,105.2,100.5,102.8
2011-02-01,扬州,105.4,100.8,103.7,105.3,100.1,102.9
2011-03-01,扬州,105.8,100.9,104.6,104.4,100.2,103.1
2011-04-01,扬州,105.6,100.1,104.7,104.0,100.1,103.2
2011-05-01,扬州,105.0,100.0,104.7,103.5,100.1,103.3
2011-06-01,扬州,104.7,100.0,104.7,103.4,100.0,103.4
2011-07-01,扬州,104.4,99.9,104.6,103.0,99.9,103.3
2011-08-01,扬州,104.1,100.1,104.6,102.6,99.8,103.1
2011-09-01,扬州,103.8,100.0,104.6,102.0,99.9,103.0
2011-10-01,扬州,103.3,99.8,104.4,101.6,99.9,102.9
2011-11-01,扬州,102.6,99.7,104.1,101.0,99.8,102.7
2011-12-01,扬州,102.0,99.8,103.9,99.9,99.5,102.2
2012-01-01,扬州,100.8,99.8,103.7,99.2,99.7,101.9
2012-02-01,扬州,99.9,99.9,103.6,98.8,99.8,101.7
2012-03-01,扬州,98.9,99.9,103.5,98.0,99.4,101.1
2012-04-01,扬州,98.8,100.0,103.5,97.2,99.3,100.3
2012-05-01,扬州,98.8,99.9,103.4,96.4,99.3,99.6
2012-06-01,扬州,98.7,100.0,103.4,96.3,99.9,99.5
2012-07-01,扬州,98.9,100.1,103.5,96.2,99.8,99.3
2012-08-01,扬州,98.9,100.0,103.4,96.1,99.8,99.1
2012-09-01,扬州,98.8,99.9,103.4,95.9,99.6,98.7
2012-10-01,扬州,99.0,100.0,103.4,95.9,99.9,98.6
2012-11-01,扬州,99.2,99.9,103.3,95.8,99.8,98.4
2012-12-01,扬州,100.2,100.7,104.0,96.6,100.3,98.7
2013-01-01,扬州,100.1,99.8,103.8,97.0,100.1,98.8
2013-02-01,扬州,100.8,100.6,104.4,97.7,100.5,99.4
2013-03-01,扬州,101.4,100.5,104.9,98.5,100.2,99.5
2013-04-01,扬州,102.5,101.1,106.1,99.6,100.4,100.0
2013-05-01,扬州,103.5,100.9,107.0,100.6,100.3,100.2
2013-06-01,扬州,104.4,100.8,107.9,100.9,100.2,100.4
2013-07-01,扬州,104.3,100.0,107.9,101.2,100.1,100.5
2013-08-01,扬州,104.8,100.5,108.4,101.9,100.5,101.0
2013-09-01,扬州,105.4,100.4,108.9,102.6,100.3,101.2
2013-10-01,扬州,106.6,101.2,110.2,103.0,100.4,101.6
2013-11-01,扬州,107.6,100.9,111.2,103.5,100.3,101.9
2013-12-01,扬州,107.3,100.4,111.6,103.4,100.2,102.1
2014-01-01,扬州,108.2,100.7,112.3,103.5,100.2,102.3
2014-02-01,扬州,107.9,100.3,112.7,103.0,100.0,102.3
2014-03-01,扬州,107.8,100.4,113.1,102.8,100.0,102.3
2014-04-01,扬州,106.7,100.1,113.2,102.2,99.9,102.2
2014-05-01,扬州,105.6,99.8,113.0,101.9,99.9,102.1
2014-06-01,扬州,104.4,99.7,112.6,101.8,100.1,102.2
2014-07-01,扬州,102.5,98.2,110.6,101.7,100.0,102.2
2014-08-01,扬州,100.4,98.5,108.9,100.5,99.3,101.4
2014-09-01,扬州,99.2,99.2,108.1,99.6,99.4,100.8
2014-10-01,扬州,96.9,98.8,106.8,98.5,99.3,100.1
2014-11-01,扬州,95.7,99.6,106.4,98.0,99.8,99.9
2014-12-01,扬州,95.1,99.7,106.1,97.8,99.9,99.8
2015-01-01,扬州,93.9,99.4,105.5,97.3,99.7,99.5
2015-02-01,扬州,93.2,99.6,105.0,96.9,99.6,99.1
2015-03-01,扬州,92.8,99.9,104.9,96.8,99.9,99.0
2015-04-01,扬州,92.6,99.9,104.9,97.0,100.0,99.1
2015-05-01,扬州,92.5,99.7,104.5,97.0,99.9,99.0
2015-06-01,扬州,92.7,99.9,104.4,97.0,100.2,99.2
2015-07-01,扬州,94.4,100.0,104.4,97.1,100.0,99.2
2015-08-01,扬州,96.0,100.1,104.5,98.1,100.3,99.5
2015-09-01,扬州,96.7,100.0,104.5,98.7,100.0,99.5
2015-10-01,扬州,98.0,100.2,104.7,99.5,100.2,99.7
2015-11-01,扬州,98.3,100.0,104.6,99.8,100.1,99.7
2015-12-01,扬州,99.0,100.4,105.0,99.9,100.0,99.7
2016-01-01,扬州,99.8,100.2,,100.2,99.9,
2016-02-01,扬州,100.4,100.2,,100.5,99.9,
2016-03-01,扬州,101.0,100.4,,100.6,100.0,
2016-04-01,扬州,101.5,100.4,,100.5,100.0,
2016-05-01,扬州,102.3,100.5,,100.7,100.2,
2016-06-01,扬州,102.8,100.3,,100.5,100.0,
2016-07-01,扬州,103.7,100.9,,101.0,100.5,
2016-08-01,扬州,104.3,100.7,,101.1,100.4,
2016-09-01,扬州,105.5,101.1,,101.9,100.7,
2016-10-01,扬州,107.1,101.6,,103.1,101.4,
2016-11-01,扬州,109.2,101.9,,104.6,101.4,
2016-12-01,扬州,109.7,100.9,,105.6,100.9,
2017-01-01,扬州,110.3,100.8,,106.1,100.5,
2017-02-01,扬州,111.2,100.9,,106.9,100.7,
2017-03-01,扬州,112.3,101.4,,108.2,101.2,
2017-04-01,扬州,113.7,101.7,,109.5,101.2,
2017-05-01,扬州,114.8,101.5,,110.3,100.9,
2017-06-01,扬州,115.5,100.9,,110.9,100.5,
2017-07-01,扬州,114.9,100.4,,110.9,100.6,
2017-08-01,扬州,114.5,100.3,,110.9,100.4,
2017-09-01,扬州,113.3,100.1,,109.8,99.8,
2017-10-01,扬州,112.0,100.5,,108.6,100.3,
2017-11-01,扬州,109.6,99.7,,106.7,99.6,
2017-12-01,扬州,109.1,100.3,,106.2,100.4,
2018-01-01,扬州,109.1,100.9,,105.5,100.2,
2018-02-01,扬州,108.7,100.5,,105.3,100.3,
2018-03-01,扬州,107.7,100.6,,104.5,100.4,
2018-04-01,扬州,106.8,100.9,,104.0,100.7,
2018-05-01,扬州,105.9,100.6,,103.4,100.4,
2018-06-01,扬州,105.5,100.5,,103.3,100.4,
2018-07-01,扬州,108.0,102.8,,104.5,101.8,
2018-08-01,扬州,109.0,101.2,,106.0,101.7,
2018-09-01,扬州,110.3,101.4,,107.6,101.3,
2018-10-01,扬州,111.2,101.2,,108.8,101.3,
2018-11-01,扬州,113.3,101.7,,109.8,100.5,
2018-12-01,扬州,113.4,100.4,,109.4,100.1,
2019-01-01,扬州,113.4,101.0,,109.4,100.1,
2019-02-01,扬州,113.3,100.4,,109.5,100.3,
2019-03-01,扬州,113.7,100.9,,109.3,100.2,
2019-04-01,扬州,113.3,100.5,,109.3,100.7,
2019-05-01,扬州,113.3,100.5,,109.1,100.2,
2019-06-01,扬州,113.6,100.9,,109.6,100.8,
2019-07-01,扬州,111.7,101.0,,108.1,100.5,
2019-08-01,扬州,112.2,101.7,,107.0,100.6,
2019-09-01,扬州,112.0,101.2,,105.9,100.3,
2019-10-01,扬州,111.3,100.6,,104.7,100.2,
2019-11-01,扬州,110.2,100.6,,104.6,100.4,
2019-12-01,扬州,111.1,101.3,,105.0,100.5,
2020-01-01,扬州,110.5,100.4,,105.1,100.2,
2020-02-01,扬州,110.1,100.0,,104.7,100.0,
2020-03-01,扬州,109.5,100.4,,104.9,100.3,
2020-04-01,扬州,109.5,100.5,,104.6,100.4,
2020-05-01,扬州,109.5,100.6,,104.5,100.2,
2020-06-01,扬州,109.3,100.7,,103.9,100.2,
2020-07-01,扬州,109.1,100.9,,103.5,100.1,
2020-08-01,扬州,108.3,100.9,,103.7,100.9,
2020-09-01,扬州,107.5,100.4,,104.0,100.7,
2020-10-01,扬州,107.7,100.9,,104.6,100.8,
2020-11-01,扬州,107.1,100.1,,104.3,100.1,
2020-12-01,扬州,106.6,100.8,,104.7,100.9,
2021-01-01,扬州,107.0,100.9,104.2,105.0,100.5,103.3
2021-02-01,扬州,107.7,100.7,104.9,105.5,100.5,103.8
2021-03-01,扬州,108.0,100.7,105.6,106.1,100.8,104.7
2021-04-01,扬州,108.5,100.9,106.5,106.5,100.8,105.5
2021-05-01,扬州,108.8,101.0,107.5,107.1,100.7,106.3
2021-06-01,扬州,109.3,101.1,108.7,107.8,100.7,107.1
2021-07-01,扬州,109.0,100.6,109.3,108.0,100.3,107.4
2021-08-01,扬州,108.1,100.0,109.3,107.1,100.0,107.4
2021-09-01,扬州,107.3,99.6,108.9,106.1,99.7,107.1
2021-10-01,扬州,106.0,99.6,108.5,104.9,99.6,106.7
2021-11-01,扬州,105.1,99.2,107.6,104.2,99.5,106.1
2021-12-01,扬州,104.2,99.9,107.6,102.6,99.3,105.4
2022-01-01,扬州,102.7,99.5,107.0,101.7,99.7,105.1
2022-02-01,扬州,101.7,99.6,106.6,100.7,99.4,104.5
2022-03-01,扬州,100.7,99.7,106.3,100.2,100.4,104.9
2022-04-01,扬州,100.7,99.7,106.3,98.1,98.8,103.6
2022-05-01,扬州,100.7,99.7,106.3,97.1,99.7,103.3
2022-06-01,扬州,100.7,99.7,106.3,96.4,99.9,103.2
2022-07-01,扬州,96.0,100.8,104.9,96.6,100.5,103.7
2022-08-01,扬州,95.7,99.7,104.6,96.5,99.9,103.6
2022-09-01,扬州,95.6,99.5,104.1,96.3,99.6,103.2
2022-10-01,扬州,95.6,99.6,103.7,96.6,99.9,103.1
2022-11-01,扬州,96.1,99.8,103.5,96.8,99.7,102.8
2022-12-01,扬州,96.7,100.6,104.0,97.2,99.7,102.4
2023-01-01,扬州,97.6,100.4,,97.3,99.8,
2023-02-01,扬州,98.4,100.4,,97.7,99.8,
2023-03-01,扬州,99.3,100.6,,97.9,100.6,
2023-04-01,扬州,100.4,100.0,,99.0,99.9,
2023-05-01,扬州,101.3,100.3,,99.0,99.9,
2023-06-01,扬州,101.8,100.1,,98.7,99.6,
2023-07-01,扬州,100.7,99.7,,97.8,99.6,
2023-08-01,扬州,100.0,99.0,,97.1,99.2,
2023-09-01,扬州,99.6,99.0,,96.9,99.3,
2023-10-01,扬州,99.1,99.1,,95.9,98.9,
2023-11-01,扬州,98.4,99.1,,95.1,98.8,
2023-12-01,扬州,97.3,99.4,,94.1,98.7,
2024-01-01,扬州,97.1,100.2,,93.7,99.4,
2024-02-01,扬州,96.6,99.9,,93.4,99.5,
