日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,桂林,105.8,102.2,104.6,106.0,100.8,103.2
2011-02-01,桂林,106.2,100.5,105.1,101.6,98.3,101.4
2011-03-01,桂林,107.3,100.8,105.9,102.4,99.8,101.2
2011-04-01,桂林,107.0,100.0,106.0,101.7,100.1,101.3
2011-05-01,桂林,105.5,100.2,106.1,102.7,100.3,101.6
2011-06-01,桂林,105.9,99.9,106.0,102.0,100.1,101.7
2011-07-01,桂林,106.2,100.2,106.3,102.3,100.4,102.1
2011-08-01,桂林,106.5,100.0,106.2,102.4,100.1,102.2
2011-09-01,桂林,106.5,100.2,106.5,101.7,99.9,102.1
2011-10-01,桂林,105.9,100.1,106.6,100.5,99.9,102.1
2011-11-01,桂林,105.5,99.8,106.4,100.1,100.0,102.1
2011-12-01,桂林,103.8,99.8,106.2,99.7,100.0,102.1
2012-01-01,桂林,101.6,100.0,106.2,98.9,99.9,102.0
2012-02-01,桂林,101.0,99.9,106.1,100.1,99.5,101.5
2012-03-01,桂林,100.0,99.8,105.9,100.4,100.1,101.6
2012-04-01,桂林,100.0,100.0,105.9,100.4,100.1,101.7
2012-05-01,桂林,99.8,100.0,105.9,99.7,99.7,101.4
2012-06-01,桂林,100.0,100.1,106.1,99.7,100.0,101.4
2012-07-01,桂林,99.8,100.0,106.1,99.5,100.2,101.6
2012-08-01,桂林,100.1,100.2,106.3,99.4,100.0,101.6
2012-09-01,桂林,99.7,99.9,106.2,99.6,100.1,101.7
2012-10-01,桂林,99.6,100.0,106.2,99.5,99.9,101.6
2012-11-01,桂林,99.7,99.9,106.1,99.6,100.1,101.7
2012-12-01,桂林,99.8,99.9,106.0,99.6,100.0,101.7
2013-01-01,桂林,99.7,99.9,105.9,99.8,100.1,101.8
2013-02-01,桂林,99.8,100.0,105.9,100.7,100.4,102.2
2013-03-01,桂林,100.6,100.7,106.6,101.1,100.5,102.7
2013-04-01,桂林,101.3,100.6,107.3,101.4,100.4,103.1
2013-05-01,桂林,104.3,102.9,110.4,102.5,100.8,103.9
2013-06-01,桂林,105.8,101.6,112.2,103.0,100.5,104.4
2013-07-01,桂林,107.8,101.9,114.4,103.2,100.4,104.8
2013-08-01,桂林,108.7,101.0,115.5,103.6,100.4,105.3
2013-09-01,桂林,108.7,99.9,115.4,104.0,100.5,105.8
2013-10-01,桂林,110.1,101.2,116.9,104.3,100.1,106.0
2013-11-01,桂林,111.6,101.3,118.4,104.5,100.3,106.3
2013-12-01,桂林,112.1,100.4,118.8,104.8,100.3,106.6
2014-01-01,桂林,112.8,100.6,119.5,104.5,99.9,106.4
2014-02-01,桂林,113.1,100.2,119.8,104.0,99.9,106.3
2014-03-01,桂林,112.6,100.2,120.0,103.6,100.1,106.4
2014-04-01,桂林,111.9,100.0,120.1,103.0,99.8,106.2
2014-05-01,桂林,108.8,100.1,120.2,102.1,99.9,106.1
2014-06-01,桂林,106.1,99.1,119.1,101.6,100.0,106.1
2014-07-01,桂林,102.8,98.7,117.6,100.4,99.2,105.3
2014-08-01,桂林,100.4,98.6,116.0,99.2,99.2,104.5
2014-09-01,桂林,98.6,98.1,113.8,97.7,99.0,103.4
2014-10-01,桂林,96.4,99.0,112.7,96.3,98.7,102.0
2014-11-01,桂林,93.9,98.6,111.1,95.7,99.7,101.7
2014-12-01,桂林,92.8,99.2,110.2,94.7,99.3,101.0
2015-01-01,桂林,91.9,99.6,109.8,94.2,99.3,100.2
2015-02-01,桂林,90.9,99.2,108.9,93.5,99.1,99.4
2015-03-01,桂林,90.4,99.6,108.5,92.7,99.3,98.7
2015-04-01,桂林,90.2,99.8,108.3,92.6,99.6,98.3
2015-05-01,桂林,89.9,99.8,108.0,92.4,99.7,98.0
2015-06-01,桂林,90.7,100.0,108.1,92.3,100.0,98.0
2015-07-01,桂林,91.8,99.9,108.0,93.0,100.0,98.0
2015-08-01,桂林,93.1,100.0,108.0,93.6,99.9,97.8
2015-09-01,桂林,94.5,99.5,107.5,94.5,99.9,97.7
2015-10-01,桂林,95.4,100.0,107.5,95.6,99.8,97.5
2015-11-01,桂林,96.7,99.9,107.4,95.9,100.0,97.5
2015-12-01,桂林,97.2,99.7,107.1,96.4,99.8,97.4
2016-01-01,桂林,97.3,99.7,,96.9,99.9,
2016-02-01,桂林,98.1,100.0,,97.6,99.9,
2016-03-01,桂林,98.5,100.1,,98.1,99.8,
2016-04-01,桂林,99.2,100.5,,98.3,99.8,
2016-05-01,桂林,99.5,100.0,,98.3,99.7,
2016-06-01,桂林,99.8,100.3,,98.4,100.0,
2016-07-01,桂林,99.8,99.9,,98.4,100.0,
2016-08-01,桂林,100.3,100.4,,98.5,99.9,
2016-09-01,桂林,102.2,101.5,,98.6,99.9,
2016-10-01,桂林,103.2,101.0,,98.4,99.7,
2016-11-01,桂林,103.1,99.8,,98.2,99.8,
2016-12-01,桂林,103.2,99.9,,98.3,99.9,
2017-01-01,桂林,103.8,100.3,,98.3,99.8,
2017-02-01,桂林,104.4,100.5,,98.2,99.9,
2017-03-01,桂林,105.1,100.8,,98.4,100.0,
2017-04-01,桂林,105.9,101.3,,99.0,100.4,
2017-05-01,桂林,106.8,100.8,,99.6,100.3,
2017-06-01,桂林,107.5,101.0,,100.2,100.7,
2017-07-01,桂林,108.9,101.2,,100.7,100.5,
2017-08-01,桂林,109.6,101.1,,101.7,100.9,
2017-09-01,桂林,108.2,100.2,,101.8,100.1,
2017-10-01,桂林,107.6,100.4,,102.3,100.1,
2017-11-01,桂林,109.2,101.3,,103.0,100.5,
2017-12-01,桂林,109.6,100.3,,103.0,99.9,
2018-01-01,桂林,107.2,99.8,,103.1,100.1,
2018-02-01,桂林,108.7,100.1,,103.3,99.9,
2018-03-01,桂林,108.5,100.6,,103.6,100.3,
2018-04-01,桂林,107.8,100.7,,103.4,100.1,
2018-05-01,桂林,107.5,100.6,,103.3,100.2,
2018-06-01,桂林,107.2,100.7,,103.4,100.8,
2018-07-01,桂林,106.4,100.5,,103.4,100.5,
2018-08-01,桂林,106.0,100.6,,103.3,100.7,
2018-09-01,桂林,106.8,101.0,,104.6,101.4,
2018-10-01,桂林,107.0,100.7,,105.2,100.7,
2018-11-01,桂林,108.1,102.3,,106.0,101.3,
2018-12-01,桂林,108.2,100.4,,106.5,100.4,
2019-01-01,桂林,109.5,101.0,,106.6,100.1,
2019-02-01,桂林,110.1,100.6,,106.6,100.0,
2019-03-01,桂林,110.0,100.6,,107.3,100.9,
2019-04-01,桂林,109.2,100.0,,107.7,100.6,
2019-05-01,桂林,109.5,100.8,,108.1,100.5,
2019-06-01,桂林,110.0,101.2,,107.8,100.5,
2019-07-01,桂林,110.6,101.1,,107.6,100.3,
2019-08-01,桂林,110.3,100.3,,107.5,100.6,
2019-09-01,桂林,110.3,101.0,,106.7,100.6,
2019-10-01,桂林,109.7,100.2,,106.8,100.8,
2019-11-01,桂林,107.6,100.3,,105.3,99.8,
2019-12-01,桂林,107.4,100.2,,104.6,99.7,
2020-01-01,桂林,106.7,100.3,,105.1,100.5,
2020-02-01,桂林,105.7,99.7,,105.3,100.2,
2020-03-01,桂林,104.9,99.8,,104.4,100.0,
2020-04-01,桂林,105.5,100.5,,104.1,100.3,
2020-05-01,桂林,105.1,100.4,,103.9,100.4,
2020-06-01,桂林,104.2,100.3,,103.6,100.2,
2020-07-01,桂林,103.1,100.0,,103.6,100.4,
2020-08-01,桂林,101.7,99.0,,103.0,100.0,
2020-09-01,桂林,101.4,100.7,,102.7,100.3,
2020-10-01,桂林,101.5,100.3,,102.1,100.2,
2020-11-01,桂林,100.9,99.8,,102.5,100.2,
2020-12-01,桂林,100.9,100.2,,102.5,99.8,
2021-01-01,桂林,100.3,99.9,100.3,102.6,100.5,101.4
2021-02-01,桂林,101.2,100.5,100.7,102.6,100.2,101.6
2021-03-01,桂林,102.0,100.4,101.2,102.6,100.1,101.6
2021-04-01,桂林,101.8,100.4,101.6,102.1,99.8,101.5
2021-05-01,桂林,101.8,100.5,102.0,101.7,100.1,101.5
2021-06-01,桂林,101.8,100.3,102.4,101.8,100.2,101.7
2021-07-01,桂林,101.6,99.7,102.1,101.8,100.3,102.0
2021-08-01,桂林,102.3,99.6,101.7,101.5,99.8,101.8
2021-09-01,桂林,101.1,99.4,101.1,100.7,99.6,101.4
2021-10-01,桂林,100.0,99.3,100.4,99.9,99.4,100.8
2021-11-01,桂林,99.8,99.5,99.9,99.0,99.3,100.1
2021-12-01,桂林,99.9,100.4,100.3,99.0,99.8,99.9
2022-01-01,桂林,99.9,99.9,100.2,98.3,99.8,99.7
2022-02-01,桂林,99.2,99.8,99.9,97.8,99.6,99.3
2022-03-01,桂林,98.2,99.4,99.4,97.9,100.2,99.5
2022-04-01,桂林,98.2,99.4,99.4,97.7,99.6,99.1
2022-05-01,桂林,98.2,99.4,99.4,97.9,100.3,99.4
2022-06-01,桂林,98.2,99.4,99.4,97.4,99.7,99.1
2022-07-01,桂林,96.2,99.5,98.2,96.5,99.4,98.5
2022-08-01,桂林,95.9,99.3,97.5,96.4,99.6,98.1
2022-09-01,桂林,96.1,99.6,97.2,96.2,99.5,97.6
2022-10-01,桂林,96.5,99.7,96.9,96.5,99.6,97.2
2022-11-01,桂林,96.2,99.2,96.1,96.4,99.3,96.5
2022-12-01,桂林,95.3,99.4,95.6,96.1,99.5,96.0
2023-01-01,桂林,95.5,100.1,,95.9,99.6,
2023-02-01,桂林,96.4,100.7,,96.7,100.5,
2023-03-01,桂林,97.0,100.1,,97.0,100.4,
2023-04-01,桂林,98.0,100.5,,96.9,99.6,
2023-05-01,桂林,97.8,99.6,,96.9,99.6,
2023-06-01,桂林,97.4,99.5,,96.7,99.4,
2023-07-01,桂林,97.3,99.4,,96.7,99.3,
2023-08-01,桂林,97.4,99.5,,96.4,99.3,
2023-09-01,桂林,97.2,99.4,,96.5,99.5,
2023-10-01,桂林,97.2,99.6,,96.2,99.3,
2023-11-01,桂林,97.7,99.8,,96.5,99.6,
2023-12-01,桂林,97.9,99.6,,95.9,98.9,
2024-01-01,桂林,97.7,99.8,,96.0,99.6,
2024-02-01,桂林,96.5,99.5,,95.2,99.6,
2024-03-01,桂林,96.5,100.1,,94.4,99.5,
2024-04-01,桂林,95.5,99.4,,93.2,98.4,
2024-05-01,桂林,95.4,99.5,,92.5,99.6,
2024-06-01,桂林,95.5,99.6,,92.7,99.5,
2024-07-01,桂林,95.9,99.8,,93.0,99.7,
2024-08-01,桂林,95.8,99.5,,93.5,99.9,
2024-09-01,桂林,95.8,99.3,,93.5,99.5,
2024-10-01,桂林,96.3,100.2,,93.8,99.6,
2024-11-01,桂林,96.2,99.8,,93.8,99.7,
2024-12-01,桂林,96.3,99.7,,94.5,99.6,
2025-01-01,桂林,96.2,99.8,,94.3,99.5,
2025-02-01,桂林,96.4,99.7,,94.2,99.5,
2025-03-01,桂林,96.5,100.2,,94.8,100.1,
