日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,泸州,101.8,99.5,100.1,98.6,99.7,98.6
2011-02-01,泸州,101.4,100.3,100.4,98.4,100.3,98.9
2011-03-01,泸州,100.7,100.1,100.5,98.2,100.1,99.1
2011-04-01,泸州,100.7,100.2,100.7,98.6,100.6,99.7
2011-05-01,泸州,100.7,100.2,100.9,98.9,100.5,100.2
2011-06-01,泸州,100.8,100.1,101.0,99.6,100.3,100.5
2011-07-01,泸州,101.5,100.8,101.9,100.6,100.3,100.7
2011-08-01,泸州,101.8,100.2,102.0,101.0,99.9,100.7
2011-09-01,泸州,101.9,100.2,102.2,101.5,100.0,100.7
2011-10-01,泸州,102.1,100.1,102.3,101.9,100.0,100.7
2011-11-01,泸州,101.8,100.0,102.3,102.0,99.8,100.5
2011-12-01,泸州,101.7,100.0,102.3,101.3,99.7,100.2
2012-01-01,泸州,102.2,99.9,102.3,101.5,99.9,100.1
2012-02-01,泸州,101.8,99.9,102.2,101.1,99.9,100.1
2012-03-01,泸州,101.7,100.0,102.2,101.0,100.0,100.1
2012-04-01,泸州,101.4,99.9,102.1,100.4,100.0,100.1
2012-05-01,泸州,101.1,100.0,102.1,99.9,100.0,100.1
2012-06-01,泸州,101.2,100.2,102.2,99.7,100.1,100.2
2012-07-01,泸州,100.8,100.4,102.7,99.5,100.1,100.3
2012-08-01,泸州,100.7,100.1,102.7,99.7,100.0,100.3
2012-09-01,泸州,100.4,99.9,102.7,99.7,100.1,100.4
2012-10-01,泸州,100.0,99.7,102.4,99.8,100.0,100.4
2012-11-01,泸州,101.0,101.0,103.4,100.0,100.1,100.5
2012-12-01,泸州,101.5,100.5,103.9,100.5,100.3,100.8
2013-01-01,泸州,102.1,100.5,104.4,100.9,100.2,101.0
2013-02-01,泸州,103.0,100.8,105.3,100.8,99.9,100.9
2013-03-01,泸州,104.2,101.2,106.5,101.2,100.4,101.3
2013-04-01,泸州,105.2,100.9,107.4,101.6,100.4,101.7
2013-05-01,泸州,105.3,100.0,107.5,101.8,100.2,101.9
2013-06-01,泸州,105.0,99.9,107.4,101.7,100.0,101.9
2013-07-01,泸州,105.6,101.0,108.4,101.8,100.2,102.1
2013-08-01,泸州,106.6,101.1,109.6,102.1,100.3,102.4
2013-09-01,泸州,108.7,101.9,111.6,102.6,100.6,103.0
2013-10-01,泸州,109.5,100.5,112.1,103.0,100.4,103.4
2013-11-01,泸州,108.9,100.4,112.6,103.7,100.8,104.2
2013-12-01,泸州,109.2,100.8,113.5,104.1,100.6,104.9
2014-01-01,泸州,109.3,100.6,114.1,104.2,100.4,105.3
2014-02-01,泸州,108.7,100.3,114.5,104.8,100.5,105.8
2014-03-01,泸州,107.9,100.3,114.9,104.8,100.4,106.2
2014-04-01,泸州,107.2,100.2,115.1,104.7,100.3,106.5
2014-05-01,泸州,107.3,100.1,115.3,104.5,100.0,106.5
2014-06-01,泸州,106.5,99.2,114.3,104.1,99.6,106.1
2014-07-01,泸州,103.5,98.2,112.2,102.9,99.0,105.1
2014-08-01,泸州,101.0,98.6,110.6,101.8,99.3,104.3
2014-09-01,泸州,97.2,98.1,108.5,100.3,99.1,103.3
2014-10-01,泸州,96.0,99.3,107.7,98.4,98.5,101.8
2014-11-01,泸州,95.2,99.5,107.2,97.4,99.7,101.5
2014-12-01,泸州,93.2,98.7,105.8,96.7,99.9,101.4
2015-01-01,泸州,92.1,99.3,105.1,96.4,100.1,101.5
2015-02-01,泸州,91.8,100.0,105.1,96.1,100.1,101.6
2015-03-01,泸州,91.3,99.8,104.9,95.9,100.2,101.8
2015-04-01,泸州,90.6,99.4,104.3,95.9,100.3,102.1
2015-05-01,泸州,90.2,99.7,103.9,96.1,100.3,102.4
2015-06-01,泸州,90.6,99.6,103.5,96.7,100.2,102.6
2015-07-01,泸州,92.2,99.9,103.4,98.1,100.5,103.1
2015-08-01,泸州,93.3,99.8,103.2,99.1,100.3,103.4
2015-09-01,泸州,96.0,100.9,104.2,100.3,100.2,103.6
2015-10-01,泸州,96.9,100.2,104.3,102.1,100.2,103.9
2015-11-01,泸州,97.1,99.8,104.1,102.6,100.3,104.2
2015-12-01,泸州,98.5,100.0,104.1,102.8,100.1,104.3
2016-01-01,泸州,99.5,100.4,,103.3,100.6,
2016-02-01,泸州,98.9,99.3,,102.9,99.7,
2016-03-01,泸州,99.3,100.3,,103.0,100.3,
2016-04-01,泸州,100.5,100.5,,103.2,100.5,
2016-05-01,泸州,101.3,100.4,,103.1,100.2,
2016-06-01,泸州,102.0,100.3,,102.9,100.1,
2016-07-01,泸州,102.4,100.3,,102.7,100.2,
2016-08-01,泸州,102.8,100.2,,102.5,100.1,
2016-09-01,泸州,103.0,101.1,,102.8,100.5,
2016-10-01,泸州,102.6,99.7,,102.8,100.2,
2016-11-01,泸州,103.4,100.6,,102.8,100.3,
2016-12-01,泸州,103.7,100.4,,102.9,100.1,
2017-01-01,泸州,103.1,99.8,,102.5,100.2,
2017-02-01,泸州,103.9,100.1,,103.1,100.3,
2017-03-01,泸州,104.1,100.5,,103.2,100.4,
2017-04-01,泸州,103.9,100.4,,102.8,100.2,
2017-05-01,泸州,103.7,100.2,,102.9,100.3,
2017-06-01,泸州,104.3,100.9,,103.3,100.5,
2017-07-01,泸州,104.3,100.3,,103.3,100.2,
2017-08-01,泸州,103.7,99.7,,103.4,100.3,
2017-09-01,泸州,102.6,100.1,,103.4,100.4,
2017-10-01,泸州,103.6,100.7,,103.6,100.4,
2017-11-01,泸州,103.8,100.8,,104.2,100.9,
2017-12-01,泸州,105.5,102.0,,104.7,100.6,
2018-01-01,泸州,106.6,100.8,,104.4,100.3,
2018-02-01,泸州,106.8,100.4,,104.6,100.1,
2018-03-01,泸州,106.7,100.3,,104.7,100.4,
2018-04-01,泸州,106.7,100.4,,104.8,100.3,
2018-05-01,泸州,107.2,100.7,,106.2,101.6,
2018-06-01,泸州,107.7,101.3,,106.2,100.5,
2018-07-01,泸州,107.9,100.5,,107.4,101.4,
2018-08-01,泸州,110.2,101.8,,108.8,101.5,
2018-09-01,泸州,113.0,102.6,,110.6,102.1,
2018-10-01,泸州,114.1,101.6,,111.1,100.8,
2018-11-01,泸州,113.7,100.5,,110.7,100.6,
2018-12-01,泸州,111.8,100.2,,110.3,100.3,
2019-01-01,泸州,111.9,100.9,,109.8,99.8,
2019-02-01,泸州,111.9,100.4,,109.7,100.0,
2019-03-01,泸州,111.8,100.2,,109.3,100.1,
2019-04-01,泸州,111.6,100.2,,108.5,99.5,
2019-05-01,泸州,110.9,100.1,,106.8,100.1,
2019-06-01,泸州,109.2,99.8,,105.7,99.5,
2019-07-01,泸州,108.7,100.0,,104.2,99.9,
2019-08-01,泸州,106.2,99.5,,102.6,100.0,
2019-09-01,泸州,103.3,99.8,,101.2,100.7,
2019-10-01,泸州,100.6,99.0,,100.3,99.9,
2019-11-01,泸州,99.7,99.6,,99.5,99.8,
2019-12-01,泸州,99.1,99.6,,99.9,100.6,
2020-01-01,泸州,97.9,99.8,,100.0,99.9,
2020-02-01,泸州,96.8,99.3,,99.1,99.2,
2020-03-01,泸州,96.4,99.8,,98.6,99.5,
2020-04-01,泸州,96.2,100.0,,98.8,99.7,
2020-05-01,泸州,96.5,100.3,,98.3,99.6,
2020-06-01,泸州,97.2,100.5,,98.7,99.9,
2020-07-01,泸州,97.4,100.2,,98.6,99.8,
2020-08-01,泸州,98.3,100.5,,98.1,99.5,
2020-09-01,泸州,98.7,100.2,,97.6,100.2,
2020-10-01,泸州,99.4,99.6,,97.6,99.9,
2020-11-01,泸州,99.6,99.9,,97.6,99.8,
2020-12-01,泸州,99.8,99.8,,96.9,99.9,
2021-01-01,泸州,99.4,99.4,99.5,97.3,100.1,99.1
2021-02-01,泸州,99.8,99.6,99.1,98.4,100.4,99.5
2021-03-01,泸州,100.8,100.8,100.0,98.5,99.7,99.2
2021-04-01,泸州,100.5,99.7,99.7,99.2,100.4,99.6
2021-05-01,泸州,100.6,100.5,100.1,100.1,100.5,100.1
2021-06-01,泸州,99.9,99.9,100.0,100.2,100.0,100.1
2021-07-01,泸州,99.7,99.8,99.8,100.6,100.2,100.3
2021-08-01,泸州,99.1,99.9,99.7,101.6,100.5,100.8
2021-09-01,泸州,97.8,99.0,98.7,101.5,100.1,100.9
2021-10-01,泸州,97.3,99.1,97.7,100.8,99.2,100.1
2021-11-01,泸州,96.7,99.3,97.0,100.0,99.1,99.2
2021-12-01,泸州,96.8,100.0,97.0,99.9,99.7,98.9
2022-01-01,泸州,96.9,99.5,96.5,99.1,99.3,98.3
2022-02-01,泸州,96.8,99.5,96.0,98.6,99.9,98.2
2022-03-01,泸州,95.6,99.6,95.6,98.4,99.5,97.7
2022-04-01,泸州,95.6,99.6,95.6,97.8,99.8,97.5
2022-05-01,泸州,95.6,99.6,95.6,97.2,99.8,97.3
2022-06-01,泸州,95.6,99.6,95.6,96.8,99.6,96.9
2022-07-01,泸州,93.7,99.8,93.5,97.0,100.3,97.2
2022-08-01,泸州,93.4,99.5,93.1,96.4,99.9,97.2
2022-09-01,泸州,94.3,99.9,93.1,96.5,100.2,97.4
2022-10-01,泸州,94.9,99.7,92.8,96.5,99.3,96.6
2022-11-01,泸州,96.0,100.4,93.2,96.6,99.1,95.8
2022-12-01,泸州,95.7,99.6,92.8,96.9,100.1,95.9
2023-01-01,泸州,95.6,99.4,,97.2,99.6,
2023-02-01,泸州,96.2,100.1,,97.5,100.2,
2023-03-01,泸州,97.0,100.5,,98.1,100.1,
2023-04-01,泸州,98.1,100.4,,98.4,100.1,
2023-05-01,泸州,99.4,100.5,,98.4,100.1,
2023-06-01,泸州,99.3,99.5,,98.9,99.7,
2023-07-01,泸州,99.0,99.4,,98.1,99.5,
2023-08-01,泸州,98.9,99.4,,97.6,99.4,
2023-09-01,泸州,98.8,99.8,,97.0,99.5,
2023-10-01,泸州,98.8,99.7,,97.4,99.7,
2023-11-01,泸州,97.9,99.5,,98.0,99.7,
2023-12-01,泸州,97.8,99.4,,97.5,99.6,
2024-01-01,泸州,97.6,99.2,,97.7,99.8,
2024-02-01,泸州,96.6,99.1,,97.3,99.8,
2024-03-01,泸州,95.5,99.3,,96.8,99.6,
2024-04-01,泸州,94.5,99.4,,95.7,99.0,
2024-05-01,泸州,93.4,99.3,,94.5,98.9,
2024-06-01,泸州,93.2,99.3,,93.7,98.9,
2024-07-01,泸州,93.2,99.5,,93.5,99.2,
2024-08-01,泸州,93.1,99.3,,93.6,99.5,
2024-09-01,泸州,91.9,98.5,,92.9,98.8,
2024-10-01,泸州,91.5,99.2,,92.3,99.0,
2024-11-01,泸州,91.7,99.8,,92.1,99.5,
2024-12-01,泸州,92.0,99.8,,92.1,99.7,
2025-01-01,泸州,92.2,99.5,,92.0,99.7,
2025-02-01,泸州,92.7,99.6,,91.8,99.5,
2025-03-01,泸州,93.1,99.8,,92.3,100.1,
2025-04-01,泸州,93.3,99.6,,93.1,99.9,
2025-05-01,泸州,93.6,99.5,,93.5,99.3,
2025-06-01,泸州,94.0,99.7,,94.1,99.5,
2025-07-01,泸州,94.0,99.6,,94.2,99.4,
2025-08-01,泸州,94.1,99.5,,93.8,99.1,
2025-09-01,泸州,95.0,99.4,,94.2,99.3,
2025-10-01,泸州,95.2,99.4,,94.2,99.0,
2025-11-01,泸州,94.8,99.3,,93.9,99.2,
2025-12-01,泸州,94.1,99.1,,93.3,99.0,
2026-01-01,泸州,93.9,99.3,,92.7,99.1,
2026-02-01,泸州,93.4,99.2,,92.3,99.1,
2026-03-01,泸州,93.1,99.4,,91.5,99.2,
2026-04-01,泸州,92.8,99.3,,91.0,99.4,
