日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,海口,121.6,100.6,102.5,99.4,100.0,97.7
2011-02-01,海口,104.2,100.2,102.7,90.6,100.0,97.7
2011-03-01,海口,100.7,99.9,102.7,91.7,99.8,97.5
2011-04-01,海口,100.7,100.0,102.7,93.1,99.3,96.8
2011-05-01,海口,100.7,100.0,102.7,99.4,99.6,97.6
2011-06-01,海口,100.7,100.0,102.7,99.5,99.3,98.0
2011-07-01,海口,100.7,99.8,102.5,100.6,99.8,97.8
2011-08-01,海口,101.3,99.8,102.3,100.7,99.9,97.7
2011-09-01,海口,101.3,99.9,102.2,100.3,99.6,97.3
2011-10-01,海口,100.5,99.9,102.0,100.5,99.7,97.0
2011-11-01,海口,99.8,99.7,101.7,99.6,99.7,96.7
2011-12-01,海口,99.6,99.8,101.6,98.2,99.2,95.9
2012-01-01,海口,98.8,99.7,101.3,97.9,99.7,95.6
2012-02-01,海口,98.6,100.0,101.2,97.9,100.0,95.6
2012-03-01,海口,98.6,100.0,101.3,98.1,100.0,95.6
2012-04-01,海口,98.5,99.9,101.1,98.6,99.8,95.4
2012-05-01,海口,98.4,99.8,101.0,97.6,99.9,95.3
2012-06-01,海口,98.2,99.9,100.9,97.3,100.0,95.3
2012-07-01,海口,98.5,100.1,100.9,97.5,100.1,95.4
2012-08-01,海口,98.7,100.1,101.0,97.6,100.0,95.4
2012-09-01,海口,98.7,99.9,100.9,97.9,99.9,95.3
2012-10-01,海口,98.9,100.0,100.9,98.2,100.0,95.2
2012-11-01,海口,99.7,100.5,101.5,98.4,99.9,95.2
2012-12-01,海口,99.6,99.7,101.2,99.3,100.1,95.2
2013-01-01,海口,99.6,99.7,100.9,99.5,99.9,95.1
2013-02-01,海口,99.9,100.2,101.1,99.3,99.8,94.9
2013-03-01,海口,100.0,100.2,101.3,99.4,100.1,95.0
2013-04-01,海口,100.3,100.2,101.5,99.7,100.1,95.1
2013-05-01,海口,100.8,100.3,101.7,99.7,100.0,95.0
2013-06-01,海口,100.9,100.0,101.8,99.7,100.0,95.0
2013-07-01,海口,101.0,100.2,102.0,99.5,99.9,94.9
2013-08-01,海口,101.0,100.0,102.0,99.4,99.9,94.8
2013-09-01,海口,101.1,100.0,102.0,99.5,100.0,94.8
2013-10-01,海口,101.8,100.7,102.7,99.6,100.0,94.8
2013-11-01,海口,101.8,100.6,103.3,100.0,100.4,95.2
2013-12-01,海口,102.4,100.3,103.6,100.2,100.2,95.4
