日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,湛江,106.2,100.9,102.9,109.8,100.6,104.1
2011-02-01,湛江,106.2,100.9,103.8,108.8,100.2,104.3
2011-03-01,湛江,106.7,100.8,104.5,108.1,100.2,104.6
2011-04-01,湛江,106.0,100.3,104.9,106.9,100.1,104.7
2011-05-01,湛江,105.4,100.3,105.2,105.9,100.2,104.9
2011-06-01,湛江,104.7,100.1,105.3,105.3,100.4,105.4
2011-07-01,湛江,104.4,100.0,105.3,104.6,100.3,105.7
2011-08-01,湛江,104.2,100.0,105.3,104.2,100.4,106.1
2011-09-01,湛江,103.8,100.1,105.4,103.4,100.1,106.2
2011-10-01,湛江,104.0,100.1,105.5,103.0,100.0,106.2
2011-11-01,湛江,103.9,100.0,105.4,102.9,100.0,106.2
2011-12-01,湛江,103.4,100.0,105.4,102.7,100.0,106.2
2012-01-01,湛江,102.5,100.0,105.4,102.0,100.0,106.2
2012-02-01,湛江,101.4,99.9,105.3,101.8,100.0,106.2
2012-03-01,湛江,100.6,100.0,105.2,101.6,100.0,106.2
2012-04-01,湛江,100.4,100.0,105.3,101.5,100.0,106.2
2012-05-01,湛江,100.1,100.0,105.3,101.2,100.0,106.2
2012-06-01,湛江,100.4,100.4,105.7,100.8,100.0,106.2
2012-07-01,湛江,100.7,100.3,106.0,100.9,100.4,106.7
2012-08-01,湛江,100.7,100.0,106.0,100.7,100.1,106.8
2012-09-01,湛江,100.6,100.0,106.0,100.5,99.9,106.7
2012-10-01,湛江,100.8,100.3,106.3,100.4,99.9,106.6
2012-11-01,湛江,101.3,100.5,106.8,100.4,100.0,106.6
2012-12-01,湛江,101.7,100.4,107.2,100.5,100.1,106.8
2013-01-01,湛江,102.6,100.8,108.1,100.7,100.2,107.0
2013-02-01,湛江,103.8,101.1,109.2,101.2,100.5,107.5
2013-03-01,湛江,104.4,100.6,109.8,101.4,100.2,107.7
2013-04-01,湛江,105.0,100.6,110.6,101.6,100.3,108.0
2013-05-01,湛江,106.1,101.0,111.7,102.0,100.3,108.3
