日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,牡丹江,110.0,101.5,106.5,111.1,103.3,105.4
2011-02-01,牡丹江,110.4,100.7,107.2,111.1,101.1,106.5
2011-03-01,牡丹江,109.8,100.0,107.1,109.1,100.1,106.6
2011-04-01,牡丹江,108.8,99.4,106.5,107.2,100.1,106.7
2011-05-01,牡丹江,107.9,100.3,106.8,105.5,99.6,106.4
2011-06-01,牡丹江,107.5,100.1,107.0,104.6,99.6,105.9
2011-07-01,牡丹江,107.5,100.2,107.1,104.5,99.9,105.8
2011-08-01,牡丹江,106.5,99.8,107.0,104.1,99.8,105.5
2011-09-01,牡丹江,105.3,100.0,107.0,103.6,99.7,105.3
2011-10-01,牡丹江,104.6,99.9,106.9,102.9,99.5,104.7
2011-11-01,牡丹江,103.6,100.0,106.9,102.0,99.3,104.0
2011-12-01,牡丹江,102.0,100.0,107.0,101.0,99.1,103.0
2012-01-01,牡丹江,100.5,100.0,107.0,96.5,98.7,101.7
2012-02-01,牡丹江,99.7,99.9,106.8,95.3,99.9,101.6
2012-03-01,牡丹江,99.7,100.0,106.9,95.2,99.9,101.5
2012-04-01,牡丹江,100.1,99.7,106.6,95.0,99.9,101.4
2012-05-01,牡丹江,99.7,100.0,106.5,95.3,99.9,101.3
2012-06-01,牡丹江,99.7,100.1,106.6,95.6,99.9,101.3
2012-07-01,牡丹江,99.7,100.1,106.8,95.8,100.0,101.3
2012-08-01,牡丹江,99.7,99.8,106.6,96.0,100.0,101.3
2012-09-01,牡丹江,99.5,99.8,106.4,96.3,100.0,101.3
2012-10-01,牡丹江,99.6,100.0,106.4,96.7,100.0,101.3
2012-11-01,牡丹江,99.9,100.4,106.9,97.4,100.0,101.3
2012-12-01,牡丹江,99.9,99.9,106.8,98.2,99.9,101.2
2013-01-01,牡丹江,99.9,100.0,106.8,99.5,100.0,101.2
2013-02-01,牡丹江,100.8,100.8,107.7,99.9,100.3,101.4
2013-03-01,牡丹江,101.6,100.9,108.6,100.0,100.1,101.5
2013-04-01,牡丹江,103.0,101.1,109.8,100.9,100.8,102.4
2013-05-01,牡丹江,103.8,100.7,110.6,101.3,100.3,102.7
2013-06-01,牡丹江,104.4,100.6,111.3,101.7,100.3,103.0
2013-07-01,牡丹江,104.6,100.3,111.7,102.0,100.3,103.3
2013-08-01,牡丹江,105.0,100.2,111.9,101.7,99.7,103.0
2013-09-01,牡丹江,105.7,100.5,112.4,101.9,100.2,103.3
2013-10-01,牡丹江,105.7,100.0,112.5,101.7,99.8,103.0
2013-11-01,牡丹江,105.7,100.4,112.9,101.7,100.0,103.0
2013-12-01,牡丹江,106.2,100.5,113.5,101.6,99.9,102.9
2014-01-01,牡丹江,106.2,100.0,113.5,101.5,99.8,102.7
2014-02-01,牡丹江,105.4,99.9,113.4,101.0,99.8,102.5
2014-03-01,牡丹江,104.4,100.0,113.4,99.9,99.0,101.4
2014-04-01,牡丹江,103.4,100.1,113.6,99.1,100.0,101.4
2014-05-01,牡丹江,102.7,100.0,113.6,98.3,99.5,101.0
2014-06-01,牡丹江,102.0,99.9,113.5,96.6,98.5,99.4
2014-07-01,牡丹江,101.7,100.0,113.5,95.4,99.1,98.5
2014-08-01,牡丹江,100.4,99.0,112.4,94.3,98.6,97.2
2014-09-01,牡丹江,99.5,99.6,111.9,92.3,98.0,95.3
2014-10-01,牡丹江,98.9,99.4,111.2,90.8,98.2,93.5
2014-11-01,牡丹江,98.3,99.8,111.0,89.0,98.0,91.7
2014-12-01,牡丹江,97.3,99.4,110.4,87.5,98.2,90.0
2015-01-01,牡丹江,96.8,99.6,109.9,86.1,98.1,88.4
2015-02-01,牡丹江,96.7,99.7,109.6,85.8,99.5,87.9
2015-03-01,牡丹江,96.5,99.8,109.5,86.5,99.7,87.7
2015-04-01,牡丹江,96.2,99.8,109.3,87.6,101.4,88.9
2015-05-01,牡丹江,96.2,100.0,109.2,87.2,99.1,88.1
2015-06-01,牡丹江,96.2,100.0,109.2,88.6,100.0,88.1
2015-07-01,牡丹江,96.0,99.8,109.0,89.0,99.6,87.7
