日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,蚌埠,106.5,100.1,102.1,106.7,100.2,103.0
2011-02-01,蚌埠,105.0,101.0,103.1,106.9,100.4,103.3
2011-03-01,蚌埠,104.3,100.6,103.7,105.7,100.2,103.6
2011-04-01,蚌埠,103.7,100.2,104.0,104.7,100.5,104.1
2011-05-01,蚌埠,103.3,100.0,104.0,104.1,99.7,103.8
2011-06-01,蚌埠,103.2,100.0,104.0,103.9,100.2,104.0
2011-07-01,蚌埠,103.2,100.0,104.0,103.3,100.0,104.0
2011-08-01,蚌埠,104.2,100.0,104.0,103.1,100.1,104.0
2011-09-01,蚌埠,103.9,100.0,104.0,102.9,100.1,104.2
2011-10-01,蚌埠,103.6,100.1,104.0,102.5,100.1,104.3
2011-11-01,蚌埠,102.2,99.9,103.9,101.9,99.9,104.2
2011-12-01,蚌埠,101.5,99.7,103.6,101.3,99.9,104.1
2012-01-01,蚌埠,101.4,100.0,103.6,101.1,100.0,104.1
2012-02-01,蚌埠,100.3,99.8,103.4,100.7,100.0,104.1
2012-03-01,蚌埠,99.6,99.9,103.3,100.5,100.0,104.1
2012-04-01,蚌埠,99.3,99.9,103.2,100.0,100.0,104.1
2012-05-01,蚌埠,99.3,100.0,103.2,100.4,100.0,104.2
2012-06-01,蚌埠,99.3,100.0,103.2,100.2,100.0,104.2
2012-07-01,蚌埠,99.2,100.0,103.2,100.3,100.1,104.3
2012-08-01,蚌埠,99.3,100.0,103.2,100.3,100.1,104.4
2012-09-01,蚌埠,99.2,99.9,103.1,100.2,100.0,104.4
2012-10-01,蚌埠,99.1,100.0,103.1,100.2,100.1,104.5
2012-11-01,蚌埠,99.3,100.0,103.1,100.2,99.9,104.4
2012-12-01,蚌埠,99.9,100.4,103.5,100.3,100.0,104.5
2013-01-01,蚌埠,100.3,100.4,103.9,100.3,100.0,104.5
2013-02-01,蚌埠,100.9,100.5,104.4,100.5,100.1,104.6
2013-03-01,蚌埠,101.5,100.5,104.9,100.6,100.1,104.7
2013-04-01,蚌埠,101.9,100.3,105.1,101.1,100.5,105.3
2013-05-01,蚌埠,102.5,100.6,105.8,101.6,100.5,105.8
2013-06-01,蚌埠,103.0,100.5,106.3,101.7,100.1,105.9
2013-07-01,蚌埠,103.0,100.0,106.3,101.6,100.0,105.9
2013-08-01,蚌埠,103.5,100.5,106.9,101.8,100.3,106.2
2013-09-01,蚌埠,104.4,100.7,107.6,101.7,99.9,106.1
2013-10-01,蚌埠,105.0,100.6,108.3,101.8,100.3,106.4
2013-11-01,蚌埠,105.2,100.2,108.5,102.4,100.5,106.9
2013-12-01,蚌埠,104.8,100.0,108.5,103.0,100.6,107.6
2014-01-01,蚌埠,104.9,100.5,109.0,103.5,100.5,108.1
2014-02-01,蚌埠,104.6,100.2,109.2,104.1,100.7,108.9
2014-03-01,蚌埠,104.3,100.1,109.4,104.6,100.6,109.6
2014-04-01,蚌埠,104.1,100.1,109.5,104.4,100.3,109.9
2014-05-01,蚌埠,103.1,99.6,109.0,104.0,100.1,110.1
2014-06-01,蚌埠,102.1,99.5,108.5,103.5,99.6,109.6
2014-07-01,蚌埠,101.5,99.4,107.9,102.7,99.2,108.8
2014-08-01,蚌埠,100.0,99.1,106.9,101.1,98.7,107.4
2014-09-01,蚌埠,97.4,98.1,104.8,100.1,98.9,106.2
