日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,西宁,109.4,100.5,105.1,107.4,101.9,104.8
2011-02-01,西宁,109.5,100.3,105.4,107.8,100.5,105.3
2011-03-01,西宁,109.2,100.2,105.5,106.6,99.6,104.9
2011-04-01,西宁,107.7,100.3,105.8,106.0,100.0,104.9
2011-05-01,西宁,107.6,100.4,106.2,106.2,100.7,105.7
2011-06-01,西宁,107.2,100.3,106.5,106.4,100.4,106.0
2011-07-01,西宁,106.5,100.1,106.7,106.1,100.2,106.2
2011-08-01,西宁,106.3,100.1,106.8,105.9,100.1,106.3
2011-09-01,西宁,104.5,100.2,107.0,105.6,100.1,106.4
2011-10-01,西宁,103.9,100.2,107.2,104.3,99.6,106.0
2011-11-01,西宁,103.0,100.1,107.3,103.8,100.2,106.2
2011-12-01,西宁,102.6,99.9,107.2,103.2,100.0,106.2
2012-01-01,西宁,102.0,100.0,107.2,101.3,100.0,106.2
2012-02-01,西宁,101.8,100.1,107.3,101.0,100.2,106.4
2012-03-01,西宁,101.8,100.2,107.4,101.5,100.0,106.4
2012-04-01,西宁,101.7,100.2,107.6,101.5,100.0,106.4
2012-05-01,西宁,101.4,100.1,107.7,100.8,100.0,106.5
2012-06-01,西宁,101.1,100.1,107.7,100.7,100.3,106.8
2012-07-01,西宁,101.0,100.0,107.8,100.8,100.3,107.1
2012-08-01,西宁,101.3,100.4,108.1,100.8,100.1,107.2
2012-09-01,西宁,101.2,100.2,108.3,100.8,100.1,107.3
2012-10-01,西宁,101.5,100.4,108.8,101.3,100.2,107.4
2012-11-01,西宁,101.7,100.4,109.2,101.3,100.1,107.5
2012-12-01,西宁,102.0,100.2,109.4,101.3,100.1,107.6
2013-01-01,西宁,102.3,100.2,109.6,101.6,100.2,107.8
2013-02-01,西宁,103.6,101.4,111.1,101.7,100.4,108.3
2013-03-01,西宁,104.0,100.5,111.7,102.3,100.6,108.9
2013-04-01,西宁,104.6,100.8,112.6,102.7,100.4,109.3
2013-05-01,西宁,105.8,101.2,113.9,103.3,100.6,110.0
2013-06-01,西宁,106.9,101.1,115.2,103.5,100.5,110.6
2013-07-01,西宁,107.9,100.9,116.3,103.3,100.1,110.7
2013-08-01,西宁,108.7,101.1,117.5,103.6,100.3,111.0
2013-09-01,西宁,108.9,100.3,117.9,103.9,100.4,111.4
2013-10-01,西宁,109.3,100.8,118.9,103.9,100.1,111.6
2013-11-01,西宁,109.4,100.5,119.5,104.3,100.5,112.2
2013-12-01,西宁,109.9,100.6,120.2,104.3,100.1,112.3
2014-01-01,西宁,110.7,101.0,121.4,104.3,100.2,112.5
2014-02-01,西宁,109.5,100.2,121.6,104.1,100.2,112.7
2014-03-01,西宁,109.2,100.3,122.0,103.6,100.1,112.8
2014-04-01,西宁,108.6,100.2,122.3,103.2,100.1,112.9
2014-05-01,西宁,107.4,100.0,122.3,102.6,100.0,112.8
2014-06-01,西宁,106.4,100.1,122.5,102.1,100.1,112.9
