日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,赣州,112.4,101.0,106.6,102.8,100.6,101.3
2011-02-01,赣州,110.0,100.1,106.7,102.8,100.3,101.5
2011-03-01,赣州,108.4,99.1,105.8,102.0,99.8,101.4
2011-04-01,赣州,108.0,99.8,105.5,101.1,100.1,101.5
2011-05-01,赣州,106.3,99.8,105.3,100.3,98.9,100.4
2011-06-01,赣州,105.5,100.0,105.3,100.2,100.0,100.5
2011-07-01,赣州,105.3,100.0,105.3,99.9,99.7,100.2
2011-08-01,赣州,104.9,99.7,105.1,99.4,99.5,99.7
2011-09-01,赣州,103.4,100.1,105.1,99.0,99.7,99.3
2011-10-01,赣州,102.3,100.0,105.2,98.8,99.9,99.2
2011-11-01,赣州,101.3,99.9,105.1,98.7,100.0,99.2
2011-12-01,赣州,99.6,100.0,105.1,98.5,100.0,99.1
2012-01-01,赣州,98.6,100.0,105.0,97.9,100.0,99.1
2012-02-01,赣州,98.3,99.8,104.9,97.5,99.9,99.0
2012-03-01,赣州,99.1,100.0,104.8,97.7,100.0,99.0
2012-04-01,赣州,99.3,100.0,104.8,97.5,99.9,98.9
2012-05-01,赣州,99.5,100.0,104.8,98.5,100.0,98.9
2012-06-01,赣州,99.4,99.9,104.7,98.5,100.0,98.9
2012-07-01,赣州,99.4,100.0,104.7,98.7,100.0,98.9
2012-08-01,赣州,99.6,99.9,104.6,99.3,100.0,99.0
2012-09-01,赣州,99.2,99.8,104.3,99.6,100.0,99.0
2012-10-01,赣州,99.1,99.9,104.2,99.6,99.9,98.9
2012-11-01,赣州,99.2,100.1,104.3,99.6,99.9,98.8
2012-12-01,赣州,99.6,100.4,104.7,99.7,100.1,98.9
2013-01-01,赣州,100.6,100.9,105.6,99.9,100.2,99.0
2013-02-01,赣州,101.9,101.2,106.9,100.3,100.4,99.4
2013-03-01,赣州,103.6,101.6,108.6,100.8,100.4,99.8
2013-04-01,赣州,104.1,100.5,109.2,100.8,100.0,99.8
2013-05-01,赣州,104.5,100.4,109.6,100.8,100.0,99.7
2013-06-01,赣州,104.5,99.9,109.4,100.7,99.9,99.6
2013-07-01,赣州,105.6,101.0,110.6,101.0,100.4,100.0
2013-08-01,赣州,106.4,100.7,111.3,101.2,100.2,100.1
2013-09-01,赣州,107.5,100.8,112.2,101.3,100.2,100.3
2013-10-01,赣州,108.6,100.9,113.2,101.9,100.4,100.7
2013-11-01,赣州,109.4,100.8,114.1,102.1,100.2,100.9
2013-12-01,赣州,109.2,100.2,114.3,102.1,100.1,101.0
2014-01-01,赣州,108.9,100.6,115.0,102.1,100.1,101.1
2014-02-01,赣州,107.9,100.3,115.4,101.5,99.8,100.9
2014-03-01,赣州,106.3,100.1,115.5,100.6,99.5,100.4
2014-04-01,赣州,105.4,99.7,115.1,100.4,99.8,100.2
2014-05-01,赣州,104.9,99.8,114.9,100.2,99.8,100.0
2014-06-01,赣州,104.2,99.2,114.0,99.9,99.6,99.5
2014-07-01,赣州,102.0,98.9,112.8,98.4,98.9,98.4
2014-08-01,赣州,100.1,98.8,111.4,97.0,98.7,97.1
2014-09-01,赣州,97.7,98.4,109.6,95.8,98.9,96.1
2014-10-01,赣州,96.1,99.2,108.7,94.3,98.9,95.0
2014-11-01,赣州,94.7,99.4,108.1,94.2,100.0,95.0
2014-12-01,赣州,94.5,100.0,108.1,94.3,100.2,95.3
2015-01-01,赣州,94.1,100.2,108.2,93.9,99.7,94.9
2015-02-01,赣州,93.9,100.1,108.4,94.2,100.2,95.1
2015-03-01,赣州,93.6,99.7,108.0,94.5,99.8,94.9
2015-04-01,赣州,93.8,99.9,108.0,94.6,100.0,94.8
2015-05-01,赣州,93.6,99.6,107.6,94.7,99.9,94.7
2015-06-01,赣州,94.2,99.8,107.4,95.1,100.0,94.7
2015-07-01,赣州,95.4,100.2,107.6,96.4,100.2,94.9
2015-08-01,赣州,97.3,100.7,108.4,98.2,100.6,95.4
2015-09-01,赣州,98.2,99.3,107.6,99.3,100.1,95.4
2015-10-01,赣州,98.6,99.6,107.2,100.3,99.8,95.3
2015-11-01,赣州,99.0,99.8,107.0,100.1,99.8,95.1
2015-12-01,赣州,99.4,100.4,107.4,100.3,100.4,95.5
2016-01-01,赣州,99.4,100.3,,100.7,100.1,
