日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,遵义,105.2,101.2,103.8,111.7,101.1,106.8
2011-02-01,遵义,105.9,101.1,104.9,111.8,100.8,107.6
2011-03-01,遵义,105.9,100.3,105.2,110.6,100.1,107.8
2011-04-01,遵义,105.3,99.8,105.0,110.5,100.2,108.0
2011-05-01,遵义,106.1,100.3,105.3,111.2,100.3,108.4
2011-06-01,遵义,106.5,100.4,105.8,111.8,100.6,109.0
2011-07-01,遵义,106.4,100.1,105.9,110.1,99.9,108.9
2011-08-01,遵义,106.3,100.2,106.0,107.7,99.2,108.1
2011-09-01,遵义,105.5,99.9,105.9,105.1,100.1,108.2
2011-10-01,遵义,105.0,100.1,106.0,104.3,100.4,108.6
2011-11-01,遵义,104.6,100.0,106.0,102.2,99.6,108.1
2011-12-01,遵义,103.3,100.0,106.0,102.4,100.1,108.2
2012-01-01,遵义,102.2,100.0,106.0,101.4,100.1,108.2
2012-02-01,遵义,101.0,100.0,106.0,100.6,100.0,108.2
2012-03-01,遵义,100.9,100.1,106.1,100.2,99.8,108.0
2012-04-01,遵义,100.9,99.9,106.0,99.9,99.9,108.0
2012-05-01,遵义,100.4,99.8,105.8,99.6,100.0,108.0
2012-06-01,遵义,100.3,100.3,106.1,98.9,99.8,107.8
2012-07-01,遵义,100.3,100.1,106.2,98.9,99.9,107.7
2012-08-01,遵义,100.7,100.5,106.7,99.7,100.1,107.8
2012-09-01,遵义,100.4,99.6,106.3,99.4,99.8,107.6
2012-10-01,遵义,100.5,100.2,106.5,99.0,99.9,107.5
2012-11-01,遵义,100.6,100.1,106.7,98.6,99.1,106.6
2012-12-01,遵义,101.1,100.5,107.2,98.7,100.1,106.7
2013-01-01,遵义,102.0,100.9,108.1,98.9,100.3,107.1
2013-02-01,遵义,103.1,101.1,109.3,99.9,101.0,108.2
2013-03-01,遵义,103.6,100.6,110.0,100.9,100.8,109.0
2013-04-01,遵义,104.3,100.6,110.6,101.4,100.4,109.5
2013-05-01,遵义,104.5,100.0,110.5,101.7,100.3,109.8
2013-06-01,遵义,104.6,100.3,110.9,102.0,100.2,110.0
2013-07-01,遵义,104.7,100.3,111.2,102.1,100.0,110.0
2013-08-01,遵义,105.3,101.1,112.4,102.1,100.1,110.1
2013-09-01,遵义,106.0,100.3,112.7,102.3,100.0,110.0
2013-10-01,遵义,106.4,100.6,113.4,102.9,100.6,110.7
2013-11-01,遵义,107.3,101.0,114.5,104.5,100.7,111.4
2013-12-01,遵义,107.2,100.3,114.9,104.6,100.3,111.7
2014-01-01,遵义,106.6,100.3,115.2,104.5,100.2,111.9
2014-02-01,遵义,105.8,100.3,115.6,103.7,100.3,112.2
2014-03-01,遵义,105.3,100.2,115.8,103.1,100.1,112.4
2014-04-01,遵义,104.8,100.1,115.9,102.7,100.1,112.4
2014-05-01,遵义,104.8,100.0,115.9,102.4,100.0,112.5
2014-06-01,遵义,104.2,99.7,115.5,102.3,100.1,112.5
2014-07-01,遵义,103.1,99.2,114.6,101.7,99.4,111.8
2014-08-01,遵义,100.8,98.9,113.3,101.6,100.0,111.8
2014-09-01,遵义,99.8,99.3,112.5,100.9,99.2,110.9
2014-10-01,遵义,98.6,99.3,111.8,99.6,99.4,110.2
2014-11-01,遵义,97.1,99.5,111.2,99.0,100.0,110.2
2014-12-01,遵义,96.6,99.8,111.0,98.6,99.9,110.1
2015-01-01,遵义,95.4,99.1,109.9,98.1,99.7,109.8
2015-02-01,遵义,94.7,99.5,109.4,97.5,99.6,109.4
2015-03-01,遵义,94.1,99.6,109.0,97.1,99.7,109.1
2015-04-01,遵义,93.6,99.5,108.4,97.1,100.1,109.2
2015-05-01,遵义,93.5,99.9,108.4,97.0,99.9,109.1
2015-06-01,遵义,93.5,99.7,108.0,97.0,100.0,109.2
2015-07-01,遵义,94.1,99.8,107.9,98.0,100.4,109.6
2015-08-01,遵义,95.5,100.2,108.1,97.7,99.7,109.3
2015-09-01,遵义,95.9,99.8,107.9,97.9,99.4,108.6
2015-10-01,遵义,96.4,99.9,107.8,97.7,99.1,107.6
2015-11-01,遵义,96.7,99.8,107.5,97.2,99.6,107.2
2015-12-01,遵义,96.7,99.9,107.4,97.2,99.9,107.0
2016-01-01,遵义,97.8,100.0,,97.4,100.0,
2016-02-01,遵义,98.4,100.1,,97.6,99.8,
2016-03-01,遵义,99.0,100.2,,98.0,100.2,
2016-04-01,遵义,99.5,100.1,,98.1,100.1,
2016-05-01,遵义,99.8,100.3,,98.3,100.2,
2016-06-01,遵义,100.2,100.0,,98.5,100.2,
2016-07-01,遵义,100.1,99.8,,98.4,100.3,
2016-08-01,遵义,100.8,100.9,,98.8,100.2,
2016-09-01,遵义,100.6,99.7,,99.3,99.8,
2016-10-01,遵义,100.9,100.2,,100.6,100.4,
2016-11-01,遵义,101.5,100.3,,101.3,100.4,
2016-12-01,遵义,101.7,100.2,,102.0,100.5,
2017-01-01,遵义,102.1,100.4,,102.8,100.8,
2017-02-01,遵义,102.2,100.2,,103.0,100.0,
2017-03-01,遵义,102.3,100.3,,103.4,100.5,
2017-04-01,遵义,102.9,100.7,,103.6,100.3,
2017-05-01,遵义,102.8,100.2,,103.9,100.5,
2017-06-01,遵义,103.6,100.7,,104.0,100.3,
2017-07-01,遵义,104.8,101.0,,104.1,100.4,
2017-08-01,遵义,104.8,100.8,,104.7,100.7,
2017-09-01,遵义,105.8,100.6,,105.4,100.5,
2017-10-01,遵义,106.3,100.7,,105.3,100.4,
2017-11-01,遵义,106.5,100.5,,105.6,100.6,
2017-12-01,遵义,107.4,101.0,,106.1,100.9,
2018-01-01,遵义,107.9,101.1,,105.3,100.7,
2018-02-01,遵义,108.7,100.6,,106.4,100.4,
2018-03-01,遵义,109.3,100.9,,106.4,100.5,
2018-04-01,遵义,109.4,100.8,,106.3,100.3,
2018-05-01,遵义,110.0,100.7,,106.3,100.4,
2018-06-01,遵义,110.2,100.9,,106.9,100.9,
2018-07-01,遵义,110.1,101.0,,108.1,101.6,
2018-08-01,遵义,110.9,101.5,,109.2,101.7,
2018-09-01,遵义,111.4,101.1,,109.6,100.8,
2018-10-01,遵义,112.7,101.9,,109.9,100.6,
2018-11-01,遵义,114.1,101.7,,110.8,101.5,
2018-12-01,遵义,113.8,100.7,,110.5,100.6,
2019-01-01,遵义,113.1,100.5,,109.8,100.0,
2019-02-01,遵义,113.7,101.2,,109.7,100.3,
2019-03-01,遵义,113.3,100.5,,109.2,100.1,
2019-04-01,遵义,113.1,100.6,,108.7,99.9,
2019-05-01,遵义,112.8,100.4,,108.1,99.8,
2019-06-01,遵义,112.2,100.4,,106.9,99.8,
2019-07-01,遵义,111.1,100.0,,104.6,99.4,
2019-08-01,遵义,110.0,100.5,,102.6,99.8,
2019-09-01,遵义,109.3,100.4,,101.1,99.4,
2019-10-01,遵义,107.1,99.8,,99.9,99.5,
2019-11-01,遵义,104.7,99.5,,98.1,99.7,
2019-12-01,遵义,104.5,100.5,,97.1,99.6,
2020-01-01,遵义,104.2,100.2,,96.6,99.5,
2020-02-01,遵义,102.5,99.6,,95.6,99.3,
2020-03-01,遵义,102.2,100.2,,95.6,100.0,
2020-04-01,遵义,101.6,100.1,,95.5,99.8,
2020-05-01,遵义,101.1,99.9,,95.6,99.9,
2020-06-01,遵义,100.9,100.2,,96.1,100.3,
2020-07-01,遵义,100.5,99.6,,96.7,100.0,
2020-08-01,遵义,100.3,100.3,,97.5,100.5,
2020-09-01,遵义,99.7,99.8,,98.0,99.9,
2020-10-01,遵义,99.8,99.9,,98.3,99.8,
2020-11-01,遵义,100.6,100.3,,98.8,100.2,
2020-12-01,遵义,100.1,99.9,,99.0,99.8,
2021-01-01,遵义,100.4,100.4,100.5,99.9,100.5,100.5
2021-02-01,遵义,101.4,100.6,101.2,100.9,100.2,100.7
2021-03-01,遵义,101.4,100.2,101.3,101.2,100.3,101.0
2021-04-01,遵义,101.5,100.3,101.6,101.2,99.8,100.8
2021-05-01,遵义,102.2,100.6,102.3,100.8,99.5,100.3
2021-06-01,遵义,102.3,100.2,102.5,100.6,100.0,100.3
2021-07-01,遵义,102.1,99.4,101.9,100.4,99.9,100.2
2021-08-01,遵义,101.8,99.9,101.8,99.7,99.8,100.0
2021-09-01,遵义,101.7,99.7,101.6,99.3,99.6,99.7
2021-10-01,遵义,101.2,99.4,101.0,99.0,99.5,99.2
2021-11-01,遵义,100.3,99.5,100.4,98.7,99.8,99.0
2021-12-01,遵义,100.4,100.1,100.5,98.6,99.7,98.6
2022-01-01,遵义,99.4,99.4,99.9,97.7,99.5,98.2
2022-02-01,遵义,99.1,100.3,100.2,97.2,99.7,97.9
2022-03-01,遵义,99.3,100.4,100.7,96.3,99.4,97.2
2022-04-01,遵义,99.3,100.4,100.7,96.1,99.7,96.9
2022-05-01,遵义,99.3,100.4,100.7,95.8,99.2,96.1
2022-06-01,遵义,99.3,100.4,100.7,95.3,99.5,95.6
2022-07-01,遵义,98.3,99.7,100.2,95.8,100.4,96.0
2022-08-01,遵义,98.1,99.7,99.9,95.8,99.7,95.8
2022-09-01,遵义,98.6,100.2,100.1,95.6,99.5,95.3
2022-10-01,遵义,98.5,99.4,99.5,95.6,99.5,94.8
2022-11-01,遵义,99.3,100.3,99.7,95.6,99.8,94.7
2022-12-01,遵义,98.7,99.5,99.2,95.0,99.0,93.8
2023-01-01,遵义,99.5,100.2,,94.7,99.2,
2023-02-01,遵义,100.0,100.8,,95.5,100.5,
2023-03-01,遵义,100.5,100.9,,97.0,100.9,
2023-04-01,遵义,101.2,100.5,,96.9,99.7,
2023-05-01,遵义,101.3,99.5,,96.9,99.7,
2023-06-01,遵义,100.7,99.9,,97.4,99.5,
2023-07-01,遵义,101.1,100.2,,96.5,99.6,
2023-08-01,遵义,100.9,99.6,,96.2,99.4,
2023-09-01,遵义,100.5,99.8,,96.4,99.7,
2023-10-01,遵义,100.6,99.4,,96.2,99.4,
2023-11-01,遵义,99.9,99.6,,96.1,99.7,
2023-12-01,遵义,100.0,99.6,,96.9,99.8,
2024-01-01,遵义,99.5,99.8,,97.3,99.5,
2024-02-01,遵义,98.4,99.6,,96.5,99.7,
2024-03-01,遵义,97.7,100.2,,95.4,99.8,
2024-04-01,遵义,97.4,100.2,,95.3,99.5,
2024-05-01,遵义,97.6,99.7,,95.5,99.8,
2024-06-01,遵义,96.9,99.2,,95.3,99.3,
2024-07-01,遵义,96.4,99.7,,95.1,99.4,
2024-08-01,遵义,96.6,99.7,,95.1,99.4,
2024-09-01,遵义,96.1,99.3,,94.5,99.1,
2024-10-01,遵义,96.1,99.4,,94.7,99.5,
2024-11-01,遵义,96.0,99.5,,94.5,99.6,
2024-12-01,遵义,96.3,99.9,,94.2,99.5,
2025-01-01,遵义,96.6,100.1,,94.4,99.7,
2025-02-01,遵义,96.6,99.6,,94.3,99.5,
2025-03-01,遵义,96.5,100.1,,94.3,99.8,
2025-04-01,遵义,96.4,100.2,,94.2,99.4,
2025-05-01,遵义,96.5,99.8,,94.0,99.7,
2025-06-01,遵义,96.9,99.6,,94.0,99.3,
2025-07-01,遵义,97.1,99.9,,94.3,99.7,
2025-08-01,遵义,97.0,99.5,,94.7,99.8,
2025-09-01,遵义,97.2,99.6,,95.1,99.4,
2025-10-01,遵义,97.2,99.4,,95.0,99.5,
2025-11-01,遵义,97.5,99.7,,95.1,99.6,
2025-12-01,遵义,97.4,99.8,,95.0,99.4,
2026-01-01,遵义,97.1,99.8,,95.1,99.7,
2026-02-01,遵义,97.1,99.6,,95.1,99.6,
2026-03-01,遵义,96.8,99.8,,94.8,99.4,
2026-04-01,遵义,96.2,99.5,,94.9,99.6,
