日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,银川,103.1,100.9,101.5,103.3,100.0,100.6
2011-02-01,银川,102.8,99.7,101.3,102.9,100.1,100.7
2011-03-01,银川,102.7,100.8,102.1,101.4,100.5,101.2
2011-04-01,银川,102.5,100.5,102.6,101.4,100.8,102.0
2011-05-01,银川,102.6,100.2,102.8,102.1,100.6,102.6
2011-06-01,银川,102.9,100.4,103.2,102.6,100.5,103.1
2011-07-01,银川,103.1,100.2,103.4,103.1,100.5,103.6
2011-08-01,银川,102.9,100.0,103.4,103.2,100.2,103.8
2011-09-01,银川,103.1,100.3,103.7,103.2,100.1,103.9
2011-10-01,银川,103.2,100.1,103.7,103.3,100.1,103.9
2011-11-01,银川,103.1,100.0,103.7,102.9,99.6,103.6
2011-12-01,银川,103.2,100.1,103.8,102.4,99.5,103.1
2012-01-01,银川,102.2,99.9,103.7,102.3,99.8,102.9
2012-02-01,银川,102.4,100.0,103.7,101.6,99.4,102.2
2012-03-01,银川,101.7,100.1,103.8,100.6,99.5,101.8
2012-04-01,银川,101.0,99.9,103.6,99.7,99.9,101.7
2012-05-01,银川,100.8,100.0,103.6,99.0,99.9,101.5
2012-06-01,银川,100.3,99.9,103.5,98.5,100.0,101.5
2012-07-01,银川,100.3,100.3,103.7,98.1,100.1,101.6
2012-08-01,银川,100.8,100.4,104.2,98.1,100.2,101.8
2012-09-01,银川,100.9,100.4,104.5,98.0,100.0,101.8
2012-10-01,银川,100.9,100.1,104.7,98.1,100.2,101.9
2012-11-01,银川,101.4,100.5,105.2,98.8,100.4,102.3
2012-12-01,银川,101.7,100.4,105.6,99.5,100.2,102.5
2013-01-01,银川,102.2,100.4,106.0,99.9,100.2,102.8
2013-02-01,银川,102.8,100.6,106.6,101.3,100.8,103.6
2013-03-01,银川,103.3,100.6,107.2,102.5,100.7,104.3
2013-04-01,银川,104.5,101.0,108.3,103.4,100.8,105.1
2013-05-01,银川,105.4,100.8,109.2,104.4,100.8,106.0
2013-06-01,银川,106.5,100.9,110.2,105.1,100.6,106.7
2013-07-01,银川,106.8,100.6,110.8,105.7,100.6,107.3
2013-08-01,银川,107.9,101.4,112.4,106.2,100.7,108.1
2013-09-01,银川,108.2,100.7,113.1,106.9,100.7,108.8
2013-10-01,银川,108.7,100.6,113.8,107.6,100.8,109.7
2013-11-01,银川,109.0,100.8,114.6,107.9,100.7,110.5
2013-12-01,银川,109.2,100.6,115.4,108.4,100.6,111.1
2014-01-01,银川,109.3,100.4,115.8,108.4,100.2,111.4
2014-02-01,银川,109.0,100.3,116.2,107.9,100.4,111.8
2014-03-01,银川,108.8,100.4,116.6,107.5,100.2,112.1
2014-04-01,银川,107.9,100.1,116.8,107.0,100.4,112.5
2014-05-01,银川,107.1,100.0,116.9,106.4,100.3,112.8
2014-06-01,银川,106.2,100.1,117.0,105.8,100.0,112.9
2014-07-01,银川,104.7,99.1,116.0,104.7,99.6,112.4
2014-08-01,银川,101.6,98.4,114.2,102.9,98.9,111.2
2014-09-01,银川,100.4,99.5,113.6,100.9,98.7,109.8
2014-10-01,银川,99.3,99.5,113.0,99.2,99.2,108.9
2014-11-01,银川,97.6,99.0,111.9,98.1,99.6,108.4
2014-12-01,银川,96.7,99.8,111.6,96.9,99.3,107.6
2015-01-01,银川,96.0,99.7,111.2,96.2,99.6,107.1
2015-02-01,银川,95.2,99.4,110.6,95.5,99.7,106.8
2015-03-01,银川,94.3,99.4,109.9,94.9,99.7,106.4
2015-04-01,银川,93.6,99.5,109.4,94.4,99.8,106.2
2015-05-01,银川,93.2,99.6,108.9,94.1,99.9,106.1
2015-06-01,银川,92.8,99.7,108.6,93.9,99.9,106.0
2015-07-01,银川,93.2,99.5,108.1,94.2,99.8,105.8
2015-08-01,银川,94.5,99.8,107.9,95.1,99.9,105.8
2015-09-01,银川,95.1,100.1,108.0,96.3,100.0,105.7
2015-10-01,银川,95.3,99.7,107.7,97.1,99.9,105.7
2015-11-01,银川,96.4,100.2,107.8,97.2,99.7,105.4
2015-12-01,银川,96.3,99.6,107.4,97.9,99.9,105.3
2016-01-01,银川,96.4,99.7,,98.2,99.9,
2016-02-01,银川,96.9,100.0,,98.5,99.9,
2016-03-01,银川,97.7,100.2,,99.1,100.3,
2016-04-01,银川,98.8,100.7,,99.3,100.0,
2016-05-01,银川,99.9,100.6,,99.5,100.1,
2016-06-01,银川,100.0,99.9,,99.5,99.9,
2016-07-01,银川,100.7,100.2,,99.7,100.0,
2016-08-01,银川,101.0,100.1,,99.8,100.1,
2016-09-01,银川,101.1,100.2,,99.9,100.1,
2016-10-01,银川,101.4,100.1,,99.9,100.0,
2016-11-01,银川,101.5,100.2,,100.1,99.9,
2016-12-01,银川,102.1,100.3,,100.2,100.0,
2017-01-01,银川,102.4,99.9,,100.1,99.8,
2017-02-01,银川,102.2,99.8,,99.9,99.7,
2017-03-01,银川,102.2,100.1,,99.7,100.0,
2017-04-01,银川,101.7,100.2,,99.7,100.1,
2017-05-01,银川,101.5,100.4,,99.8,100.2,
2017-06-01,银川,102.1,100.5,,100.0,100.1,
2017-07-01,银川,102.4,100.4,,100.0,100.0,
2017-08-01,银川,102.7,100.5,,100.1,100.2,
2017-09-01,银川,102.8,100.3,,100.1,100.0,
2017-10-01,银川,102.9,100.1,,100.0,99.9,
2017-11-01,银川,103.7,101.0,,100.7,100.6,
2017-12-01,银川,104.0,100.5,,101.0,100.3,
2018-01-01,银川,104.1,100.4,,101.2,100.2,
2018-02-01,银川,105.2,100.5,,101.6,99.9,
2018-03-01,银川,105.9,100.8,,101.7,100.1,
2018-04-01,银川,106.2,100.6,,101.8,100.2,
2018-05-01,银川,106.2,100.4,,101.6,100.0,
2018-06-01,银川,107.1,101.4,,102.3,100.8,
2018-07-01,银川,107.7,101.0,,103.2,100.9,
