日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,韶关,104.4,101.9,103.8,101.1,100.6,100.8
2011-02-01,韶关,104.9,100.5,104.3,101.2,100.1,100.9
2011-03-01,韶关,104.9,100.1,104.4,101.2,100.2,101.1
2011-04-01,韶关,105.7,100.7,105.2,101.3,100.2,101.2
2011-05-01,韶关,106.2,100.6,105.8,101.9,100.7,101.9
2011-06-01,韶关,106.2,100.1,105.9,102.0,100.1,102.0
2011-07-01,韶关,106.7,100.4,106.3,102.7,100.7,102.7
2011-08-01,韶关,106.6,99.9,106.2,103.1,100.4,103.1
2011-09-01,韶关,106.2,100.0,106.2,103.1,100.0,103.1
2011-10-01,韶关,106.1,100.2,106.4,102.9,100.0,103.1
2011-11-01,韶关,104.9,100.0,106.4,102.9,100.0,103.2
2011-12-01,韶关,104.4,100.0,106.4,102.8,100.0,103.1
2012-01-01,韶关,102.4,100.0,106.3,102.4,100.1,103.2
2012-02-01,韶关,101.9,100.0,106.3,102.2,99.9,103.1
2012-03-01,韶关,102.1,100.2,106.6,102.3,100.2,103.3
2012-04-01,韶关,101.3,100.0,106.6,102.1,100.0,103.3
2012-05-01,韶关,100.6,99.9,106.4,101.3,99.9,103.2
2012-06-01,韶关,100.5,99.9,106.3,101.2,100.0,103.2
2012-07-01,韶关,100.2,100.1,106.5,100.5,100.0,103.2
2012-08-01,韶关,100.2,100.0,106.5,100.4,100.2,103.5
2012-09-01,韶关,100.6,100.4,106.9,100.6,100.3,103.7
2012-10-01,韶关,100.6,100.2,107.1,100.6,100.0,103.7
2012-11-01,韶关,101.1,100.5,107.6,101.0,100.5,104.2
2012-12-01,韶关,101.4,100.2,107.9,101.1,100.0,104.2
2013-01-01,韶关,101.5,100.0,107.9,102.0,101.0,105.3
2013-02-01,韶关,102.6,101.1,109.1,103.1,101.0,106.3
2013-03-01,韶关,102.8,100.5,109.6,103.6,100.7,107.0
2013-04-01,韶关,103.5,100.7,110.3,103.8,100.3,107.3
2013-05-01,韶关,105.1,101.4,111.9,104.3,100.3,107.6
2013-06-01,韶关,105.2,99.9,111.8,104.3,100.0,107.6
2013-07-01,韶关,105.9,100.8,112.7,104.2,100.0,107.6
2013-08-01,韶关,106.4,100.5,113.3,105.6,101.6,109.3
2013-09-01,韶关,106.4,100.4,113.7,105.7,100.3,109.6
2013-10-01,韶关,107.0,100.7,114.6,105.7,100.0,109.6
2013-11-01,韶关,106.5,100.0,114.6,105.2,100.0,109.6
2013-12-01,韶关,106.0,99.8,114.3,105.3,100.1,109.8
2014-01-01,韶关,105.8,99.8,114.1,104.2,99.9,109.7
2014-02-01,韶关,104.6,100.0,114.1,103.2,100.1,109.7
2014-03-01,韶关,104.1,99.9,114.0,102.6,100.0,109.8
2014-04-01,韶关,103.4,100.1,114.1,102.2,99.9,109.6
2014-05-01,韶关,101.5,99.5,113.5,102.1,100.3,109.9
2014-06-01,韶关,100.8,99.3,112.8,101.4,99.3,109.1
2014-07-01,韶关,98.3,98.3,110.9,100.2,98.8,107.8
