日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2010-06-15,1230.4,,,,,,
2010-06-16,1245.1,1.19473342,,,,,
2010-08-01,1281.6,2.93149145,,,,,
2010-08-02,1214.9,-5.20443196,,,,,
2010-08-03,1218.9,0.32924521,,,,,
2010-08-04,1259.2,3.30625974,,,,,
2010-08-05,1218.7,-3.21632783,,,,,
2010-08-06,1257.8,3.20833675,,,,,
2010-08-07,1225.3,-2.58387661,,,,,
2010-08-08,1193.0,-2.63608912,,,,,
2010-08-09,1199.4,0.5364627,,,,,
2010-08-10,1222.6,1.93430048,,,,,
2010-08-11,1257.7,2.8709308,,,,,
2010-08-12,1253.0,-0.37369802,,,,,
2010-08-13,1278.6,2.04309657,,,,,
2010-08-14,1210.2,-5.34960113,,,,,
2010-08-15,1257.5,3.90844489,,,,,
2010-08-16,1251.3,-0.49304175,,,,,
2010-08-17,1269.0,1.41452889,,,,,
2010-08-18,1217.7,-4.04255319,,,,,
2010-08-19,1245.5,2.28299253,,,,,
2010-08-20,1254.1,0.69048575,,,,,
2010-08-21,1275.6,1.71437684,,,,,
2010-08-22,1262.4,-1.03480715,,,,,
2010-08-23,1245.6,-1.33079848,,,,,
2010-08-24,1249.7,0.32915864,,,,,
2010-08-25,1218.2,-2.52060495,,,,,
2010-08-26,1198.8,-1.59251354,,,,,
2010-08-27,1233.7,2.91124458,,,,,
2010-08-28,1276.5,3.46923887,,,,,
2010-08-29,1274.1,-0.1880141,,,,,
2010-08-30,1259.0,-1.1851503,,,,,
2010-08-31,1269.8,0.85782367,,,,,
2010-09-01,1236.1,-2.65396125,,,,,
2010-09-02,1209.2,-2.17619934,,,,,
2010-09-03,1248.7,3.26662256,,,,,
2010-09-04,1288.9,3.21934812,,,,,
2010-09-05,1247.2,-3.23531694,,,,,
2010-09-06,1294.4,3.78447723,,,,,
2010-09-07,1278.8,-1.20519159,,,,,
2010-09-08,1270.0,-0.68814514,,,,,
2010-09-09,1247.7,-1.75590551,,,,,
2010-09-10,1234.3,-1.07397612,,,,,
2010-09-11,1245.6,0.91549866,,,,,
2010-09-12,1236.6,-0.72254335,,,,,
2010-09-13,1270.4,2.73330099,,,,,
2010-09-14,1240.9,-2.32210327,,,,,
2010-09-15,1258.4,1.41026674,2.2756827,,,,
2010-09-16,1293.1,2.7574698,3.85511204,,,,
2010-09-17,1327.8,2.68347382,6.64203678,,,,
2010-09-18,1257.2,-5.31706582,0.97180949,,,,
2010-09-19,1261.2,0.31816736,1.29306883,,,,
2010-09-20,1273.9,1.00697748,2.31306722,,,,
2010-09-21,1283.4,0.74574142,3.07605815,,,,
2010-09-22,1282.4,-0.07791803,2.99574331,,,,
2010-09-23,1220.3,-4.84248284,-1.99180789,,,,
2010-09-24,1236.1,1.29476358,-0.72283351,,,,
2010-09-25,1247.5,0.92225548,0.1927556,,,,
2010-09-26,1296.9,3.95991984,4.16030841,,,,
2010-09-27,1270.5,-2.03562341,2.03999679,,,,
2010-09-28,1244.5,-2.04643841,-0.0481889,,,,
2010-09-29,1277.5,2.65166734,2.60220063,,,,
2010-09-30,1299.0,1.68297456,4.32896956,,,,
2010-10-01,1157.7,-10.87759815,-7.0195165,,,,
2010-10-02,1237.4,6.88433964,-0.61842422,,,,
2010-10-03,1273.0,2.87700016,2.24078387,,,,
2010-10-04,1249.8,-1.82246661,0.37747972,,,,
2010-10-05,1281.5,2.53640582,2.92345996,,,,
2010-10-06,1256.2,-1.97424893,0.89149466,,,,
2010-10-07,1309.3,4.22703391,5.15621235,,,,
2010-10-08,1281.2,-2.14618498,2.89936551,,,,
2010-10-09,1237.6,-3.40305963,-0.60236126,,,,
2010-10-10,1239.1,0.12120233,-0.481889,,,,
2010-10-11,1235.4,-0.29860383,-0.77905389,,,,
2010-10-12,1220.7,-1.18989801,-1.95968195,,,,
2010-10-13,1245.2,2.00704514,0.00803148,,,,
2010-10-14,1277.5,2.59396081,2.60220063,,,,
2010-10-15,1278.7,0.09393346,2.69857843,,,,
2010-10-16,1311.7,2.58074607,5.34896795,,,,
2010-10-17,1260.1,-3.93382633,1.20472251,,,,
2010-10-18,1251.4,-0.6904214,0.50598346,,,,
2010-10-19,1277.4,2.07767301,2.59416914,,,,
2010-10-20,1311.9,2.7007985,5.36503092,,,,
2010-10-21,1272.9,-2.97278756,2.23275239,,,,
2010-10-22,1253.2,-1.54764711,0.65055016,,,,
2010-10-23,1265.9,1.01340568,1.67054855,,,,
2010-10-24,1258.8,-0.56086579,1.10031323,,,,
2010-10-25,1291.8,2.62154433,3.75070275,,,,
2010-10-26,1254.2,-2.91066729,0.73086499,,,,
2010-10-27,1263.8,0.76542816,1.5018874,,,,
2010-10-28,1258.0,-0.45893338,1.03606136,,,,
2010-10-29,1256.4,-0.12718601,0.90755763,,,,
2010-10-30,1258.2,0.14326648,1.05212433,,,,
2010-10-31,1284.6,2.09823557,3.17243595,,,,
2010-11-01,1316.3,2.46769422,2.70755306,,,,
2010-11-02,1317.8,0.11395579,8.46983291,,,,
2010-11-03,1340.3,1.70739111,9.95979982,,,,
2010-11-04,1294.3,-3.43206745,2.78748412,,,,
2010-11-05,1390.8,7.4557676,14.12160499,,,,
2010-11-06,1304.0,-6.24101237,3.67307998,,,,
2010-11-07,1397.7,7.18558282,14.07002367,,,,
2010-11-08,1419.9,1.58832367,19.01927913,,,,
2010-11-09,1287.6,-9.31755757,7.35367684,,,,
2010-11-10,1305.7,1.40571606,6.79699002,,,,
2010-11-11,1461.1,11.90166194,16.17237815,,,,
2010-11-12,1541.7,5.51639176,23.04070231,,,,
2010-11-13,1376.4,-10.72193034,7.64899108,,,,
2010-11-14,1500.0,8.97994769,23.94645513,,,,
2010-11-15,1436.8,-4.21333333,14.2584493,,,,
2010-11-16,1329.4,-7.47494432,6.24150883,,,,
2010-11-17,1337.2,0.58673086,5.37431048,,,,
2010-11-18,1301.2,-2.69219264,6.85718978,,,,
2010-11-19,1389.1,6.7553028,11.52950622,,,,
2010-11-20,1385.3,-0.27355842,10.46168567,,,,
2010-11-21,1339.5,-3.30614307,5.00940734,,,,
2010-11-22,1277.4,-4.63605823,1.18821293,,,,
2010-11-23,1343.5,5.17457335,7.85966602,,,,
2010-11-24,1329.8,-1.0197246,6.40953829,,,,
2010-11-25,1339.5,0.729433,9.95731407,,,,
2010-11-26,1340.2,0.05225831,11.79512846,,,,
2010-11-27,1329.6,-0.79092673,7.77336468,,,,
2010-11-28,1401.0,5.3700361,9.75323149,,,,
2010-11-29,1340.5,-4.31834404,5.21152186,,,,
2010-11-30,1327.7,-0.95486759,4.55977319,,,,
2010-12-01,1410.4,6.22881675,14.10080091,,,,
2010-12-02,1292.7,-8.34515031,6.90539199,,,,
2010-12-03,1317.5,1.91846523,5.50973012,,,,
2010-12-04,1344.4,2.04174573,4.30599736,,,,
2010-12-05,1323.0,-1.59178816,6.07761386,,,,
2010-12-06,1282.2,-3.08390023,-0.94252163,,,,
2010-12-07,1313.5,2.44111683,2.71348139,,,,
2010-12-08,1359.6,3.50970689,7.05511811,,,,
2010-12-09,1373.6,1.02971462,10.09056664,,,,
2010-12-10,1370.6,-0.21840419,11.04269627,,,,
2010-12-11,1372.1,0.10944112,10.15574823,,,,
2010-12-12,1338.0,-2.4852416,8.19990296,,,,
2010-12-13,1385.3,3.53512706,9.04439547,,,,
2010-12-14,1393.8,0.6135855,12.32170199,,,,
2010-12-15,1326.8,-4.80700244,5.43547362,7.83485046,,,
2010-12-16,1226.4,-7.56707869,-5.15814709,-1.5018874,,,
2010-12-17,1367.6,11.51337247,2.99743937,9.83856718,,,
2010-12-18,1374.4,0.49722141,9.32230353,10.38470806,,,
2010-12-19,1366.8,-0.55296857,8.37297812,9.77431532,,,
2010-12-20,1335.8,-2.26807141,4.85909412,7.28455546,,,
2010-12-21,1411.2,5.64455757,9.95792426,13.34029395,,,
2010-12-22,1279.7,-9.31831066,-0.21054273,2.77889326,,,
2010-12-23,1288.6,0.6954755,5.59698435,3.49369529,,,
2010-12-24,1335.8,3.66288996,8.06569048,7.28455546,,,
2010-12-25,1469.7,10.02395568,17.81162325,18.03871175,,,
