日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,广州,100.1,101.7,102.7,102.9,101.2,102.3
2011-02-01,广州,100.6,100.6,103.3,103.4,100.6,102.9
2011-03-01,广州,102.7,100.3,103.7,102.5,99.5,102.4
2011-04-01,广州,103.8,100.7,104.4,103.4,101.0,103.4
2011-05-01,广州,105.1,100.3,104.8,103.3,99.8,103.2
2011-06-01,广州,105.4,100.2,105.0,103.4,100.1,103.3
2011-07-01,广州,106.4,100.0,105.0,103.6,100.2,103.5
2011-08-01,广州,107.1,100.0,105.0,104.7,100.7,104.3
2011-09-01,广州,106.4,100.0,105.1,105.4,100.6,105.0
2011-10-01,广州,106.2,99.8,104.9,103.9,99.5,104.5
2011-11-01,广州,106.1,99.7,104.6,102.9,99.2,103.7
2011-12-01,广州,103.1,99.6,104.2,102.1,99.6,103.3
2012-01-01,广州,101.1,99.7,103.8,100.5,99.6,102.9
2012-02-01,广州,100.3,99.8,103.6,99.6,99.6,102.4
2012-03-01,广州,99.7,99.8,103.4,99.9,99.8,102.2
2012-04-01,广州,98.8,99.8,103.2,98.5,99.6,101.9
2012-05-01,广州,98.4,99.9,103.2,98.6,99.9,101.7
2012-06-01,广州,98.4,100.2,103.3,99.0,100.5,102.3
2012-07-01,广州,98.7,100.2,103.6,99.5,100.7,103.0
2012-08-01,广州,99.0,100.3,103.9,99.6,100.9,103.9
2012-09-01,广州,99.3,100.4,104.3,99.5,100.6,104.5
2012-10-01,广州,99.9,100.4,104.7,100.4,100.4,104.9
2012-11-01,广州,100.7,100.6,105.4,101.7,100.5,105.4
2012-12-01,广州,102.4,101.2,106.6,102.6,100.5,106.0
2013-01-01,广州,104.7,102.0,108.7,103.5,100.4,106.4
2013-02-01,广州,108.2,103.1,112.1,105.7,101.7,108.2
2013-03-01,广州,111.2,102.5,115.0,107.5,101.5,109.9
2013-04-01,广州,113.7,102.1,117.4,108.6,100.7,110.6
2013-05-01,广州,115.5,101.5,119.1,109.9,101.1,111.9
2013-06-01,广州,116.5,101.0,120.3,110.4,100.9,112.9
2013-07-01,广州,117.4,101.1,121.6,110.7,101.0,114.1
2013-08-01,广州,119.0,101.7,123.7,110.9,101.0,115.2
2013-09-01,广州,120.2,101.4,125.4,110.7,100.4,115.7
2013-10-01,广州,120.7,100.9,126.4,111.4,101.0,116.9
2013-11-01,广州,120.9,100.8,127.4,112.2,101.2,118.3
2013-12-01,广州,120.4,100.7,128.3,112.3,100.6,119.0
2014-01-01,广州,118.9,100.7,129.2,112.9,101.0,120.2
2014-02-01,广州,115.9,100.5,129.9,111.4,100.3,120.5
2014-03-01,广州,113.4,100.4,130.4,109.9,100.2,120.7
2014-04-01,广州,111.2,100.1,130.5,109.8,100.7,121.5
2014-05-01,广州,109.6,100.0,130.5,108.7,100.1,121.6
2014-06-01,广州,107.7,99.4,129.7,107.4,99.7,121.3
2014-07-01,广州,105.3,98.7,128.0,105.2,98.9,120.0
2014-08-01,广州,102.1,98.7,126.3,102.7,98.6,118.4
2014-09-01,广州,99.4,98.6,124.6,101.0,98.7,116.9
2014-10-01,广州,97.3,98.8,123.0,100.0,100.0,116.8
2014-11-01,广州,96.2,99.6,122.5,98.7,100.0,116.8
2014-12-01,广州,95.2,99.8,122.2,98.3,100.2,117.0
2015-01-01,广州,94.6,100.0,122.2,97.2,99.8,116.8
2015-02-01,广州,93.9,99.8,122.0,96.6,99.7,116.5
2015-03-01,广州,93.5,99.9,121.9,96.5,100.0,116.5
2015-04-01,广州,93.8,100.4,122.4,96.9,101.1,117.8
2015-05-01,广州,95.2,101.4,124.2,99.1,102.3,120.5
2015-06-01,广州,97.2,101.6,126.1,101.2,101.8,122.7
2015-07-01,广州,99.7,101.2,127.7,103.6,101.3,124.3
2015-08-01,广州,102.0,100.9,128.9,106.1,101.0,125.6
2015-09-01,广州,104.9,101.4,130.7,108.7,101.2,127.0
2015-10-01,广州,107.1,100.8,131.8,109.9,101.1,128.4
2015-11-01,广州,108.2,100.6,132.5,110.7,100.7,129.3
2015-12-01,广州,109.2,100.7,133.4,111.7,101.0,130.7
2016-01-01,广州,110.0,100.8,,113.1,101.3,
2016-02-01,广州,111.9,101.6,,114.7,101.2,
