日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,南京,104.2,100.9,101.0,99.6,100.7,100.3
2011-02-01,南京,104.2,100.7,101.7,100.0,100.5,100.8
2011-03-01,南京,102.1,100.7,102.5,99.9,100.5,101.4
2011-04-01,南京,100.7,99.9,102.4,99.5,100.0,101.4
2011-05-01,南京,100.9,100.0,102.4,100.2,99.5,100.9
2011-06-01,南京,101.2,99.8,102.2,100.6,99.4,100.3
2011-07-01,南京,101.9,99.9,102.1,100.8,99.7,100.0
2011-08-01,南京,101.8,99.8,101.9,101.3,99.7,99.8
2011-09-01,南京,101.6,99.9,101.8,100.6,99.4,99.2
2011-10-01,南京,101.0,99.4,101.2,99.3,99.5,98.7
2011-11-01,南京,100.3,99.3,100.5,98.8,99.4,98.1
2011-12-01,南京,99.7,99.3,99.8,97.5,99.1,97.2
2012-01-01,南京,98.3,99.5,99.3,96.3,99.4,96.6
2012-02-01,南京,97.5,99.8,99.2,95.3,99.6,96.1
2012-03-01,南京,96.5,99.7,98.9,95.0,100.2,96.3
2012-04-01,南京,96.5,99.8,98.8,94.8,99.9,96.2
2012-05-01,南京,96.4,100.0,98.7,95.2,99.9,96.1
2012-06-01,南京,96.9,100.3,99.0,96.0,100.2,96.3
2012-07-01,南京,97.4,100.5,99.5,96.8,100.5,96.8
2012-08-01,南京,97.9,100.3,99.8,96.9,99.9,96.7
2012-09-01,南京,98.2,100.2,99.9,97.7,100.2,96.9
2012-10-01,南京,98.9,100.2,100.1,98.3,100.1,97.0
2012-11-01,南京,99.9,100.3,100.4,99.1,100.3,97.2
2012-12-01,南京,101.3,100.8,101.1,100.0,99.9,97.1
2013-01-01,南京,103.0,101.2,102.4,101.1,100.5,97.6
2013-02-01,南京,105.3,102.0,104.4,102.3,100.8,98.4
2013-03-01,南京,107.6,101.9,106.4,103.1,101.0,99.4
2013-04-01,南京,109.7,101.9,108.4,104.4,101.1,100.4
