日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,成都,105.0,101.4,103.0,102.1,102.2,101.7
2011-02-01,成都,104.9,100.5,103.5,102.4,100.3,102.0
2011-03-01,成都,104.4,100.0,103.6,101.9,99.8,101.8
2011-04-01,成都,103.5,99.9,103.4,101.6,100.4,102.2
2011-05-01,成都,103.7,100.2,103.7,101.5,99.9,102.1
2011-06-01,成都,103.6,99.9,103.5,101.3,100.1,102.2
2011-07-01,成都,103.5,99.7,103.2,100.8,99.4,101.6
2011-08-01,成都,102.9,100.1,103.3,101.5,100.0,101.6
2011-09-01,成都,102.8,100.0,103.3,101.8,99.8,101.4
2011-10-01,成都,102.4,100.0,103.2,101.9,99.8,101.3
2011-11-01,成都,101.9,99.8,103.1,101.3,99.3,100.6
2011-12-01,成都,101.3,99.9,102.9,100.7,99.7,100.3
2012-01-01,成都,99.8,99.9,102.9,97.8,99.2,99.5
2012-02-01,成都,99.3,100.0,102.8,97.1,99.5,99.0
2012-03-01,成都,99.1,99.8,102.6,97.2,99.9,98.9
2012-04-01,成都,99.1,99.9,102.5,96.1,99.3,98.3
2012-05-01,成都,98.5,99.7,102.1,96.1,99.9,98.1
2012-06-01,成都,98.7,100.0,102.2,96.0,100.0,98.2
2012-07-01,成都,99.3,100.3,102.5,96.8,100.2,98.4
2012-08-01,成都,99.2,100.0,102.5,96.8,100.0,98.4
2012-09-01,成都,99.4,100.1,102.6,97.0,100.1,98.4
2012-10-01,成都,99.3,100.0,102.6,97.3,100.1,98.5
2012-11-01,成都,99.9,100.4,103.0,98.1,100.2,98.7
2012-12-01,成都,100.4,100.4,103.4,98.8,100.4,99.1
2013-01-01,成都,101.5,101.0,104.4,99.8,100.2,99.3
2013-02-01,成都,102.3,100.8,105.2,100.6,100.4,99.7
2013-03-01,成都,103.4,100.9,106.1,101.5,100.8,100.4
2013-04-01,成都,105.4,101.8,108.0,102.8,100.6,101.0
2013-05-01,成都,106.8,101.0,109.1,103.2,100.3,101.3
2013-06-01,成都,107.7,100.9,110.1,103.7,100.6,101.8
2013-07-01,成都,107.7,100.3,110.4,103.8,100.3,102.1
2013-08-01,成都,108.6,100.8,111.3,104.1,100.4,102.4
2013-09-01,成都,109.1,100.6,112.0,104.4,100.4,102.8
2013-10-01,成都,109.6,100.4,112.5,104.9,100.6,103.4
2013-11-01,成都,109.8,100.6,113.1,105.2,100.4,103.8
2013-12-01,成都,109.7,100.2,113.3,105.2,100.4,104.2
2014-01-01,成都,109.3,100.6,114.0,105.3,100.3,104.5
2014-02-01,成都,109.0,100.5,114.6,105.0,100.1,104.6
2014-03-01,成都,108.3,100.3,114.9,104.5,100.3,104.9
2014-04-01,成都,106.6,100.1,115.1,103.7,99.8,104.8
2014-05-01,成都,105.2,99.7,114.7,103.5,100.0,104.8
2014-06-01,成都,103.7,99.4,114.1,102.4,99.5,104.3
2014-07-01,成都,102.2,98.9,112.9,100.9,98.8,103.0
2014-08-01,成都,100.1,98.8,111.5,99.7,99.1,102.1
2014-09-01,成都,98.5,98.9,110.3,98.3,98.9,101.0
2014-10-01,成都,96.9,98.8,108.9,97.0,99.3,100.3
2014-11-01,成都,95.8,99.4,108.3,96.5,99.9,100.2
2014-12-01,成都,95.3,99.8,108.1,95.9,99.8,100.0
2015-01-01,成都,94.5,99.7,107.7,95.1,99.5,99.5
2015-02-01,成都,93.6,99.6,107.3,94.7,99.6,99.1
2015-03-01,成都,92.9,99.4,106.7,94.3,99.9,99.0
2015-04-01,成都,92.6,99.9,106.6,94.3,99.8,98.8
2015-05-01,成都,93.1,100.1,106.8,93.8,99.5,98.3
2015-06-01,成都,93.8,100.2,107.0,94.6,100.4,98.7
2015-07-01,成都,95.2,100.5,107.5,96.1,100.3,99.0
2015-08-01,成都,96.7,100.3,107.8,97.1,100.2,99.1
2015-09-01,成都,97.9,100.1,107.9,98.4,100.2,99.3
2015-10-01,成都,99.1,100.1,108.0,99.0,99.9,99.3
2015-11-01,成都,100.2,100.5,108.5,99.4,100.3,99.5
2015-12-01,成都,100.6,100.2,108.7,99.3,99.7,99.3
2016-01-01,成都,101.1,100.2,,100.5,100.6,
2016-02-01,成都,101.5,100.0,,101.5,100.7,
2016-03-01,成都,102.4,100.2,,101.9,100.3,
2016-04-01,成都,103.0,100.6,,102.3,100.2,
2016-05-01,成都,103.3,100.3,,103.2,100.3,
2016-06-01,成都,103.7,100.6,,103.2,100.4,
2016-07-01,成都,104.2,101.0,,103.1,100.3,
2016-08-01,成都,104.8,100.9,,103.3,100.3,
