日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,杭州,100.9,101.7,100.2,104.4,100.3,101.5
2011-02-01,杭州,101.8,100.9,101.0,104.6,100.2,101.7
2011-03-01,杭州,101.6,99.9,100.9,103.7,100.1,101.8
2011-04-01,杭州,98.8,100.1,101.0,100.1,99.7,101.5
2011-05-01,杭州,99.0,100.0,101.0,100.4,99.8,101.3
2011-06-01,杭州,99.3,100.0,101.1,100.5,100.0,101.3
2011-07-01,杭州,100.0,99.9,101.0,100.7,99.9,101.2
2011-08-01,杭州,101.8,100.0,101.0,100.4,99.6,100.9
2011-09-01,杭州,101.2,99.9,100.9,100.0,99.6,100.5
2011-10-01,杭州,101.5,99.6,100.5,98.1,98.5,99.0
2011-11-01,杭州,101.3,99.7,100.2,97.1,99.1,98.0
2011-12-01,杭州,101.0,99.3,99.4,95.6,98.6,96.7
2012-01-01,杭州,99.2,99.9,99.3,94.0,98.6,95.4
2012-02-01,杭州,98.1,99.7,99.1,93.2,99.4,94.8
2012-03-01,杭州,93.7,95.4,94.5,92.8,99.7,94.5
2012-04-01,杭州,90.3,96.5,91.2,92.6,99.4,93.9
2012-05-01,杭州,89.7,99.4,90.6,92.6,99.9,93.8
2012-06-01,杭州,90.2,100.6,91.1,92.7,100.1,93.9
2012-07-01,杭州,90.5,100.3,91.4,93.5,100.8,94.6
2012-08-01,杭州,90.9,100.4,91.8,94.3,100.5,95.1
2012-09-01,杭州,91.2,100.3,92.0,94.3,99.6,94.7
2012-10-01,杭州,91.3,99.7,91.7,95.7,100.0,94.7
2012-11-01,杭州,91.5,99.9,91.6,96.7,100.1,94.8
2012-12-01,杭州,92.4,100.3,91.9,98.2,100.2,95.0
2013-01-01,杭州,93.4,100.9,92.8,99.1,99.5,94.5
2013-02-01,杭州,94.5,100.9,93.6,101.1,101.4,95.8
2013-03-01,杭州,100.3,101.2,94.8,101.6,100.2,96.0
2013-04-01,杭州,105.4,101.4,96.2,102.5,100.2,96.2
2013-05-01,杭州,107.0,100.8,96.9,102.7,100.1,96.4
2013-06-01,杭州,107.4,101.0,97.9,103.0,100.3,96.7
2013-07-01,杭州,107.9,100.8,98.6,102.0,99.9,96.6
2013-08-01,杭州,108.7,101.1,99.7,101.8,100.2,96.8
2013-09-01,杭州,109.8,101.3,101.0,102.8,100.6,97.4
2013-10-01,杭州,111.0,100.8,101.8,102.8,100.0,97.4
2013-11-01,杭州,111.7,100.6,102.4,103.0,100.3,97.6
2013-12-01,杭州,111.5,100.1,102.5,102.9,100.2,97.8
2014-01-01,杭州,110.4,99.9,102.5,103.5,100.0,97.8
2014-02-01,杭州,109.4,100.0,102.5,101.7,99.6,97.4
2014-03-01,杭州,108.1,100.0,102.5,101.2,99.8,97.2
2014-04-01,杭州,105.8,99.3,101.7,100.3,99.2,96.5
2014-05-01,杭州,103.5,98.6,100.3,99.7,99.6,96.1
2014-06-01,杭州,100.7,98.2,98.5,98.5,99.1,95.2
2014-07-01,杭州,97.5,97.5,96.1,97.5,98.9,94.2
2014-08-01,杭州,94.4,97.9,94.2,96.7,99.4,93.6
2014-09-01,杭州,92.1,98.8,93.0,95.4,99.3,92.9
2014-10-01,杭州,90.9,99.5,92.6,95.7,100.3,93.2
2014-11-01,杭州,90.1,99.6,92.2,95.3,99.8,93.0
2014-12-01,杭州,89.7,99.7,91.9,94.9,99.7,92.8
2015-01-01,杭州,89.5,99.7,91.7,94.6,99.7,92.5
2015-02-01,杭州,89.2,99.6,91.4,94.8,99.8,92.3
2015-03-01,杭州,88.8,99.5,90.9,94.8,99.9,92.2
2015-04-01,杭州,89.7,100.4,91.3,95.7,100.2,92.4
2015-05-01,杭州,91.5,100.6,91.8,96.4,100.3,92.6
2015-06-01,杭州,94.4,101.3,93.0,97.9,100.7,93.2
2015-07-01,杭州,97.6,100.9,93.8,99.5,100.6,93.7
2015-08-01,杭州,100.3,100.7,94.4,100.6,100.5,94.2
2015-09-01,杭州,102.1,100.6,95.0,101.7,100.4,94.5
2015-10-01,杭州,103.2,100.6,95.5,101.6,100.2,94.7
2015-11-01,杭州,104.3,100.7,96.1,102.4,100.7,95.3
2015-12-01,杭州,105.8,101.2,97.3,103.7,101.0,96.2
2016-01-01,杭州,107.1,100.9,,104.4,100.5,
2016-02-01,杭州,108.9,101.3,,105.9,101.1,
2016-03-01,杭州,111.9,102.3,,108.2,102.0,
2016-04-01,杭州,114.8,103.0,,109.9,101.8,
2016-05-01,杭州,117.0,102.5,,111.1,101.3,
2016-06-01,杭州,117.4,101.6,,111.7,101.2,
2016-07-01,杭州,119.1,102.4,,113.6,102.3,
2016-08-01,杭州,122.2,103.3,,116.2,102.8,
2016-09-01,杭州,128.2,105.5,,121.0,104.5,
2016-10-01,杭州,131.5,103.2,,123.9,102.5,
2016-11-01,杭州,130.1,99.6,,123.1,100.0,
2016-12-01,杭州,128.6,100.0,,121.7,99.9,
2017-01-01,杭州,127.6,100.0,,121.6,100.5,
2017-02-01,杭州,125.6,99.8,,121.0,100.6,
2017-03-01,杭州,123.0,100.2,,119.8,100.9,
2017-04-01,杭州,119.5,100.0,,118.5,100.7,
2017-05-01,杭州,116.3,99.7,,117.9,100.8,
2017-06-01,杭州,114.6,100.2,,117.4,100.7,
2017-07-01,杭州,111.9,100.0,,115.8,100.8,
2017-08-01,杭州,108.2,99.8,,113.5,100.7,
2017-09-01,杭州,102.2,99.7,,109.1,100.6,
2017-10-01,杭州,99.1,100.0,,106.9,100.4,
2017-11-01,杭州,99.4,99.9,,107.1,100.2,
2017-12-01,杭州,99.4,100.0,,107.2,100.0,
2018-01-01,杭州,99.0,100.0,,106.9,100.2,
2018-02-01,杭州,99.5,99.9,,106.7,100.4,
2018-03-01,杭州,99.6,100.3,,106.5,100.7,
2018-04-01,杭州,99.7,100.1,,106.6,100.8,
2018-05-01,杭州,99.9,100.0,,106.7,100.9,
2018-06-01,杭州,100.3,100.6,,106.7,100.8,
2018-07-01,杭州,101.1,100.8,,106.8,100.9,
2018-08-01,杭州,101.9,100.6,,106.8,100.7,
2018-09-01,杭州,102.4,100.2,,106.2,100.0,
2018-10-01,杭州,103.7,101.2,,105.4,99.6,
2018-11-01,杭州,104.4,100.7,,104.6,99.5,
2018-12-01,杭州,105.6,101.1,,104.6,100.0,
2019-01-01,杭州,106.0,100.4,,104.5,100.1,
2019-02-01,杭州,106.6,100.5,,104.0,100.0,
2019-03-01,杭州,106.6,100.4,,104.0,100.7,
2019-04-01,杭州,107.7,101.0,,104.1,100.9,
2019-05-01,杭州,108.5,100.8,,104.5,101.3,
2019-06-01,杭州,109.1,101.1,,104.1,100.4,
2019-07-01,杭州,108.8,100.5,,103.2,100.1,
2019-08-01,杭州,108.2,100.0,,102.4,99.9,
2019-09-01,杭州,108.2,100.2,,102.1,99.8,
