日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,武汉,107.4,101.1,102.8,105.8,100.4,102.1
2011-02-01,武汉,106.8,100.5,103.3,104.7,100.2,102.3
2011-03-01,武汉,105.8,100.4,103.7,103.1,99.8,102.0
2011-04-01,武汉,104.6,100.4,104.1,102.3,100.2,102.2
2011-05-01,武汉,103.3,100.2,104.4,101.6,99.9,102.1
2011-06-01,武汉,103.4,100.2,104.6,101.7,100.2,102.3
2011-07-01,武汉,103.5,100.1,104.7,101.9,100.2,102.5
2011-08-01,武汉,104.0,100.2,105.0,102.0,99.9,102.4
2011-09-01,武汉,103.9,100.0,105.0,101.3,99.7,102.1
2011-10-01,武汉,103.4,99.8,104.8,100.7,99.8,101.9
2011-11-01,武汉,103.0,99.8,104.6,100.3,99.7,101.6
2011-12-01,武汉,102.5,99.7,104.2,99.6,99.6,101.2
2012-01-01,武汉,101.3,99.9,104.1,98.9,99.8,101.0
2012-02-01,武汉,100.6,99.8,103.9,98.7,99.9,101.0
2012-03-01,武汉,99.9,99.8,103.6,99.1,100.1,101.1
2012-04-01,武汉,99.5,100.0,103.6,98.7,99.8,100.9
2012-05-01,武汉,99.1,99.8,103.4,98.9,100.1,101.0
2012-06-01,武汉,99.0,100.1,103.6,99.1,100.4,101.4
2012-07-01,武汉,99.0,100.1,103.6,99.0,100.1,101.5
2012-08-01,武汉,98.8,100.1,103.7,99.1,100.0,101.5
2012-09-01,武汉,98.7,99.9,103.6,99.4,100.0,101.4
2012-10-01,武汉,99.1,100.3,103.9,99.7,100.2,101.6
2012-11-01,武汉,99.8,100.5,104.4,100.2,100.2,101.9
2012-12-01,武汉,100.9,100.8,105.2,100.9,100.3,102.1
2013-01-01,武汉,102.1,101.2,106.4,101.4,100.3,102.5
2013-02-01,武汉,103.6,101.2,107.7,102.7,101.1,103.6
2013-03-01,武汉,104.9,101.0,108.7,102.7,100.1,103.8
2013-04-01,武汉,106.1,101.1,109.9,103.9,101.0,104.8
2013-05-01,武汉,107.3,100.9,110.9,104.6,100.8,105.6
2013-06-01,武汉,108.0,100.8,111.8,104.8,100.6,106.3
2013-07-01,武汉,108.9,100.9,112.8,105.8,100.9,107.3
2013-08-01,武汉,109.9,101.0,114.0,106.7,100.9,108.3
2013-09-01,武汉,110.5,100.5,114.5,107.5,100.7,109.1
2013-10-01,武汉,111.3,100.9,115.6,108.1,100.7,109.8
2013-11-01,武汉,111.3,100.5,116.2,108.4,100.5,110.4
